date,equity,cash,positions,regime
2023-06-01,100000000.0,100000000.0,0,SIDEWAYS
2023-06-02,100000000.0,100000000.0,0,SIDEWAYS
2023-06-05,100000000.0,100000000.0,0,SIDEWAYS
2023-06-07,100000000.0,100000000.0,0,SIDEWAYS
2023-06-08,100000000.0,100000000.0,0,SIDEWAYS
2023-06-09,100000000.0,100000000.0,0,BULL
2023-06-12,100000000.0,100000000.0,0,BULL
2023-06-13,100000000.0,100000000.0,0,BULL
2023-06-14,100000000.0,100000000.0,0,BULL
2023-06-15,100000000.0,100000000.0,0,BULL
2023-06-16,100000000.0,100000000.0,0,SIDEWAYS
2023-06-19,100000000.0,100000000.0,0,SIDEWAYS
2023-06-20,100000000.0,100000000.0,0,SIDEWAYS
2023-06-21,100000000.0,100000000.0,0,SIDEWAYS
2023-06-22,100000000.0,100000000.0,0,SIDEWAYS
2023-06-23,100000000.0,100000000.0,0,SIDEWAYS
2023-06-26,100000000.0,100000000.0,0,SIDEWAYS
2023-06-27,100000000.0,100000000.0,0,SIDEWAYS
2023-06-28,100000000.0,100000000.0,0,SIDEWAYS
2023-06-29,100000000.0,100000000.0,0,SIDEWAYS
2023-06-30,100000000.0,100000000.0,0,SIDEWAYS
2023-07-03,100000000.0,100000000.0,0,SIDEWAYS
2023-07-04,100000000.0,100000000.0,0,SIDEWAYS
2023-07-05,100000000.0,100000000.0,0,SIDEWAYS
2023-07-06,100000000.0,100000000.0,0,SIDEWAYS
2023-07-07,100000000.0,100000000.0,0,BEAR
2023-07-10,100000000.0,100000000.0,0,BEAR
2023-07-11,100000000.0,100000000.0,0,BEAR
2023-07-12,100000000.0,100000000.0,0,BEAR
2023-07-13,100000000.0,100000000.0,0,BEAR
2023-07-14,100000000.0,100000000.0,0,BEAR
2023-07-17,100000000.0,100000000.0,0,BEAR
2023-07-18,100000000.0,100000000.0,0,BEAR
2023-07-19,100000000.0,100000000.0,0,BEAR
2023-07-20,100000000.0,100000000.0,0,BEAR
2023-07-21,100000000.0,100000000.0,0,BEAR
2023-07-24,100000000.0,100000000.0,0,BEAR
2023-07-25,100000000.0,100000000.0,0,BEAR
2023-07-26,100000000.0,100000000.0,0,BEAR
2023-07-27,100000000.0,100000000.0,0,BEAR
2023-07-28,100000000.0,100000000.0,0,BEAR
2023-07-31,100000000.0,100000000.0,0,BEAR
2023-08-01,100000000.0,100000000.0,0,BEAR
2023-08-02,100000000.0,100000000.0,0,BEAR
2023-08-03,100000000.0,100000000.0,0,BEAR
2023-08-04,100000000.0,100000000.0,0,BEAR
2023-08-07,100000000.0,100000000.0,0,BEAR
2023-08-08,100000000.0,100000000.0,0,BEAR
2023-08-09,100000000.0,100000000.0,0,BEAR
2023-08-10,100000000.0,100000000.0,0,BEAR
2023-08-11,100000000.0,100000000.0,0,SIDEWAYS
2023-08-14,100000000.0,100000000.0,0,SIDEWAYS
2023-08-16,100000000.0,100000000.0,0,SIDEWAYS
2023-08-17,100000000.0,100000000.0,0,SIDEWAYS
2023-08-18,100000000.0,100000000.0,0,SIDEWAYS
2023-08-21,100000000.0,100000000.0,0,BEAR
2023-08-22,100000000.0,100000000.0,0,BEAR
2023-08-23,100000000.0,100000000.0,0,BEAR
2023-08-24,100000000.0,100000000.0,0,BEAR
2023-08-25,100000000.0,100000000.0,0,BEAR
2023-08-28,100000000.0,100000000.0,0,SIDEWAYS
2023-08-29,100000000.0,100000000.0,0,SIDEWAYS
2023-08-30,100000000.0,100000000.0,0,SIDEWAYS
2023-08-31,100000000.0,100000000.0,0,SIDEWAYS
2023-09-01,100000000.0,100000000.0,0,SIDEWAYS
2023-09-04,100000000.0,100000000.0,0,SIDEWAYS
2023-09-05,100000000.0,100000000.0,0,SIDEWAYS
2023-09-06,100000000.0,100000000.0,0,SIDEWAYS
2023-09-07,100000000.0,100000000.0,0,SIDEWAYS
2023-09-08,100000000.0,100000000.0,0,SIDEWAYS
2023-09-11,100000000.0,100000000.0,0,SIDEWAYS
2023-09-12,100000000.0,100000000.0,0,SIDEWAYS
2023-09-13,100000000.0,100000000.0,0,SIDEWAYS
2023-09-14,100000000.0,100000000.0,0,SIDEWAYS
2023-09-15,100000000.0,100000000.0,0,SIDEWAYS
2023-09-18,100000000.0,100000000.0,0,SIDEWAYS
2023-09-19,100000000.0,100000000.0,0,SIDEWAYS
2023-09-20,100000000.0,100000000.0,0,SIDEWAYS
2023-09-21,100000000.0,100000000.0,0,SIDEWAYS
2023-09-22,100000000.0,100000000.0,0,SIDEWAYS
2023-09-25,100000000.0,100000000.0,0,BEAR
2023-09-26,100000000.0,100000000.0,0,BEAR
2023-09-27,100000000.0,100000000.0,0,BEAR
2023-10-04,100000000.0,100000000.0,0,BEAR
2023-10-05,100000000.0,100000000.0,0,BEAR
2023-10-06,100000000.0,100000000.0,0,BEAR
2023-10-10,100000000.0,100000000.0,0,BEAR
2023-10-11,100000000.0,100000000.0,0,BEAR
2023-10-12,100000000.0,100000000.0,0,BEAR
2023-10-13,100000000.0,100000000.0,0,BEAR
2023-10-16,100000000.0,100000000.0,0,BEAR
2023-10-17,100000000.0,100000000.0,0,BEAR
2023-10-18,100000000.0,100000000.0,0,BEAR
2023-10-19,100000000.0,100000000.0,0,BEAR
2023-10-20,100000000.0,100000000.0,0,BEAR
2023-10-23,100000000.0,100000000.0,0,BEAR
2023-10-24,100000000.0,100000000.0,0,BEAR
2023-10-25,100000000.0,100000000.0,0,BEAR
2023-10-26,100000000.0,100000000.0,0,BEAR
2023-10-27,100000000.0,100000000.0,0,BEAR
2023-10-30,100000000.0,100000000.0,0,BEAR
2023-10-31,100000000.0,100000000.0,0,BEAR
2023-11-01,100000000.0,100000000.0,0,BEAR
2023-11-02,100000000.0,100000000.0,0,BEAR
2023-11-03,100000000.0,100000000.0,0,BEAR
2023-11-06,99936102.58795002,44373135.58795001,8,BULL
2023-11-07,98345889.19607802,57054108.19607802,6,BULL
2023-11-08,97153723.74607801,69767492.74607801,4,BULL
2023-11-09,96665419.74607801,69767492.74607801,4,BULL
2023-11-10,96036663.92551202,82498063.92551202,2,BULL
2023-11-13,96163013.92551202,82498063.92551202,2,BEAR
2023-11-14,96426513.92551202,82498063.92551202,2,BEAR
2023-11-15,96477013.92551202,82498063.92551202,2,BEAR
2023-11-16,96699063.92551202,82498063.92551202,2,BEAR
2023-11-17,97078613.92551202,82498063.92551202,2,BEAR
2023-11-20,96843286.530512,55399636.53051201,6,BULL
2023-11-21,97987828.82851201,63196128.82851201,5,BULL
2023-11-22,98984003.23717201,71034223.23717201,4,BULL
2023-11-23,98940053.23717201,71034223.23717201,4,BULL
2023-11-24,98996113.23717201,71034223.23717201,4,BULL
2023-11-27,98976258.88642201,1382863.8864220083,14,BULL
2023-11-28,99326692.88642201,1382863.8864220083,14,BULL
2023-11-29,98517853.88642201,1382863.8864220083,14,BULL
2023-11-30,97854620.99242201,22142760.992422007,11,BULL
2023-12-01,96639537.53392202,28353016.53392201,10,BULL
2023-12-04,95571140.21892202,41589553.21892201,8,SIDEWAYS
2023-12-05,94402109.21121201,60394189.21121202,5,SIDEWAYS
2023-12-06,94485589.21121201,60394189.21121202,5,SIDEWAYS
2023-12-07,94833689.21121201,60394189.21121202,5,SIDEWAYS
2023-12-08,94840049.21121201,60394189.21121202,5,SIDEWAYS
