date,equity,cash,positions,regime
2023-06-01,99983915.89875,85997740.89875,2,SIDEWAYS
2023-06-02,100052025.89875,85997740.89875,2,SIDEWAYS
2023-06-05,100620339.8285,93432039.8285,1,SIDEWAYS
2023-06-07,100677923.62742001,100677923.62742001,0,SIDEWAYS
2023-06-08,100677923.62742001,100677923.62742001,0,SIDEWAYS
2023-06-09,100677923.62742001,100677923.62742001,0,BULL
2023-06-12,100677923.62742001,100677923.62742001,0,BULL
2023-06-13,100677923.62742001,100677923.62742001,0,BULL
2023-06-14,100677923.62742001,100677923.62742001,0,BULL
2023-06-15,100677923.62742001,100677923.62742001,0,BULL
2023-06-16,100629376.74082,58414692.740820006,6,SIDEWAYS
2023-06-19,100579727.54882,65276151.548820004,5,SIDEWAYS
2023-06-20,100215845.87791601,72155725.87791601,4,SIDEWAYS
2023-06-21,99627575.66691601,85746095.66691601,2,SIDEWAYS
2023-06-22,99454040.38365602,99454040.38365602,0,SIDEWAYS
2023-06-23,99339946.35020605,127743.35020604916,15,SIDEWAYS
2023-06-26,99476107.24380605,41267414.24380605,9,SIDEWAYS
2023-06-27,99530593.35295805,50992988.352958046,7,SIDEWAYS
2023-06-28,99228465.74426803,78889368.74426803,3,SIDEWAYS
2023-06-29,99261449.05040303,85685665.05040303,2,SIDEWAYS
2023-06-30,98981842.27210303,43978378.27210303,8,SIDEWAYS
2023-07-03,100867071.12660302,72979063.12660302,4,SIDEWAYS
2023-07-04,100692977.96316703,94105451.96316703,1,SIDEWAYS
2023-07-05,100772453.96316703,94105451.96316703,1,SIDEWAYS
2023-07-06,100719467.96316703,94105451.96316703,1,SIDEWAYS
2023-07-07,100435826.10636702,100435826.10636702,0,BEAR
2023-07-10,100435826.10636702,100435826.10636702,0,BEAR
2023-07-11,100435826.10636702,100435826.10636702,0,BEAR
2023-07-12,100435826.10636702,100435826.10636702,0,BEAR
2023-07-13,100435826.10636702,100435826.10636702,0,BEAR
2023-07-14,100435826.10636702,100435826.10636702,0,BEAR
