code,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_won,exit_type,hold_days,sector,regime
315640,Trend,2023-11-06,2023-11-07,11972.0,11014.24,-8.41,-586348,SL,1,IT 서비스,BULL
277810,Trend,2023-11-06,2023-11-07,175200.0,161184.0,-8.41,-573026,SL,1,기계·장비,BULL
196170,Trend,2023-11-06,2023-11-08,71900.0,65500.0,-9.31,-647563,SL,2,일반서비스,BULL
328130,Trend,2023-11-06,2023-11-08,92804.0,85300.0,-8.5,-589677,SL,2,IT 서비스,BULL
185750,Trend,2023-11-06,2023-11-10,116691.0,107355.72,-8.41,-577384,SL,4,제약,BULL
178320,Trend,2023-11-06,2023-11-10,18650.0,17158.0,-8.41,-586524,SL,4,전기·전자,BULL
199800,Trend,2023-11-20,2023-11-21,63000.0,73080.0,15.59,1047740,TP,1,일반서비스,BULL
383930,Trend,2023-11-20,2023-11-22,6690.0,7760.4,15.59,1053331,TP,2,일반서비스,BULL
163730,Trend,2023-11-20,2023-11-27,13640.0,12650.0,-7.67,-518373,GAP_DOWN,5,IT 서비스,BULL
131970,Trend,2023-11-06,2023-11-30,54300.0,63400.0,16.35,1132867,TP,18,일반서비스,BULL
338220,Trend,2023-11-27,2023-11-30,46550.0,42826.0,-8.41,-577773,SL,3,IT 서비스,BULL
394280,Trend,2023-11-27,2023-11-30,22400.0,20608.0,-8.41,-580473,SL,3,IT 서비스,BULL
204270,Trend,2023-11-20,2023-12-01,14750.0,13570.0,-8.41,-567780,SL,9,전기·전자,BULL
199800,Trend,2023-11-27,2023-12-04,75500.0,75800.0,-0.01,-950,GAP_DOWN,5,일반서비스,BULL
200710,Trend,2023-11-27,2023-12-04,29500.0,27140.0,-8.41,-581387,SL,5,전기·전자,BULL
399720,Trend,2023-11-27,2023-12-05,50300.0,46276.0,-8.41,-577915,SL,6,전기·전자,BULL
396270,Trend,2023-11-27,2023-12-05,16205.0,14395.0,-11.58,-798960,SL,6,전기·전자,BULL
115610,Trend,2023-11-27,2023-12-05,3178.0,2923.76,-8.41,-581013,SL,6,전기·전자,BULL
294870,Trend,2023-11-27,2023-12-11,15270.0,14790.0,-3.55,-245701,GAP_DOWN,10,건설,BULL
307950,Trend,2023-11-27,2023-12-12,181800.0,167256.0,-8.41,-579366,SL,11,IT 서비스,BULL
251270,Trend,2023-11-27,2023-12-15,57600.0,52992.0,-8.41,-579668,SL,14,IT 서비스,BULL
259960,Trend,2023-11-27,2023-12-22,217000.0,178500.0,-18.15,-1217560,SL,19,IT 서비스,BULL
290690,Trend,2024-01-04,2024-01-05,33862.0,39279.92,15.59,999990,TP,1,전기·전자,BULL
138610,Trend,2024-01-04,2024-01-05,25150.0,23350.0,-7.57,-485838,GAP_DOWN,1,제약,BULL
117580,Trend,2024-01-04,2024-01-05,10150.0,9160.0,-10.16,-654250,SL,1,전기·가스,BULL
264850,Trend,2024-01-11,2024-01-12,5950.0,6902.0,15.59,998780,TP,1,전기·전자,BULL
314930,Trend,2024-01-11,2024-01-15,14007.0,12886.44,-8.41,-539180,SL,2,의료·정밀기기,BULL
179900,Trend,2024-01-11,2024-01-17,42050.0,38300.0,-9.33,-594524,SL,4,전기·전자,BULL
377300,Trend,2024-01-11,2024-01-18,58000.0,53000.0,-9.03,-574536,SL,5,기타금융,BULL
146320,Trend,2024-01-04,2024-01-26,25150.0,23138.0,-8.41,-539950,SL,16,전기·전자,BULL
214420,Trend,2024-01-11,2024-01-30,6230.0,6470.0,3.44,220589,GAP_DOWN,13,화학,BULL
161390,Trend,2023-11-06,2024-02-01,45000.0,52200.0,15.59,1084110,TP,60,화학,BULL
263700,Trend,2024-02-19,2024-02-20,7440.0,6844.8,-8.41,-540963,SL,1,일반서비스,BULL
303530,Trend,2024-02-19,2024-02-20,13600.0,15776.0,15.59,1001951,TP,1,IT 서비스,BULL
348370,Trend,2024-02-19,2024-02-21,301500.0,349740.0,15.59,984092,TP,2,화학,BULL
101360,Trend,2024-02-19,2024-02-21,54405.0,63109.8,15.59,997815,TP,2,화학,BULL
267260,Trend,2024-02-19,2024-02-26,123600.0,143376.0,15.59,998967,TP,5,전기·전자,BULL
100790,Trend,2024-02-19,2024-02-26,7120.0,6540.0,-8.56,-549770,SL,5,금융,BULL
161390,Trend,2024-02-19,2024-02-26,56200.0,55700.0,-1.3,-83100,GAP_DOWN,5,화학,BULL
294870,Trend,2024-02-19,2024-03-12,18790.0,16800.0,-11.0,-706981,SL,15,건설,BULL
402340,Trend,2024-02-19,2024-03-22,69600.0,80736.0,15.59,995237,TP,23,기타금융,BULL
138040,Trend,2024-02-19,2024-03-27,78600.0,80200.0,1.63,104388,GAP_DOWN,26,기타금융,BULL
317330,Trend,2024-05-02,2024-05-03,44500.0,41750.0,-6.59,-438651,GAP_DOWN,1,화학,BULL
199820,Trend,2024-05-02,2024-05-07,9439.0,11704.0,23.59,1569270,TP,2,전기·전자,BULL
226340,Trend,2024-05-02,2024-05-08,2891.0,2598.0,-10.54,-701606,SL,3,화학,BULL
371950,Trend,2024-05-02,2024-05-13,10400.0,9568.0,-8.41,-559071,SL,6,전기·전자,BULL
171090,Trend,2024-05-10,2024-05-14,70800.0,63300.0,-11.0,-730207,SL,2,기계·장비,BULL
900340,Trend,2024-05-10,2024-05-14,2080.0,2055.0,-1.61,-107422,GAP_DOWN,2,금융,BULL
103590,Trend,2024-05-10,2024-05-14,24650.0,24100.0,-2.64,-175349,GAP_DOWN,2,전기·전자,BULL
214420,Trend,2024-05-10,2024-05-16,9940.0,9090.0,-8.96,-596013,SL,3,화학,BULL
103140,Trend,2024-05-02,2024-05-17,72700.0,72200.0,-1.1,-72490,GAP_DOWN,9,금속,BULL
429270,Trend,2024-05-10,2024-05-17,14694.0,17045.039999999997,15.59,1036872,TP,4,전기·전자,BULL
257720,Trend,2024-05-10,2024-05-20,26250.0,30450.0,15.59,1036316,TP,5,유통,BULL
114840,Trend,2024-05-10,2024-05-22,32700.0,32600.0,-0.72,-47690,GAP_DOWN,7,화학,BULL
183300,Trend,2024-05-02,2024-05-29,94500.0,86940.0,-8.41,-554760,SL,17,기계·장비,BULL
448280,Trend,2025-05-09,2025-05-12,14130.0,12780.0,-9.96,-659857,SL,1,일반서비스,BULL
272210,Trend,2025-05-09,2025-05-12,46850.0,42950.0,-8.73,-575362,SL,1,전기·전자,BULL
256940,Trend,2025-05-09,2025-05-12,12790.0,11766.800000000001,-8.41,-556690,SL,1,제약,BULL
119850,Trend,2025-05-09,2025-05-15,26600.0,30856.0,15.59,1033596,TP,4,전기·전자,BULL
439580,Trend,2025-05-09,2025-05-15,8410.0,7420.0,-12.18,-807033,SL,4,유통,BULL
278470,Trend,2025-05-09,2025-05-27,102700.0,119132.0,15.59,1021597,TP,12,화학,BULL
214430,Trend,2025-05-09,2025-06-02,65200.0,83000.0,26.89,1765497,TP,16,전기·전자,BULL
122870,Trend,2025-05-09,2025-06-02,74400.0,86304.0,15.59,1029182,TP,16,오락·문화,BULL
336570,Trend,2025-05-09,2025-06-12,9200.0,10672.0,15.59,1032415,TP,22,의료·정밀기기,BULL
214450,Trend,2025-06-10,2025-06-13,520000.0,433500.0,-17.04,-1148899,SL,3,제약,BULL
234340,Trend,2025-06-10,2025-06-16,14649.0,19352.0,31.69,2171032,TP,4,IT 서비스,BULL
377300,Trend,2025-06-10,2025-06-17,57400.0,57900.0,0.46,31319,GAP_DOWN,5,기타금융,BULL
298040,Trend,2025-06-10,2025-06-17,682000.0,791120.0,15.59,1060019,TP,5,전기·전자,BULL
417860,Trend,2025-06-17,2025-06-18,26500.0,30740.0,15.59,1095612,TP,1,IT 서비스,BULL
347860,Trend,2025-06-17,2025-06-18,3025.0,3509.0,15.59,1097376,TP,1,IT 서비스,BULL
300080,Trend,2025-06-10,2025-06-19,9439.0,10949.239999999998,15.59,1066571,TP,7,IT 서비스,BULL
377030,Trend,2025-06-17,2025-06-19,5350.0,6206.0,15.59,1097633,TP,2,IT 서비스,BULL
181710,Trend,2025-06-17,2025-06-19,29150.0,33814.0,15.59,1096436,TP,2,IT 서비스,BULL
358570,Trend,2025-06-10,2025-06-20,20800.0,24128.0,15.59,1066858,TP,8,일반서비스,BULL
256940,Trend,2025-06-17,2025-06-20,20050.0,19050.0,-5.4,-379898,GAP_DOWN,3,제약,BULL
347850,Trend,2025-06-17,2025-06-23,34059.0,33683.0,-1.51,-106508,GAP_DOWN,4,일반서비스,BULL
402340,Trend,2025-06-17,2025-06-24,153400.0,181000.0,17.58,1236923,TP,5,기타금융,BULL
419530,Trend,2025-06-17,2025-06-25,85100.0,98716.0,15.59,1097835,TP,6,오락·문화,BULL
272210,Trend,2025-06-17,2025-06-25,66200.0,58900.0,-11.44,-800288,SL,6,전기·전자,BULL
124500,Trend,2025-06-24,2025-06-25,32500.0,28750.0,-11.95,-898348,SL,1,IT 서비스,BULL
201490,Trend,2025-06-24,2025-06-25,7280.0,6697.6,-8.41,-632509,SL,1,IT 서비스,BULL
234340,Trend,2025-06-24,2025-06-25,21923.0,19825.0,-9.98,-750503,SL,1,IT 서비스,BULL
475150,Trend,2025-06-24,2025-06-25,28900.0,24950.0,-14.08,-1054778,SL,1,건설,BULL
205500,Trend,2025-06-24,2025-06-25,4585.0,4218.2,-8.41,-632145,SL,1,IT 서비스,BULL
160190,Trend,2025-06-24,2025-06-25,45950.0,38950.0,-15.64,-28671,SL,1,전기·전자,BULL
402030,Trend,2025-06-24,2025-06-26,44962.0,40710.0,-9.87,-738775,SL,2,IT 서비스,BULL
211050,Trend,2025-06-24,2025-06-26,13170.0,15277.2,15.59,1170876,TP,2,금융,BULL
123420,Trend,2025-06-24,2025-06-26,11610.0,10300.0,-11.69,-878575,SL,2,IT 서비스,BULL
323410,Trend,2025-06-24,2025-06-26,37000.0,31350.0,-15.68,-5785,SL,2,은행,BULL
402340,Trend,2025-06-24,2025-06-27,181000.0,176300.0,-3.01,-222558,GAP_DOWN,3,기타금융,BULL
122870,Trend,2025-06-10,2025-07-03,90300.0,86500.0,-4.62,-316086,GAP_DOWN,17,오락·문화,BULL
300080,Trend,2025-06-24,2025-07-03,11330.0,13330.0,17.24,1295185,TP,7,IT 서비스,BULL
458870,Trend,2025-06-24,2025-07-03,23800.0,27900.0,16.82,694317,TP,7,의료·정밀기기,BULL
310200,Trend,2025-06-17,2025-07-08,4675.0,5423.0,15.59,1097205,TP,15,오락·문화,BULL
327260,Trend,2025-09-10,2025-09-11,10600.0,12296.0,15.59,1153276,TP,1,전기·전자,BULL
319400,Trend,2025-09-10,2025-09-12,8310.0,9639.599999999999,15.59,1153405,TP,2,기계·장비,BULL
333430,Trend,2025-09-10,2025-09-12,9060.0,8970.0,-1.4,-103915,GAP_DOWN,2,운송장비·부품,BULL
391710,Trend,2025-09-10,2025-09-15,2935.0,3404.5999999999995,15.59,1154138,TP,3,기계·장비,BULL
425420,Trend,2025-09-10,2025-09-17,45850.0,39200.0,-14.91,-1097757,SL,5,전기·전자,BULL
356860,Trend,2025-09-10,2025-09-17,38750.0,38800.0,-0.28,-20823,GAP_DOWN,5,전기·전자,BULL
437730,Trend,2025-09-10,2025-09-18,20200.0,23600.0,16.42,1213724,TP,6,운송장비·부품,BULL
476060,Trend,2025-09-17,2025-09-18,11175.0,10187.0,-9.25,-702045,SL,1,일반서비스,BULL
170920,Trend,2025-09-17,2025-09-18,16630.0,19650.0,17.75,1344909,TP,1,화학,BULL
282880,Trend,2025-09-17,2025-09-18,18370.0,16899.0,-8.42,-638379,SL,1,기계·장비,BULL
466100,Trend,2025-09-10,2025-09-19,26550.0,30798.0,15.59,1151325,TP,7,IT 서비스,BULL
376930,Trend,2025-09-17,2025-09-19,3351.0,3082.92,-8.41,-638215,SL,2,의료·정밀기기,BULL
226590,Trend,2025-09-17,2025-09-19,17910.0,20775.6,15.59,531690,TP,2,전기·전자,BULL
440110,Trend,2025-09-17,2025-09-22,19180.0,24200.0,25.76,1950915,TP,3,전기·전자,BULL
126340,Trend,2025-09-10,2025-09-23,49555.0,57483.8,15.59,1147633,TP,9,전기·전자,BULL
397030,Trend,2025-09-10,2025-09-23,26500.0,30740.0,15.59,1153276,TP,9,일반서비스,BULL
228760,Trend,2025-09-17,2025-09-29,23350.0,21000.0,-10.47,-792611,SL,8,일반서비스,BULL
259630,Trend,2025-09-17,2025-09-30,13580.0,13710.0,0.55,41406,GAP_DOWN,9,기계·장비,BULL
240810,Trend,2025-09-10,2025-10-02,44900.0,56700.0,25.87,1910882,TP,16,기계·장비,BULL
298040,Trend,2025-09-10,2025-10-15,1393000.0,1640000.0,17.32,1202800,TP,20,전기·전자,BULL
475830,Trend,2025-09-10,2025-10-27,32350.0,39850.0,22.77,1682060,TP,28,제약,BULL
437730,Trend,2025-12-03,2025-12-04,44900.0,41308.0,-8.41,-696616,SL,1,운송장비·부품,BULL
308080,Trend,2025-12-03,2025-12-04,7640.0,9000.0,17.39,1442559,TP,1,일반서비스,BULL
323280,Trend,2025-12-03,2025-12-04,49750.0,46850.0,-6.24,-516935,GAP_DOWN,1,기계·장비,BULL
389470,Trend,2025-12-03,2025-12-04,78300.0,97200.0,23.73,1963461,TP,1,일반서비스,BULL
310210,Trend,2025-12-03,2025-12-04,249000.0,232000.0,-7.24,-593035,GAP_DOWN,1,일반서비스,BULL
388870,Trend,2025-12-03,2025-12-04,9440.0,10980.0,15.9,19458,TP,1,일반서비스,BULL
128820,Trend,2025-12-03,2025-12-04,6230.0,5430.0,-13.25,-823,SL,1,유통,BULL
376270,Trend,2025-12-03,2025-12-05,55100.0,50692.0,-8.41,-697757,SL,2,일반서비스,BULL
298380,Trend,2025-12-03,2025-12-05,201000.0,190600.0,-5.58,-458930,GAP_DOWN,2,제약,BULL
156100,Trend,2025-12-03,2025-12-05,14110.0,13930.0,-1.69,-139781,GAP_DOWN,2,의료·정밀기기,BULL
