code,strategy,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_won,exit_type,hold_days,sector,regime
299900,MeanReversion,2023-06-01,2023-06-05,3515.0,3745.0,6.13,427886,TP,2,오락·문화,SIDEWAYS
211270,MeanReversion,2023-06-01,2023-06-07,14290.0,14861.6,3.59,250038,TP,3,전기·전자,SIDEWAYS
137310,MeanReversion,2023-06-16,2023-06-19,14480.0,14160.0,-2.62,-183914,SL,1,의료·정밀기기,SIDEWAYS
215600,MeanReversion,2023-06-16,2023-06-20,5128.0,5025.44,-2.41,-169267,SL,2,일반서비스,SIDEWAYS
249420,MeanReversion,2023-06-16,2023-06-21,17350.0,16730.0,-3.98,-279858,SL,3,제약,SIDEWAYS
237690,MeanReversion,2023-06-16,2023-06-21,80700.0,78600.0,-3.01,-210947,SL,3,제약,SIDEWAYS
195940,MeanReversion,2023-06-16,2023-06-22,30850.0,30050.0,-3.0,-210700,SL,4,제약,SIDEWAYS
294870,MeanReversion,2023-06-16,2023-06-22,12010.0,11769.8,-2.41,-169197,SL,4,건설,SIDEWAYS
377300,MeanReversion,2023-06-23,2023-06-26,47100.0,46158.0,-2.41,-166453,SL,1,기타금융,SIDEWAYS
215200,MeanReversion,2023-06-23,2023-06-26,57000.0,55800.0,-2.52,-174480,SL,1,일반서비스,SIDEWAYS
253450,MeanReversion,2023-06-23,2023-06-26,58000.0,56840.0,-2.41,-165931,SL,1,오락·문화,SIDEWAYS
173130,MeanReversion,2023-06-23,2023-06-26,11099.0,11735.0,5.32,368475,TP,1,IT 서비스,SIDEWAYS
139480,MeanReversion,2023-06-23,2023-06-26,78400.0,76832.0,-2.41,-165864,SL,1,유통,SIDEWAYS
336260,MeanReversion,2023-06-23,2023-06-26,28900.0,28322.0,-2.41,-166748,SL,1,전기·전자,SIDEWAYS
171090,MeanReversion,2023-06-23,2023-06-27,29800.0,31100.0,3.95,273539,TP,2,기계·장비,SIDEWAYS
297890,MeanReversion,2023-06-23,2023-06-27,3834.0,3987.36,3.59,86291,TP,2,기계·장비,SIDEWAYS
293490,MeanReversion,2023-06-23,2023-06-28,34750.0,34055.0,-2.41,-167085,SL,3,IT 서비스,SIDEWAYS
389500,MeanReversion,2023-06-23,2023-06-28,40300.0,38400.0,-5.12,-354256,SL,3,기계·장비,SIDEWAYS
291230,MeanReversion,2023-06-23,2023-06-28,4490.0,4735.0,5.05,349870,TP,3,일반서비스,SIDEWAYS
190510,MeanReversion,2023-06-23,2023-06-28,14820.0,15412.800000000001,3.59,248706,TP,3,전기·전자,SIDEWAYS
215600,MeanReversion,2023-06-23,2023-06-29,4665.0,4571.7,-2.41,-167218,SL,4,일반서비스,SIDEWAYS
441270,MeanReversion,2023-06-23,2023-06-30,9080.0,8880.0,-2.61,-181265,SL,5,전기·전자,SIDEWAYS
215200,MeanReversion,2023-06-30,2023-07-03,51800.0,54500.0,4.8,329794,TP,1,일반서비스,SIDEWAYS
417180,MeanReversion,2023-06-30,2023-07-03,4500.0,4680.0,3.59,247969,TP,1,IT 서비스,SIDEWAYS
112040,MeanReversion,2023-06-30,2023-07-03,39050.0,41950.0,7.02,483447,TP,1,IT 서비스,SIDEWAYS
377480,MeanReversion,2023-06-30,2023-07-03,23250.0,24180.0,3.59,247916,TP,1,IT 서비스,SIDEWAYS
419050,MeanReversion,2023-06-30,2023-07-04,4179.0,4346.16,3.59,247926,TP,2,운송장비·부품,SIDEWAYS
362320,MeanReversion,2023-06-30,2023-07-04,7380.0,7675.2,3.59,247963,TP,2,유통,SIDEWAYS
375500,MeanReversion,2023-06-30,2023-07-04,34750.0,34050.0,-2.42,-167242,SL,2,건설,SIDEWAYS
207940,MeanReversion,2023-06-23,2023-07-07,1099393.0,1058184.0,-4.16,-273570,SL,10,제약,SIDEWAYS
267320,Defense,2023-08-21,2023-08-22,6250.0,4890.0,-22.17,-465604,SL,1,기계·장비,BEAR
149980,Defense,2023-08-21,2023-08-22,11303.0,10581.614658916516,-6.79,-142402,SL,1,의료·정밀기기,BEAR
347000,Defense,2023-08-21,2023-08-22,5680.0,4105.0,-28.14,-591241,SL,1,의료·정밀기기,BEAR
391710,Defense,2023-08-21,2023-08-22,6000.0,5070.0,-15.91,-334102,SL,1,기계·장비,BEAR
314930,Defense,2023-08-21,2023-08-23,12740.0,13647.995985330268,6.72,140759,TP,2,의료·정밀기기,BEAR
