date,code,close_type,entry_price,close_price,pnl
2026-03-09,0043B0,SL,33023,82289,0
2026-03-09,449170,SL,45824,65740,0
2026-03-09,463290,SL,35179,84880,0
2026-03-09,043260,SL,20251,18000,0
2026-03-09,083650,SL,19381,73153,0
2026-03-09,237690,SL,28090,19767,0
2026-03-09,455890,MA20,32079,81222,0
2026-03-09,263750,MA20,97174,66406,0
2026-03-09,017960,MA20,48085,91722,0
2026-03-09,084110,MA20,49161,91340,0
2026-03-09,389030,MA20,71009,77908,0
2026-03-09,357870,TP,56313,77801,0
2026-03-09,479080,TP,48176,81405,0
2026-03-10,530031,TP,3478,3475,0
2026-03-10,456610,SL,63787,23344,0
2026-03-10,083650,SL,97798,57435,0
2026-03-10,237690,SL,162262,61254,0
2026-03-10,084110,SL,63965,44478,0
2026-03-10,043260,SL,38538,24884,0
2026-03-10,020000,SL,23624,12703,0
2026-03-10,263750,SL,66166,21739,0
2026-03-10,017960,SL,44794,13791,0
2026-03-10,448900,SL,90377,89252,0
2026-03-10,448900,SL,22331,135000,0
2026-03-10,327260,SL,19593,46800,0
2026-03-10,218410,SL,14026,63200,0
2026-03-10,234340,SL,34450,34850,0
2026-03-10,124500,SL,71107,55900,0
