date,regime,signals,accepted,mode
2026-03-08,BULL,5,5,
2026-03-08,BULL,0,0,
2026-03-08,BULL,0,0,
2026-03-08,BULL,0,0,
2026-03-08,BULL,0,0,
2026-03-08,BULL,0,0,
2026-03-09,BEAR,0,0,
2026-03-09,BEAR,0,0,
2026-03-09,BEAR,0,0,
2026-03-09,BEAR,0,0,
2026-03-09,BULL,50,0,
2026-03-09,BULL,50,13,
2026-03-09,BULL,50,12,
2026-03-10,SIDEWAYS,50,0,
2026-03-10,BEAR,50,0,
2026-03-10,BEAR,50,0,
2026-03-10,BEAR,50,0,
2026-03-10,BEAR,50,0,
2026-03-10,BEAR,50,9,
2026-03-10,BEAR,50,5,
2026-03-10,SIDEWAYS,50,9,
2026-03-10,BEAR,50,6,
2026-03-10,BEAR,12,0,
2026-03-10,BEAR,12,0,
2026-03-10,BEAR,12,0,
2026-03-10,BEAR,12,0,
2026-03-10,BEAR,12,0,
2026-03-10,BEAR,12,1,
2026-03-10,BEAR,12,0,
2026-03-10,BEAR,12,2,
2026-03-10,BEAR,12,5,
2026-03-10,BEAR,12,4,
2026-03-10,BEAR,12,5,
2026-03-10,BEAR,12,5,
2026-03-10,BEAR,12,7,
2026-03-10,BEAR,12,5,
2026-03-10,BEAR,12,4,
2026-03-10,BEAR,50,0,
2026-03-11,BULL,50,13,
2026-03-12,BEAR,12,5,
2026-03-12,BEAR,12,7,
2026-03-12,BEAR,12,7,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,0,
2026-03-12,BULL,19,0,
2026-03-12,BULL,19,2,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,0,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,5,
2026-03-12,BULL,19,0,
2026-03-12,BULL,19,14,
2026-03-12,BULL,19,14,
2026-03-13,BULL,13,0,
2026-03-13,BULL,13,0,
2026-03-13,BULL,13,12,
2026-03-13,BULL,13,0,
2026-03-13,BULL,13,0,
2026-03-13,BULL,13,0,
2026-03-13,BULL,13,6,
2026-03-13,BULL,13,1,
2026-03-13,BULL,13,12,
2026-03-13,BULL,12,11,
2026-03-13,BULL,13,0,
2026-03-13,BULL,12,12,
2026-03-13,BULL,13,12,
2026-03-13,BULL,12,1,
2026-03-13,BULL,11,0,
2026-03-13,BULL,12,0,
2026-03-13,BULL,12,0,
2026-03-13,BULL,12,0,
2026-03-13,BULL,13,1,
2026-03-15,BULL,11,8,
2026-03-15,BULL,12,2,
2026-03-16,BULL,12,0,
2026-03-16,BULL,12,1,
2026-03-16,BULL,12,0,
2026-03-16,BULL,10,0,
2026-03-16,BULL,11,0,
2026-03-16,BULL,11,1,
2026-03-16,BULL,12,11,
2026-03-16,BULL,12,0,
2026-03-16,BULL,12,9,
2026-03-16,BULL,12,0,
2026-03-17,BULL,10,0,MOCK
2026-03-18,BULL,5,4,LIVE
2026-03-19,BULL,6,1,LIVE
