date,open,high,low,close,volume
2023-02-09,9340,9370,9300,9330,12140
2023-02-10,9320,9330,9130,9170,31776
2023-02-13,9180,9200,9070,9120,20860
2023-02-14,9130,9180,9130,9170,15564
2023-02-15,9180,9190,8990,9000,33604
2023-02-16,9050,9070,9000,9030,21904
2023-02-17,9030,9070,8990,9040,25730
2023-02-20,9040,9220,9040,9220,33065
2023-02-21,9220,9270,9170,9250,15697
2023-02-22,9150,9210,9140,9190,22164
2023-02-23,9180,9280,9150,9280,32953
2023-02-24,9190,9340,9190,9270,25276
2023-02-27,9270,9270,9060,9120,17516
2023-02-28,9120,9150,9060,9100,16307
2023-03-02,9060,9120,9050,9100,12163
2023-03-03,9110,9120,9070,9100,22059
2023-03-06,9100,9190,9000,9070,21144
2023-03-07,9100,9250,9060,9180,46457
2023-03-08,9190,9190,9050,9110,41961
2023-03-09,9140,9200,9070,9140,21700
2023-03-10,9070,9120,8950,8990,26045
2023-03-13,8920,8920,8750,8910,22368
2023-03-14,8860,8860,8510,8530,61470
2023-03-15,8680,8710,8580,8610,16736
2023-03-16,8500,8580,8420,8500,24461
2023-03-17,8560,8700,8510,8670,25797
2023-03-20,8670,8760,8670,8740,11745
2023-03-21,8730,8760,8700,8730,13102
2023-03-22,8740,8740,8600,8650,23826
2023-03-23,8650,8650,8520,8570,27177
2023-03-24,8600,8700,8510,8700,12782
2023-03-27,8660,8680,8600,8660,15293
2023-03-28,8660,8800,8660,8800,11265
2023-03-29,8800,8960,8720,8930,21066
2023-03-30,8860,8970,8800,8970,24167
2023-03-31,8950,8990,8940,8950,17213
2023-04-03,8950,9020,8890,8950,21026
2023-04-04,8930,9000,8920,8960,14952
2023-04-05,8910,9000,8910,8980,23282
2023-04-06,9000,9000,8780,8850,23831
2023-04-07,8870,8870,8750,8790,22899
2023-04-10,8850,8850,8640,8680,42342
2023-04-11,8730,8740,8600,8740,39439
2023-04-12,8740,8830,8700,8830,21545
2023-04-13,8830,8870,8740,8850,18496
2023-04-14,8950,9020,8810,8950,30284
2023-04-17,8900,9000,8830,9000,26127
2023-04-18,9010,9010,8890,8930,19775
2023-04-19,8970,8970,8830,8890,24127
2023-04-20,8890,9200,8840,9070,74678
2023-04-21,9150,9250,9000,9060,100855
2023-04-24,9070,9120,8810,8820,57123
2023-04-25,8880,8880,8670,8740,37590
2023-04-26,8620,8750,8620,8730,21764
2023-04-27,8730,8730,8600,8650,25795
2023-04-28,8680,8680,8610,8640,16541
2023-05-02,8740,8740,8640,8680,25219
2023-05-03,8680,8750,8660,8710,22869
2023-05-04,8740,8830,8700,8700,25209
2023-05-08,8810,8980,8780,8970,35591
2023-05-09,8970,9020,8890,8960,27240
2023-05-10,8960,9000,8840,8860,15609
2023-05-11,8900,8900,8830,8850,15290
2023-05-12,8850,8850,8780,8820,21172
2023-05-15,9000,9000,8640,8640,28499
2023-05-16,8650,8730,8600,8610,30697
2023-05-17,8620,8690,8600,8670,17969
2023-05-18,8680,8830,8680,8770,35971
2023-05-19,8790,8880,8780,8830,14983
2023-05-22,8900,8950,8830,8900,24467
2023-05-23,8830,8910,8790,8900,41110
2023-05-24,8820,8950,8820,8900,18241
2023-05-25,8860,8900,8810,8830,19650
2023-05-26,8850,8860,8700,8710,18042
2023-05-30,8730,8760,8680,8740,16806
2023-05-31,8670,8770,8650,8710,23563
2023-06-01,8710,8740,8630,8690,10235
2023-06-02,8660,8720,8630,8700,18797
2023-06-05,8720,8740,8690,8720,21100
2023-06-07,8720,8830,8650,8730,48648
2023-06-08,8790,8860,8750,8830,22625
2023-06-09,8860,8930,8830,8830,27989
2023-06-12,8840,8870,8760,8770,22441
2023-06-13,8810,8810,8730,8760,17735
2023-06-14,8780,8780,8650,8690,25935
2023-06-15,8700,8700,8600,8640,28844
2023-06-16,8640,8700,8600,8660,15061
2023-06-19,8680,8730,8680,8710,15243
2023-06-20,8770,8770,8670,8690,15294
2023-06-21,8710,8760,8640,8760,19283
2023-06-22,8760,8820,8710,8720,19440
2023-06-23,8720,8750,8640,8680,13361
2023-06-26,8720,8720,8600,8650,13938
2023-06-27,8680,8680,8630,8640,12600
2023-06-28,8620,8670,8600,8640,12807
2023-06-29,8670,9000,8550,8550,58051
2023-06-30,8610,8640,8530,8560,12112
2023-07-03,8850,9450,8700,9070,720311
2023-07-04,9100,9280,8860,9070,201214
2023-07-05,8990,9020,8850,8850,58892
2023-07-06,8820,8860,8760,8770,45900
2023-07-07,8760,8760,8580,8600,56647
2023-07-10,8550,8760,8410,8620,83232
2023-07-11,8630,8640,8510,8590,56193
2023-07-12,8590,8600,8550,8600,22921
2023-07-13,8670,8710,8600,8710,36467
2023-07-14,8710,8890,8650,8780,47309
2023-07-17,8800,9100,8800,9000,158496
2023-07-18,8990,9150,8890,8990,163104
2023-07-19,9110,9110,8750,9040,122761
2023-07-20,9050,9100,8890,8890,90806
2023-07-21,8890,8940,8820,8850,36868
2023-07-24,8860,8870,8600,8660,74179
2023-07-25,8690,8690,8450,8450,58546
2023-07-26,8440,8440,7870,8060,132290
2023-07-27,8060,8350,8060,8310,31280
2023-07-28,8310,8350,8240,8340,11755
2023-07-31,8390,8480,8300,8430,21983
2023-08-01,8440,8530,8400,8510,13294
2023-08-02,8500,8600,8340,8380,25837
2023-08-03,8390,8390,8230,8310,18759
2023-08-04,8300,8380,8260,8350,12271
2023-08-07,8440,8790,8360,8630,59566
2023-08-08,8710,8710,8510,8540,15217
2023-08-09,8540,8550,8460,8530,16891
2023-08-10,8530,8540,8460,8500,23158
2023-08-11,8500,8630,8500,8540,26316
2023-08-14,8600,8640,8480,8540,21197
2023-08-16,8540,8560,8240,8290,43297
2023-08-17,8290,8290,8030,8170,44592
2023-08-18,8140,8190,8060,8170,16771
2023-08-21,8170,8260,8110,8200,11397
2023-08-22,8200,8370,8120,8220,17179
