date,ticker,qscore,entry,tp,sl,sector,stage
20260310,010170,0.45,4245,5757,3489,전기·전자,B
20260310,065660,0.45,42800,52072,38164,유통,B
20260310,215380,0.45,2685,3495,2280,일반서비스,B
20260310,327260,0.45,46800,60780,39810,전기·전자,B
20260310,043260,0.4488,38500,48220,33640,전기·전자,B
20260310,105330,0.4487,6160,7316,5582,운송장비·부품,B
20260310,441680,0.4485,11050,11366,10892,기타,B
20260310,473330,0.4483,9410,9606,9312,기타,B
20260310,084110,0.4483,63900,74344,58678,제약,B
20260310,052020,0.4478,10450,12250,9550,유통,B
20260310,490490,0.4473,11540,11886,11367,기타,B
20260310,305080,0.4469,13605,13883,13466,기타,B
20260310,138080,0.4469,19860,25076,17252,전기·전자,B
20260310,329750,0.4468,13905,14197,13759,기타,B
20260310,421320,0.4465,45045,51323,41906,기타,B
20260310,448900,0.4465,135000,173950,115525,운송장비·부품,B
20260310,005090,0.4462,50300,65280,42810,전기·가스,B
20260310,290550,0.4462,14240,17378,12671,전기·전자,B
20260310,261240,0.4461,15235,15547,15079,기타,B
20260310,036170,0.446,3455,4387,2989,전기·전자,B
20260310,458730,0.4457,14540,14858,14381,기타,B
20260310,402490,0.4457,10340,12494,9263,전기·전자,B
20260310,192090,0.4455,13050,13502,12824,기타,B
20260310,402970,0.4455,14790,15132,14619,기타,B
20260310,283580,0.4453,16060,16572,15804,기타,B
20260310,389030,0.4451,4840,5684,4418,일반서비스,B
20260310,126340,0.4448,125000,149700,112650,전기·전자,B
20260310,476760,0.4447,10300,10536,10182,기타,B
20260310,044490,0.4442,40100,48408,35946,금속,B
20260310,496770,0.4438,21820,23376,21042,기타,B
20260310,115180,0.4435,40600,49266,36267,일반서비스,B
20260310,042700,0.4431,305000,368486,273257,기계·장비,B
20260310,093640,0.443,5240,6226,4747,전기·전자,B
20260310,367380,0.4426,27645,28409,27263,기타,B
20260310,261250,0.4422,18450,19138,18106,기타,B
20260310,471990,0.4419,24235,28169,22268,기타,B
20260310,174900,0.4417,63100,77572,55864,제약,B
20260310,471760,0.4414,19360,22520,17780,기타,B
20260310,261060,0.4408,24620,28144,22858,기타,B
20260310,455850,0.4404,26325,30409,24283,기타,B
20260310,189300,0.4402,120100,145030,107635,전기·전자,B
20260310,440650,0.4395,12375,12623,12251,기타,B
20260310,395400,0.439,5690,6124,5473,부동산,B
20260310,487130,0.4389,21245,23889,19923,기타,B
20260310,036930,0.4384,59900,74050,52825,기계·장비,B
20260310,032820,0.4382,17300,22454,14723,전기·전자,B
20260310,475310,0.438,29690,34676,27197,기타,B
20260310,124500,0.4379,55900,68222,49739,IT 서비스,B
20260310,900290,0.4376,6200,7488,5556,금융,B
20260310,234340,0.4375,34850,41586,31482,IT 서비스,B
