date,ticker,qscore,entry,tp,sl,sector,stage,rs_composite,signal_entry,is_52w_high,above_ma20,rs20_rank,rs60_rank,rs120_rank,atr20
20260312,322000,0.9287,130700,221722,85189,전기·전자,A,0.9287,1,1,1,0.9417,0.9327,0.8991,11377.7
20260312,129920,0.9251,9650,15522,6714,기계·장비,A,0.9251,1,1,1,0.9731,0.9372,0.8229,733.8
20260312,357580,0.9639,24050,40238,15956,전기·전자,A,0.9639,1,1,1,0.9619,0.9821,0.9215,2023.4
20260312,174900,0.9126,79600,131148,53826,제약,A,0.9126,1,1,1,0.8677,0.9081,0.991,6443.3
20260312,357880,0.9011,3710,6304,2413,IT 서비스,B,0.9011,1,0,1,0.9955,0.926,0.6973,324.2
20260312,380540,0.92,5020,9258,2901,전기·전자,B,0.92,1,0,1,0.8744,0.9439,0.9283,529.6
20260312,368770,0.907,18780,32658,11841,의료·정밀기기,B,0.907,1,0,1,0.8251,0.9395,0.9484,1734.6
20260312,376900,0.8504,102100,166558,69871,제약,A,0.8504,1,1,1,0.9798,0.7175,0.9888,8057.0
20260312,388790,0.8928,4900,7792,3454,전기·전자,B,0.8928,1,0,1,0.9821,0.87,0.8161,361.3
20260312,217730,0.8256,2645,4049,1943,제약,A,0.8256,1,1,1,0.8453,0.8318,0.7803,175.4
20260312,230240,0.8704,27600,42230,20285,전기·전자,A,0.8704,1,1,1,0.9552,0.9193,0.6211,1828.7
20260312,131290,0.8576,110000,172110,78945,의료·정밀기기,A,0.8576,1,1,1,0.8072,0.8632,0.9193,7763.7
20260312,475150,0.8536,37350,56702,27674,건설,A,0.8536,1,1,1,0.9753,0.852,0.6749,2419.0
