date,open,high,low,close,volume
2025-02-17,21750,22000,21200,21700,1776930
2025-02-18,22000,22250,21600,22100,2021442
2025-02-19,22100,22250,21800,21900,1618674
2025-02-20,22100,22100,20950,21050,1889695
2025-02-21,20950,21400,20650,21050,867369
2025-02-24,20400,21000,20350,20650,1425652
2025-02-25,20450,20650,20050,20200,1115683
2025-02-26,20200,20900,20050,20900,900115
2025-02-27,21300,23250,21300,22550,9851738
2025-02-28,22150,22550,21400,21500,3060313
2025-03-04,20800,22000,20500,20600,2437066
2025-03-05,21100,21450,20250,21050,1829330
2025-03-06,21300,21450,20525,20600,1430819
2025-03-07,20600,21950,20250,21400,2330582
2025-03-10,21400,21400,20400,20800,1595522
2025-03-11,20100,20300,19860,20150,1694386
2025-03-12,20200,20700,20200,20400,1168511
2025-03-13,20400,20750,20200,20350,1247482
2025-03-14,20100,20450,20000,20150,804392
2025-03-17,20300,20600,20150,20200,985279
2025-03-18,20450,20950,20400,20600,1282657
2025-03-19,20500,21900,20100,21600,3043896
2025-03-20,21650,21650,21000,21100,1159838
2025-03-21,20700,20900,19620,19880,3336017
2025-03-24,20050,20250,19900,19900,568237
2025-03-25,20050,20150,19470,19540,881483
2025-03-26,19540,20100,19540,19990,579581
2025-03-27,19900,20150,19400,19460,627286
2025-03-28,19510,19530,18920,19180,573904
2025-03-31,18750,19000,18220,18410,1230521
2025-04-01,18590,20250,18520,19910,1752708
2025-04-02,19920,19920,19250,19570,709470
2025-04-03,19010,19940,18900,19930,936023
2025-04-04,19850,21150,19600,21000,2019097
2025-04-07,20050,20725,19740,20200,1253746
2025-04-08,20700,20850,19800,19960,1090679
2025-04-09,19650,20000,19040,19270,1173122
2025-04-10,20350,20400,19860,20200,1234997
2025-04-11,19980,20550,19920,20400,881648
2025-04-14,20350,20700,19990,20150,838345
2025-04-15,20450,21000,20100,20100,1271028
2025-04-16,20200,20250,19990,20000,519939
2025-04-17,20650,22550,20350,22100,6648754
2025-04-18,22100,22350,21700,22250,1480575
2025-04-21,22450,24150,22350,23500,4156516
2025-04-22,24100,24300,22950,23650,3112489
2025-04-23,25050,25350,23900,23950,3292499
2025-04-24,23750,27500,23600,27100,9100548
2025-04-25,28500,30850,28200,29800,10812131
2025-04-28,30400,30950,29750,30100,3394346
2025-04-29,29700,31250,28800,30800,4570254
2025-04-30,30250,30300,29000,29900,2903952
2025-05-02,29400,30750,28800,30300,2006871
2025-05-07,30650,31050,29600,30450,1777918
2025-05-08,30400,32450,30150,32200,4500495
2025-05-09,33250,33400,32350,32650,2599658
2025-05-12,33300,34300,31850,32800,3258319
2025-05-13,32100,34000,31600,33700,3595217
2025-05-14,35600,38000,35350,37350,7475740
2025-05-15,37300,37525,36350,37000,1983646
2025-05-16,37050,39000,36700,38400,3733872
2025-05-19,40000,40750,38200,39050,3175463
2025-05-20,36600,37100,35200,36400,6349929
2025-05-21,36850,37975,35750,37950,3144646
2025-05-22,37200,39000,32500,33300,10049870
2025-05-23,31450,31800,28650,29500,10794621
2025-05-26,28650,29500,28150,28650,4502345
2025-05-27,28800,29150,28250,28400,2584090
2025-05-28,28550,28900,28200,28400,2440767
2025-05-29,28900,29800,28750,29300,3653492
2025-05-30,30500,30600,29050,29800,3306038
2025-06-02,30300,30600,29600,29900,1951696
2025-06-04,31750,32350,30150,31600,5043612
2025-06-05,31250,31350,30650,30950,1910747
2025-06-09,31150,31250,30050,31050,2149005
2025-06-10,31050,31500,30650,31100,1860024
2025-06-11,33100,38300,32250,38250,18875134
2025-06-12,37250,37400,36100,36300,5110346
2025-06-13,37450,37450,35050,35400,3617903
2025-06-16,36150,36500,35300,36450,2571851
2025-06-17,34450,34850,32500,33150,7323408
2025-06-18,30950,32400,30650,32050,3799935
2025-06-19,32950,33000,31500,32000,1964663
2025-06-20,31300,32750,31300,32150,1929082
2025-06-23,31650,32400,31050,31750,1919308
2025-06-24,32400,33400,32100,32300,2982209
2025-06-25,33900,34700,32500,32600,4148235
2025-06-26,33000,33050,31550,32300,1564017
2025-06-27,33050,34350,32650,32950,4105793
2025-06-30,31800,32525,31450,31600,1743417
2025-07-01,33150,34650,32950,33400,7090674
2025-07-02,34650,35650,33600,35450,7431273
2025-07-03,35100,37300,34400,36300,8239831
2025-07-04,37000,37350,36150,36450,4204743
2025-07-07,35150,36900,35050,35900,2390544
2025-07-08,35800,36050,34000,35300,2838151
2025-07-09,34200,34250,32100,33350,3656097
2025-07-10,33700,34700,33350,34700,2601713
2025-07-11,35850,37850,35000,35400,8904015
2025-07-14,36200,36200,34550,34800,1981353
2025-07-15,35000,36350,34450,36200,2540612
2025-07-16,36600,36750,35500,35500,1689779
2025-07-17,35600,35650,34800,35200,941406
2025-07-18,35600,36650,35300,35300,2404216
2025-07-21,35850,39900,35800,37900,13259806
2025-07-22,38050,38750,37050,37450,3118811
2025-07-23,38800,38850,36650,37800,3271744
2025-07-24,37300,38100,37000,37900,2119348
2025-07-25,37600,39250,37050,39000,3428717
2025-07-28,38650,38650,37650,38100,1836195
2025-07-29,38100,38150,36650,38100,3029806
2025-07-30,37700,37700,31950,32350,14521991
2025-07-31,32650,32800,30350,30700,5953270
2025-08-01,30800,31150,29750,29900,2794625
2025-08-04,29500,30250,29450,30050,1848500
2025-08-05,30300,30750,29950,30150,1448432
2025-08-06,29800,30650,29800,30600,1434901
2025-08-07,30350,30400,30000,30200,1363395
2025-08-08,30300,30750,30000,30400,1027014
2025-08-11,30000,30000,28700,29000,2240484
2025-08-12,28550,29500,28500,28750,1456226
2025-08-13,29050,29100,28500,29000,813322
2025-08-14,30350,30450,29400,30000,2071046
2025-08-18,31150,31600,30250,30400,2442427
2025-08-19,31100,31450,30550,30650,2303871
2025-08-20,29850,30400,29600,29850,1232387
2025-08-21,29150,30200,28500,29550,1618664
2025-08-22,29050,29150,28500,28850,1663524
2025-08-25,29200,29450,28950,29400,802191
2025-08-26,29050,29250,28400,28450,1216016
2025-08-27,28550,28850,28450,28650,691373
2025-08-28,28650,28650,28050,28450,781969
2025-08-29,28550,28600,28100,28350,582157
2025-09-01,27950,28000,27400,27500,626789
2025-09-02,27550,28300,27450,28250,713406
2025-09-03,28300,28500,28000,28300,492503
2025-09-04,28550,28750,28300,28600,414186
2025-09-05,28650,29000,28500,28700,583696
2025-09-08,29150,29450,28900,29150,746041
2025-09-09,29000,29200,28700,28950,547375
2025-09-10,29050,29200,28650,28950,653677
2025-09-11,29000,30200,28600,29350,2418437
2025-09-12,30650,30650,29500,29750,1542030
2025-09-15,30050,31250,29950,30650,2390455
2025-09-16,30700,30800,29900,30050,850679
2025-09-17,30250,30250,29700,29950,448937
2025-09-18,29900,30600,29850,30300,742282
2025-09-19,30150,30150,29650,29700,637552
2025-09-22,29700,30100,29550,29700,481376
2025-09-23,30050,30650,29800,29950,989315
2025-09-24,30050,30100,29200,29400,581066
2025-09-25,29550,29600,29050,29200,506039
2025-09-26,28950,29300,28550,28700,601757
2025-09-29,28600,28900,28300,28450,422327
2025-09-30,28300,28750,28300,28550,337352
2025-10-01,28450,28650,28200,28300,489094
2025-10-02,28500,29600,28500,28800,939510
2025-10-10,28750,28800,28000,28200,652418
2025-10-13,27500,28350,27350,28250,540083
2025-10-14,28250,28600,27650,27800,776065
2025-10-15,28000,29200,27950,29000,876291
2025-10-16,29450,29850,29250,29800,1046258
2025-10-17,29400,30200,29100,29750,1174863
2025-10-20,29750,29750,28900,29350,732091
2025-10-21,29400,29850,29000,29800,1217974
2025-10-22,29700,30150,29350,30150,854243
2025-10-23,29850,30650,29650,30300,1273271
2025-10-24,30800,32450,30500,32100,4223926
2025-10-27,33150,33250,31950,32200,1968171
2025-10-28,32350,32400,31300,32350,1381825
2025-10-29,32200,32250,30550,30950,2002452
2025-10-30,30650,31100,30050,30200,1183725
2025-10-31,30200,31250,29800,30600,1272107
2025-11-03,31000,34050,30850,33100,6308475
2025-11-04,34000,34150,32500,33800,3390231
2025-11-05,32500,32600,28200,28750,9680325
2025-11-06,29150,29200,27400,27600,2501185
2025-11-07,26650,27050,25900,26250,2016643
2025-11-10,26450,26650,26100,26550,859217
2025-11-11,26900,28200,26900,27750,1675365
2025-11-12,28150,28500,27700,28450,913330
2025-11-13,28500,29600,28050,29550,1740890
2025-11-14,28550,28750,28200,28250,813587
2025-11-17,28550,28600,27700,28050,443425
2025-11-18,27800,28050,27000,27050,660798
2025-11-19,27350,27450,26350,26900,680486
2025-11-20,27550,27900,27350,27550,357445
2025-11-21,26750,27100,26450,26700,414897
2025-11-24,26950,27150,26300,26450,717071
2025-11-25,26950,27650,26800,27450,764473
2025-11-26,27650,28450,27350,28250,738859
2025-11-27,28500,29050,27850,27900,623294
2025-11-28,27900,28150,27400,27950,533764
2025-12-01,28050,28050,27450,27700,492175
2025-12-02,27550,27900,27400,27600,351974
2025-12-03,27700,28100,27600,27950,449457
2025-12-04,27950,28000,27550,27800,280297
2025-12-05,27650,27900,27550,27850,472280
2025-12-08,27900,27950,27200,27500,747323
2025-12-09,27300,27700,27200,27450,392862
2025-12-10,27550,27850,27200,27200,362904
2025-12-11,27700,27800,27250,27550,831799
2025-12-12,27700,28200,27450,28150,945666
2025-12-15,27700,28950,27500,27850,1039741
2025-12-16,27950,28000,26900,27150,677112
2025-12-17,27350,27500,27000,27150,446159
2025-12-18,26950,27000,26250,26550,521853
2025-12-19,26750,27350,26700,26900,568114
2025-12-22,27250,27500,27150,27450,455667
2025-12-23,28300,28800,27950,28100,1243140
2025-12-24,27950,27950,27500,27550,462402
2025-12-26,27650,27750,26650,26650,791087
2025-12-29,26700,27300,26400,26800,519925
2025-12-30,26750,26850,26600,26800,328652
2026-01-02,26900,26950,26500,26750,606609
2026-01-05,27000,27250,26800,27000,753425
2026-01-06,27150,27750,26900,27550,869301
2026-01-07,27300,27400,26450,26800,922564
2026-01-08,26500,26650,25900,26500,1208229
2026-01-09,26250,26350,25700,26100,1178859
2026-01-12,26250,27150,26250,26950,1225427
2026-01-13,27250,28850,26950,28450,2751268
2026-01-14,28250,29900,27800,28950,2918997
2026-01-15,29000,29700,28700,29600,2194748
2026-01-16,29800,29850,28350,28650,2490396
2026-01-19,28500,28500,27850,28100,1144496
2026-01-20,27900,28400,27400,28100,1009446
2026-01-21,27350,27600,26900,27250,1254898
2026-01-22,27400,28300,27350,28100,1457680
2026-01-23,28700,30400,28650,29700,3981448
2026-01-26,29850,29900,28750,29000,1499090
2026-01-27,28500,28750,28000,28250,1321689
2026-01-28,28550,28600,28050,28350,1100262
2026-01-29,28450,29050,27700,28850,1833712
2026-01-30,28600,28650,27600,27650,2168574
2026-02-02,27600,27600,26350,26500,1377959
2026-02-03,26950,28150,26900,28050,1041476
2026-02-04,28100,36450,28050,36450,31440854
2026-02-05,38950,39400,33550,36400,32922155
2026-02-06,35500,45400,35400,42000,53082158
2026-02-09,41900,49650,41750,47700,35966171
2026-02-10,47800,48900,44500,46600,13459460
2026-02-11,46050,49250,45950,48000,14317365
2026-02-12,47800,48200,45400,47550,6903775
2026-02-13,46400,47900,45250,45900,4883713
2026-02-19,46550,59300,46550,58500,18412176
2026-02-20,56500,56900,52500,53000,7659000
2026-02-23,54800,54900,50700,51200,4945295
2026-02-24,52700,52700,49625,50900,4004474
2026-02-25,51300,53000,49800,51600,4220990
2026-02-26,51100,51500,50000,51100,2511043
2026-02-27,53100,54900,50700,53000,7288630
2026-03-03,51000,53700,48000,48350,5043606
2026-03-04,44450,46900,39300,39950,6007933
2026-03-05,43800,45550,42950,44400,3402565
2026-03-06,46750,54700,46050,51800,17980003
2026-03-09,50900,52400,48600,50500,4987491
2026-03-10,51400,51700,49250,50500,3389184
2026-03-11,50700,54000,50500,51400,5094847
2026-03-12,50600,53600,50400,53000,6304555
2026-03-13,51200,51200,48600,48700,3580509
2026-03-16,48300,48950,45250,46050,3345092
2026-03-17,46650,52300,46400,49450,8084402
2026-03-18,50900,51400,49700,50800,1445119
2026-03-19,51100,51300,49850,50100,534821
2026-03-20,52900,56800,51300,51700,14365261
