,equity
2023-06-01,500000000.0
2023-06-02,500000000.0
2023-06-05,500000000.0
2023-06-07,500000000.0
2023-06-08,500000000.0
2023-06-09,500000000.0
2023-06-12,500000000.0
2023-06-13,500000000.0
2023-06-14,500000000.0
2023-06-15,500000000.0
2023-06-16,500000000.0
2023-06-19,500000000.0
2023-06-20,500000000.0
2023-06-21,500000000.0
2023-06-22,500000000.0
2023-06-23,500000000.0
2023-06-26,500000000.0
2023-06-27,500000000.0
2023-06-28,500000000.0
2023-06-29,500000000.0
2023-06-30,500000000.0
2023-07-03,500000000.0
2023-07-04,500000000.0
2023-07-05,500000000.0
2023-07-06,500000000.0
2023-07-07,500000000.0
2023-07-10,500000000.0
2023-07-11,500000000.0
2023-07-12,500000000.0
2023-07-13,500000000.0
2023-07-14,500000000.0
2023-07-17,500000000.0
2023-07-18,500000000.0
2023-07-19,500000000.0
2023-07-20,500000000.0
2023-07-21,500000000.0
2023-07-24,500000000.0
2023-07-25,500000000.0
2023-07-26,500000000.0
2023-07-27,500000000.0
2023-07-28,500000000.0
2023-07-31,500000000.0
2023-08-01,500000000.0
2023-08-02,500000000.0
2023-08-03,500000000.0
2023-08-04,500000000.0
2023-08-07,500000000.0
2023-08-08,500000000.0
2023-08-09,500000000.0
2023-08-10,500000000.0
2023-08-11,500000000.0
2023-08-14,500000000.0
2023-08-16,500000000.0
2023-08-17,500000000.0
2023-08-18,500000000.0
2023-08-21,500000000.0
2023-08-22,493622251.22249997
2023-08-23,506802129.73632
2023-08-24,505340374.04492
2023-08-25,515258146.55964005
2023-08-28,516873139.20764005
2023-08-29,516124236.12884
2023-08-30,517518397.58284
2023-08-31,512720685.74941605
2023-09-01,505884317.233116
2023-09-04,520409352.959416
2023-09-05,511094769.935766
2023-09-06,512573470.303074
2023-09-07,497261498.7517941
2023-09-08,503690818.2529741
2023-09-11,498423326.7480862
2023-09-12,496841959.9177582
2023-09-13,492252230.9909583
2023-09-14,492336017.5209583
2023-09-15,492025994.00576675
2023-09-18,492191459.00576675
2023-09-19,488397121.0750868
2023-09-20,486060198.35214674
2023-09-21,482590732.2521467
2023-09-22,483787811.7937467
2023-09-25,480860559.05574673
2023-09-26,479263480.12107474
2023-09-27,479263480.12107474
2023-10-04,479263480.12107474
2023-10-05,479263480.12107474
2023-10-06,479263480.12107474
2023-10-10,479263480.12107474
2023-10-11,479263480.12107474
2023-10-12,479263480.12107474
2023-10-13,479263480.12107474
2023-10-16,477526558.54107475
2023-10-17,477022730.7895548
2023-10-18,477022730.7895548
2023-10-19,477022730.7895548
2023-10-20,475286142.8545548
2023-10-23,474792461.6189148
2023-10-24,474792461.6189148
2023-10-25,474792461.6189148
2023-10-26,472300393.9189148
2023-10-27,473411344.07757473
2023-10-30,473411344.07757473
2023-10-31,473411344.07757473
2023-11-01,473411344.07757473
2023-11-02,473411344.07757473
2023-11-03,472269195.2675747
2023-11-06,471197760.51293474
2023-11-07,467327605.8879347
2023-11-08,464772160.4893347
2023-11-09,464776740.1693347
2023-11-10,464776740.1693347
2023-11-13,464776740.1693347
2023-11-14,464776740.1693347
2023-11-15,461442141.5563348
2023-11-16,465305290.5563348
2023-11-17,451853273.38600284
2023-11-20,459447795.4586228
2023-11-21,458104356.6183128
2023-11-22,455828386.44111276
2023-11-23,455303188.38111275
2023-11-24,456845698.38111275
2023-11-27,450936490.0623928
2023-11-28,459032786.93979275
2023-11-29,451760019.1868839
2023-11-30,452731038.2547239
2023-12-01,449886276.01972395
2023-12-04,459651189.1936439
2023-12-05,463643467.2568906
2023-12-06,465227916.9228906
2023-12-07,458118913.0590906
2023-12-08,473956549.2875706
2023-12-11,466017615.8721525
2023-12-12,464613924.4335525
2023-12-13,452917997.38399255
2023-12-14,456619137.38399255
2023-12-15,452417285.37847257
2023-12-18,454079475.37847257
2023-12-19,447970070.5687926
2023-12-20,459882349.0116156
2023-12-21,457602781.0353156
2023-12-22,455284409.35531557
2023-12-26,449743391.8208075
2023-12-27,449683045.9810075
2023-12-28,444648758.3330075
2024-01-02,444639421.10084754
2024-01-03,436824543.2606956
2024-01-04,427845958.0169356
2024-01-05,423375257.50047433
2024-01-08,428446142.7129623
2024-01-09,416882675.66639847
2024-01-10,424101865.76159847
2024-01-11,421573819.7400029
2024-01-12,420123764.97440284
2024-01-15,410446982.78384286
2024-01-16,414067571.64980286
2024-01-17,411334711.7914029
2024-01-18,410966711.7914029
2024-01-19,393641128.5439029
2024-01-22,420988185.8697028
2024-01-23,405908633.4631789
