지표,BASELINE,EXP_A,EXP_B,EXP_C,EXP_D,EXP_E
누적수익(net),-66.96,-76.05,-53.91,-67.64,-76.0,-76.45
CAGR,-33.66,-41.12,-24.95,-34.17,-41.07,-41.48
MDD,-78.63,-77.96,-72.26,-78.94,-82.93,-78.41
Calmar,-0.428,-0.527,-0.345,-0.433,-0.495,-0.529
Sharpe,-0.544,-0.967,-0.248,-0.545,-0.726,-0.864
PF(gross),1.1,1.01,1.19,1.09,1.02,1.01
PF(net),0.8,0.71,0.87,0.8,0.75,0.7
평균수익(net),-0.77,-1.06,-0.49,-0.78,-1.02,-1.07
중앙값(net),-1.62,-2.04,-1.42,-1.62,-1.71,-1.91
승률(net),38.7,37.9,39.4,38.3,37.9,37.2
평균이익,8.12,6.87,8.26,8.31,8.07,6.73
평균손실,-6.39,-5.89,-6.18,-6.44,-6.57,-5.68
최대수익,71.41,10.77,47.97,71.41,81.33,10.77
최대손실,-53.53,-9.01,-53.53,-53.53,-53.53,-9.01
거래수,1270,1270,726,1270,1270,726
연속손실,21,25,15,17,21,14
DD기간,0,0,0,0,0,0
평균보유,5.0,4.1,5.0,5.0,5.0,4.1
상관계수,0.593,0.584,0.479,0.572,0.587,0.485
Beta,0.81,0.62,0.84,0.79,0.79,0.57
Alpha(연),-12.47,-14.43,-9.29,-12.52,-15.01,-14.17
상승캡처,0.37,0.13,0.58,0.36,0.29,0.05
하락캡처,1.42,1.36,1.41,1.42,1.57,1.22
Top3집중,-28.8,-8.9,-66.8,-28.5,-21.1,-17.5
