ticker,last_date,last_close,data_rows,ma20,ma60,ma120,pct_vs_ma20,pct_vs_ma60,pct_vs_ma120,alignment,cross,ma20_slope_5d,rsi,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_pos,high_52w,low_52w,pct_from_52h,pct_from_52l,vol_20avg,vol_ratio,amt_20avg_bil,market_cap_tril,ret_1d,ret_5d,ret_20d,ret_60d,high_20d,low_20d,name
032820,2026-03-17,24100,263,17875,10048,7104,34.83,139.83,239.23,BULLISH,NONE,23.04,67.8,25582,17875,10167,0.9,upper,26800,1453,-10.1,1558.6,39536383,0.54,7140.0,0.7,0.42,16.71,95.14,495.8,26800,12000,우리금융지주
042700,2026-03-17,301000,263,269800,200655,161565,11.56,50.01,86.3,BULLISH,NONE,11.66,63.6,371642,269800,167957,0.65,mid,335500,58200,-10.3,417.2,2234055,0.29,6126.0,0.6,0.33,-7.1,58.01,150.42,335500,196800,한미반도체
024060,2026-03-17,22750,263,22651,16178,14264,0.44,40.62,59.49,BULLISH,NONE,12.59,51.6,32859,22651,12442,0.5,mid,36200,9280,-37.2,145.2,14335438,0.35,3616.0,0.4,-3.4,-12.16,56.14,87.71,36200,13410,흥국화재
079550,2026-03-17,705000,263,624175,526100,486879,12.95,34.0,44.8,BULLISH,NONE,12.91,65.3,892193,624175,356156,0.65,mid,899000,235000,-21.6,200.0,627269,0.42,4372.0,0.4,-3.42,-7.11,54.1,84.07,899000,440500,LIG넥스원
009150,2026-03-17,446500,263,402175,318325,271081,11.02,40.27,64.71,BULLISH,NONE,7.55,50.1,487882,402175,316467,0.76,mid,474000,108800,-5.8,310.4,937582,1.1,3818.0,0.4,8.11,11.07,44.26,64.15,474000,309000,삼성전기
000720,2026-03-17,161000,263,145210,109121,86005,10.87,47.54,87.2,BULLISH,NONE,8.69,58.3,177537,145210,112882,0.74,mid,176900,31650,-9.0,408.7,2118357,0.34,3151.0,0.3,0.88,5.92,40.49,106.41,176900,111200,현대건설
272210,2026-03-17,138900,263,130220,96101,74861,6.67,44.53,85.54,BULLISH,NONE,8.4,59.5,172364,130220,88075,0.6,mid,184000,30100,-24.5,361.5,3773704,0.38,5176.0,0.5,-0.79,-11.08,36.98,161.58,184000,101800,한화시스템
006800,2026-03-17,69100,263,67029,43869,33247,3.09,57.51,107.83,BULLISH,NONE,7.82,52.3,77571,67029,56487,0.6,mid,76966,8323,-10.2,730.2,7028850,0.46,4672.0,0.5,-2.54,7.43,35.28,212.61,76966,51675,미래에셋증권
012450,2026-03-17,1396000,263,1322300,1192083,1078658,5.57,17.11,29.42,BULLISH,NONE,5.41,59.3,1587671,1322300,1056928,0.64,mid,1655000,593777,-15.6,135.1,425949,0.49,5797.0,0.6,-5.42,-4.05,23.54,45.27,1655000,1097000,한화에어로스페이스
005930,2026-03-17,193900,263,191170,157076,126969,1.43,23.44,52.71,BULLISH,NONE,3.41,47.7,214773,191170,167566,0.56,mid,223000,52500,-13.0,269.3,34905369,0.55,66314.0,6.6,2.76,3.19,15.55,78.05,223000,167300,삼성전자
000660,2026-03-17,970000,263,945550,803650,649679,2.59,20.7,49.3,BULLISH,NONE,2.35,47.7,1076036,945550,815063,0.59,mid,1099000,162700,-11.7,496.2,4777646,0.66,44898.0,4.5,-0.41,3.41,12.79,69.88,1099000,808000,SK하이닉스
402340,2026-03-17,587000,263,575700,477608,372220,1.96,22.9,57.7,BULLISH,NONE,1.02,46.9,662340,575700,489059,0.57,mid,681000,74000,-13.8,693.2,637228,0.75,3684.0,0.4,4.45,5.96,10.34,90.58,681000,485500,SK스퀘어
034020,2026-03-17,104400,263,99825,90778,83242,4.58,15.01,25.42,BULLISH,NONE,2.91,52.4,112167,99825,87482,0.69,mid,110700,19960,-5.7,423.0,7533026,0.41,7439.0,0.7,-1.23,1.85,9.32,30.99,110700,79000,두산에너빌리티
000270,2026-03-17,167300,263,171795,151131,131508,-2.62,10.7,27.22,MIXED,NONE,1.3,47.4,201287,171795,142302,0.42,mid,212500,81300,-21.3,105.8,1850070,0.58,3237.0,0.3,3.27,3.91,3.4,32.99,212500,150100,기아
006400,2026-03-17,389000,263,402275,348500,311066,-3.3,11.62,25.05,MIXED,NONE,0.83,44.2,453623,402275,350926,0.37,mid,473500,157700,-17.8,146.7,957346,0.38,3883.0,0.4,1.57,-3.59,3.18,26.3,473500,348500,삼성SDI
009830,2026-03-17,49450,263,49842,36569,32730,-0.79,35.22,51.08,MIXED,NONE,2.88,48.3,57601,49842,42083,0.47,mid,59300,18220,-16.6,171.4,6402464,1.26,3269.0,0.3,7.38,-2.08,3.02,75.67,59300,39300,한화솔루션
005380,2026-03-17,522000,263,537700,447741,350941,-2.92,16.59,48.74,MIXED,NONE,1.63,49.8,626279,537700,449120,0.41,mid,687000,175800,-24.0,196.9,2163974,0.62,11940.0,1.2,3.16,-0.57,2.55,73.13,687000,491000,현대자동차
042660,2026-03-17,132700,263,133910,131483,124840,-0.9,0.93,6.3,MIXED,NONE,0.44,43.3,153348,133910,114471,0.47,mid,154800,62350,-14.3,112.8,2249732,0.3,3005.0,0.3,0.61,6.67,2.31,16.3,154800,108500,한화오션
086520,2026-03-17,149300,263,162765,132148,104948,-8.27,12.98,42.26,MIXED,NONE,-0.79,42.2,188363,162765,137166,0.24,mid,190000,37750,-21.4,295.5,2980573,0.38,4912.0,0.5,2.33,-9.24,-2.1,34.02,190000,133500,에코프로
066570,2026-03-17,114500,263,122455,106033,96143,-6.5,7.98,19.09,MIXED,NONE,1.65,36.9,144165,122455,100744,0.32,mid,151900,64100,-24.6,78.6,2082957,0.33,2631.0,0.3,0.26,-1.21,-10.48,18.78,151900,106700,LG전자
