ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,hold_days,exit_reason
003960,2024-06-14,2024-06-14,47450.0,54208.0,0.12562492586386598,0,TRAIL_SL_12
064760,2024-06-14,2024-06-14,129800.0,131912.0,0.001327506799026823,0,TRAIL_SL_12
035150,2024-06-14,2024-06-17,13900.0,13842.4,-0.018787372724770934,1,TRAIL_SL_12
108380,2024-06-14,2024-06-17,15080.0,14027.2,-0.08349216564479411,1,TRAIL_SL_12
024720,2024-06-14,2024-06-21,9240.0,9372.0,-0.0006287701369667165,5,TRAIL_SL_12
075580,2024-06-14,2024-06-24,7660.0,8650.4,0.11268940917975723,6,TRAIL_SL_12
026890,2024-06-14,2024-06-24,10770.0,10093.6,-0.076585008955254,6,TRAIL_SL_12
319660,2024-06-14,2024-06-25,33650.0,32648.0,-0.0440436833686535,7,TRAIL_SL_12
103140,2024-06-14,2024-06-26,57800.0,62480.0,0.0650738366706376,8,TRAIL_SL_12
104700,2024-06-14,2024-06-27,10260.0,9785.6,-0.06026233769000511,9,TRAIL_SL_12
073240,2024-06-14,2024-07-09,6750.0,6151.2,-0.1021110868245294,17,TRAIL_SL_12
000120,2024-06-14,2024-07-15,100400.0,91080.0,-0.1061681144275356,21,TRAIL_SL_12
000270,2024-06-14,2024-07-15,121400.0,118800.0,-0.03580630350825065,21,TRAIL_SL_12
000660,2024-06-14,2024-07-18,225000.0,218680.0,-0.042380279295689105,24,TRAIL_SL_12
001820,2024-06-14,2024-07-24,43750.0,44264.0,-0.0031286057767369035,28,TRAIL_SL_12
138040,2024-06-14,2024-08-05,73000.0,75592.0,0.020280320383262218,36,TRAIL_SL_12
086790,2024-06-14,2024-08-05,59100.0,59664.0,-0.0053016005103879715,36,TRAIL_SL_12
259960,2024-06-14,2024-08-05,263000.0,265760.0,-0.004364437241579977,36,TRAIL_SL_12
105560,2024-06-14,2024-08-05,80400.0,81312.0,-0.0035279340999916364,36,TRAIL_SL_12
294870,2024-06-14,2024-08-05,17400.0,21648.0,0.22584360278876958,36,TRAIL_SL_12
294870,2024-09-12,2024-09-19,23900.0,24200.0,-0.002336694332030098,2,TRAIL_SL_12
000660,2024-09-12,2024-09-19,165200.0,150744.0,-0.10092374866034204,2,TRAIL_SL_12
063160,2024-09-12,2024-09-19,28050.0,27808.0,-0.02320501056855906,2,TRAIL_SL_12
001750,2024-09-12,2024-09-20,16150.0,15620.0,-0.04703919876837692,3,TRAIL_SL_12
950210,2024-09-12,2024-09-27,13300.0,13939.2,0.03264903241710848,8,TRAIL_SL_12
200670,2024-09-12,2024-09-27,34450.0,35112.0,0.004229270265769136,8,TRAIL_SL_12
006280,2024-09-12,2024-09-30,152000.0,148720.0,-0.03596606269772784,9,TRAIL_SL_12
329180,2024-09-12,2024-10-02,181700.0,179080.0,-0.028911765325056904,10,TRAIL_SL_12
009540,2024-09-12,2024-10-02,176000.0,179520.0,0.005001490312965595,10,TRAIL_SL_12
011070,2024-09-12,2024-10-02,226500.0,207680.0,-0.09657313115960386,10,TRAIL_SL_12
395400,2024-09-12,2024-10-04,5450.0,4831.2,-0.12657614678899098,11,TRAIL_SL_12
010140,2024-09-12,2024-10-07,9910.0,9820.8,-0.023573075714214742,12,TRAIL_SL_12
