ticker,entry_date,exit_date,entry_price,exit_price,pnl_pct,pnl_amount,hold_days,exit_reason,stage,sector,regime_at_exit
277410,20230823,20230823,3735.0,3436.2000000000003,-0.0935280675608541,-3273377.007599992,1,MAX_LOSS_CAP,A,음식료·담배,BULL
79980,20230823,20230823,8820.0,10231.2,0.1429428713363139,5002204.999679999,1,TP,A,화학,BULL
214680,20230823,20230823,4265.0,4947.4,0.1429428713363141,5002795.594240002,1,TP,B,의료·정밀기기,BULL
79960,20230823,20230824,23450.0,23919.0,0.0050014903129658,174946.09860000297,2,TRAIL_SL,A,전기·전자,BULL
46970,20230825,20230825,2280.0,2644.8,0.1429428713363143,5071971.409920012,1,TP,A,유통,BULL
4100,20230825,20230825,2980.0,3456.8,0.1429428713363141,5071977.164800003,1,TP,B,운송장비·부품,BULL
51360,20230825,20230829,18260.0,18625.2,0.0050014903129658,177407.22120000483,3,TRAIL_SL,A,전기·전자,BULL
33290,20230831,20230831,6412.0,5899.04,-0.0935280675608543,-3384385.3794239964,1,MAX_LOSS_CAP,A,유통,BULL
89850,20230829,20230901,9376.0,9492.0,-0.0025143309105151,-90947.89080000063,4,TRAIL_SL,A,IT 서비스,BULL
99440,20230904,20230904,3225.0,3741.0,0.1429428713363141,5140514.188800005,1,TP,A,기계·장비,BULL
382800,20230904,20230905,7725.0,7879.5,0.0050014903129658,179855.38125000265,2,TRAIL_SL,A,기계·장비,BULL
251630,20230904,20230905,14400.0,14688.0,0.0050014903129658,179846.69760000648,2,TRAIL_SL,A,기계·장비,BULL
54450,20230904,20230905,22900.0,23358.0,0.0050014903129658,179834.61600000228,2,TRAIL_SL,B,전기·전자,BULL
67310,20230904,20230906,25430.0,25938.6,0.005001490312966,179860.54110000757,3,TRAIL_SL,A,전기·전자,BULL
412350,20230906,20230906,16807.0,15462.44,-0.0935280675608544,-3395280.491792,1,MAX_LOSS_CAP,A,기계·장비,BULL
4100,20230906,20230907,4070.0,3744.4,-0.0935280675608544,-3396095.5212799986,2,MAX_LOSS_CAP,A,운송장비·부품,BULL
1470,20230904,20230908,4065.0,3739.8,-0.0935280675608543,-3363223.700759996,5,MAX_LOSS_CAP,B,건설,BULL
84370,20230904,20230908,39150.0,36018.0,-0.0935280675608543,-3361107.0527999965,5,MAX_LOSS_CAP,A,기계·장비,BULL
229000,20230908,20230908,6210.0,7203.6,0.1429428713363141,5123907.763200002,1,TP,A,제약,BULL
204270,20230908,20230908,12390.0,11398.8,-0.0935280675608543,-3352075.644959995,1,MAX_LOSS_CAP,A,전기·전자,BULL
264850,20230908,20230908,4250.0,3910.0,-0.0935280675608544,-3352653.64,1,MAX_LOSS_CAP,A,전기·전자,BULL
230,20230908,20230908,15450.0,14214.0,-0.0935280675608543,-3352394.7659999966,1,MAX_LOSS_CAP,B,제약,BULL
8830,20230908,20230911,9980.0,10333.673886224304,0.0202127447113447,724426.7141121224,2,TRAIL_SL,A,기계·장비,BULL
382800,20230906,20230912,8336.0,8502.72,0.0050014903129655,181575.73564799817,5,TRAIL_SL,A,기계·장비,BULL
376930,20230912,20230912,6277.0,5774.84,-0.0935280675608543,-3284175.912975993,1,MAX_LOSS_CAP,A,의료·정밀기기,BULL
54450,20230912,20230913,29450.0,27094.0,-0.0935280675608544,-3282409.356799999,2,MAX_LOSS_CAP,A,전기·전자,BULL
100590,20230914,20230914,8950.0,8234.0,-0.0935280675608544,-3243691.2199999974,1,MAX_LOSS_CAP,A,전기·전자,BULL
950130,20230914,20230915,9855.0,10067.931867194628,0.006584348633619,228325.6223084063,2,TRAIL_SL,B,제약,BULL
77500,20230918,20230919,9315.0,8569.800000000001,-0.0935280675608541,-3224276.140679989,2,MAX_LOSS_CAP,A,유통,BULL
400,20230920,20230920,3165.0,2911.8,-0.0935280675608543,-3203157.670439993,1,MAX_LOSS_CAP,A,보험,BULL
250060,20230922,20230922,6850.0,6302.0,-0.0935280675608544,-2272386.558399998,1,MAX_LOSS_CAP,B,IT 서비스,BEAR
264850,20230926,20230926,6500.0,5980.0,-0.0935280675608544,-2262135.148,1,MAX_LOSS_CAP,B,전기·전자,BEAR
115610,20230926,20230926,3881.0,3570.52,-0.0935280675608544,-2262196.524671998,1,MAX_LOSS_CAP,B,전기·전자,BEAR
680,20231017,20231017,6770.0,6228.400000000001,-0.0935280675608543,-2240749.3315199977,1,MAX_LOSS_CAP,B,유통,BEAR
100840,20231023,20231023,11123.0,10233.16,-0.0935280675608544,-2230269.170639999,1,MAX_LOSS_CAP,B,기계·장비,BEAR
2720,20231027,20231027,5950.0,5687.46584508635,-0.058178999766704,-1381117.5413400622,1,ATR_SL,B,제약,BEAR
9620,20231106,20231106,7820.0,7194.400000000001,-0.0935280675608544,-2213583.564639999,1,MAX_LOSS_CAP,B,금속,BEAR
31980,20231108,20231108,33650.0,30958.0,-0.0935280675608543,-3082149.137199997,1,MAX_LOSS_CAP,A,기계·장비,BULL
2100,20231108,20231108,13600.0,12512.0,-0.0935280675608544,-3084121.2863999982,1,MAX_LOSS_CAP,A,화학,BULL
39440,20231108,20231109,35300.0,35550.0,-0.0077264072480716,-254749.91999999943,2,TRAIL_SL,A,기계·장비,BEAR
214390,20231116,20231117,6927.0,6372.84,-0.0935280675608544,-3042605.6159519986,2,MAX_LOSS_CAP,A,제약,BULL
99440,20231116,20231117,3980.0,3661.6,-0.0935280675608543,-3042624.254879995,2,MAX_LOSS_CAP,B,기계·장비,BULL
33250,20231116,20231120,2480.0,2876.8,0.1429428713363141,4650207.764480007,3,TP,A,운송장비·부품,BULL
7980,20231120,20231120,2885.0,2654.2000000000003,-0.0935280675608544,-3000170.3309199987,1,MAX_LOSS_CAP,A,섬유·의류,BULL
41920,20231120,20231120,8010.0,7369.200000000001,-0.0935280675608543,-3000282.8234399944,1,MAX_LOSS_CAP,A,의료·정밀기기,BULL
163730,20231120,20231121,12950.0,13620.642658400324,0.0363211575980528,1165077.574189915,2,TRAIL_SL,B,IT 서비스,BULL
383930,20231120,20231121,6950.0,7089.0,0.0050014903129658,160412.1855000022,2,TRAIL_SL,B,일반서비스,BULL
204270,20231116,20231122,13800.0,14076.0,0.0050014903129658,162696.8664000032,5,TRAIL_SL,A,전기·전자,BULL
187220,20231122,20231122,7050.0,6486.0,-0.0935280675608543,-3001065.0935999965,1,MAX_LOSS_CAP,A,일반서비스,BULL
80220,20231124,20231127,5960.0,6913.6,0.1429428713363141,4560920.801280002,2,TP,B,전기·전자,BULL
394280,20231128,20231128,23350.0,21482.0,-0.0935280675608543,-3013561.647599995,1,MAX_LOSS_CAP,B,IT 서비스,BULL
54450,20231128,20231129,30950.0,31569.0,0.0050014903129658,161099.57820000313,2,TRAIL_SL,A,전기·전자,BULL
84690,20231128,20231129,10560.0,11230.480746259642,0.0478544532570195,1542159.3563911635,2,TRAIL_SL,B,기타금융,BULL
4540,20231128,20231129,2710.0,2795.0,0.0161996836063742,522063.49750000297,2,TRAIL_SL,B,종이·목재,BULL
396270,20231128,20231130,16800.0,15456.0,-0.0935280675608544,-3012728.544,3,MAX_LOSS_CAP,B,전기·전자,BULL
94480,20231130,20231130,8480.0,7801.6,-0.0935280675608543,-3007095.4457599944,1,MAX_LOSS_CAP,A,IT 서비스,BULL
11420,20231130,20231130,2915.0,2681.8,-0.0935280675608541,-3007494.5823999923,1,MAX_LOSS_CAP,B,오락·문화,BULL
94480,20231204,20231204,9640.0,11182.399999999998,0.1429428713363136,4506122.833919992,1,TP,A,IT 서비스,BULL
403870,20231130,20231205,43200.0,44817.39775624368,0.022184811568942,712849.2692466085,4,TRAIL_SL,A,기계·장비,BULL
240,20231204,20231205,15710.0,19990.0,0.2537274741551019,7995852.223999998,2,TP,A,기타금융,BULL
33290,20231204,20231206,10134.0,10322.0,0.0035742020658888,112650.27600000292,3,TRAIL_SL,A,유통,BULL
142280,20231206,20231207,5430.0,4995.6,-0.0935280675608543,-3033725.578799995,2,MAX_LOSS_CAP,B,제약,BULL
80220,20231208,20231208,9300.0,10788.0,0.1429428713363141,4608105.062400004,1,TP,A,전기·전자,BULL
42000,20231208,20231208,27000.0,31320.0,0.1429428713363141,4607069.184000002,1,TP,A,IT 서비스,BULL
220,20231208,20231208,7300.0,6716.0,-0.0935280675608544,-3015402.0063999994,1,MAX_LOSS_CAP,A,제약,BULL
123420,20231208,20231208,14320.0,16611.199999999997,0.1429428713363136,4608772.628479992,1,TP,B,IT 서비스,BULL
210980,20231204,20231211,17570.0,18268.38887659937,0.0244600336245592,770815.235581855,6,TRAIL_SL,B,부동산,BULL
263720,20231208,20231211,27750.0,25530.0,-0.0935280675608544,-3014564.195999997,2,MAX_LOSS_CAP,A,오락·문화,BULL
299900,20231212,20231212,4790.0,4406.8,-0.0935280675608541,-3072961.463599993,1,MAX_LOSS_CAP,A,오락·문화,BULL
26940,20231212,20231213,5410.0,4977.2,-0.0935280675608545,-3072969.9358400027,2,MAX_LOSS_CAP,A,금속,BULL
356680,20231212,20231213,7670.0,7056.400000000001,-0.0935280675608543,-3072930.3987199957,2,MAX_LOSS_CAP,A,IT 서비스,BULL
89030,20231214,20231215,10920.0,10046.4,-0.0935280675608543,-3012965.766719997,2,MAX_LOSS_CAP,A,기계·장비,BULL
253590,20231214,20231215,7240.0,6660.8,-0.0935280675608543,-3012427.3087999965,2,MAX_LOSS_CAP,A,기계·장비,BULL
7810,20231214,20231215,20450.0,20700.0,-0.0026592430376147,-85660.27499999522,2,TRAIL_SL,B,전기·전자,BULL
124500,20231218,20231219,7990.0,8149.8,0.0050014903129658,158956.0003200042,2,TRAIL_SL,A,IT 서비스,BULL
177350,20231220,20231220,8840.0,10254.4,0.1429428713363139,4540427.6736,1,TP,A,기계·장비,BULL
136480,20231220,20231220,3860.0,4319.4781291818845,0.1025810111759766,3258832.639223012,1,TP,A,음식료·담배,BULL
102120,20231220,20231221,15600.0,14352.0,-0.0935280675608544,-2970819.1968,2,MAX_LOSS_CAP,A,전기·전자,BULL
490,20231222,20231222,20000.0,18400.0,-0.0935280675608545,-3001055.680000002,1,MAX_LOSS_CAP,B,기계·장비,BULL
222160,20231218,20231226,8390.0,8557.8,0.0050014903129655,158973.51863999802,6,TRAIL_SL,B,기계·장비,BULL
234340,20231222,20231226,18743.0,17243.56,-0.0935280675608543,-3001229.172647996,2,MAX_LOSS_CAP,A,IT 서비스,BULL
187220,20231227,20231227,8190.0,7534.8,-0.0935280675608543,-2964394.4147999957,1,MAX_LOSS_CAP,A,일반서비스,BULL
28300,20231220,20231228,50400.0,51300.0,0.0028901426442409,91777.86000000036,6,TRAIL_SL,A,제약,BULL
298380,20231227,20240102,24850.0,22862.0,-0.0935280675608544,-2963867.2531999974,3,MAX_LOSS_CAP,B,제약,BULL
85670,20231227,20240102,6450.0,6579.0,0.0050014903129658,158515.1226000032,3,TRAIL_SL,B,전기·전자,BULL
383930,20240102,20240102,19490.0,17930.8,-0.0935280675608543,-2942875.866559996,1,MAX_LOSS_CAP,A,일반서비스,BULL
25320,20240102,20240103,7294.0,7439.88,0.0050014903129658,157446.76684800134,2,TRAIL_SL,A,전기·전자,BULL
253590,20240104,20240104,10230.0,9411.6,-0.0935280675608543,-2910220.088159997,1,MAX_LOSS_CAP,A,기계·장비,BULL
