timestamp,code,price,best_ask,best_bid,ask_qty_1,bid_qty_1,total_ask,total_bid,net_bid,volume
09:02:13.420,0080Y0,15990.0,15990,15950,0,0,0,0,0,87776
09:03:14.214,0080Y0,15865.0,15880,15860,0,0,0,0,0,103616
09:04:12.951,0080Y0,15680.0,15750,15680,0,0,0,0,0,131908
09:05:15.719,0080Y0,15660.0,15660,15650,0,0,0,0,0,143829
09:06:16.419,0080Y0,15650.0,15650,15575,0,0,0,0,0,163419
09:07:17.041,0080Y0,15510.0,15570,15500,0,0,0,0,0,176003
09:08:17.696,0080Y0,15500.0,15510,15500,0,0,0,0,0,181908
09:09:17.662,0080Y0,15435.0,15435,15425,0,0,0,0,0,205734
09:10:18.151,0080Y0,15475.0,15475,15365,0,0,0,0,0,210453
09:11:18.961,0080Y0,15650.0,15700,15650,0,0,0,0,0,215562
09:12:18.760,0080Y0,15635.0,15670,15620,0,0,0,0,0,220977
09:13:19.642,0080Y0,15670.0,15685,15645,0,0,0,0,0,231314
09:14:22.623,0080Y0,15645.0,15675,15645,0,0,0,0,0,234729
09:15:23.264,0080Y0,15650.0,15650,15575,0,0,0,0,0,247047
09:16:24.073,0080Y0,15640.0,15645,15640,0,0,0,0,0,251143
09:17:21.752,0080Y0,15655.0,15670,15655,0,0,0,0,0,256696
09:18:22.243,0080Y0,15655.0,15670,15655,0,0,0,0,0,264410
09:19:24.783,0080Y0,15650.0,15650,15635,0,0,0,0,0,267954
09:20:24.540,0080Y0,15630.0,15635,15625,0,0,0,0,0,276607
09:21:28.660,0080Y0,15650.0,15650,15630,0,0,0,0,0,292095
09:22:29.296,0080Y0,15635.0,15635,15625,0,0,0,0,0,295552
09:23:30.003,0080Y0,15610.0,15625,15610,0,0,0,0,0,310314
09:24:26.537,0080Y0,15640.0,15655,15640,0,0,0,0,0,324674
09:25:29.240,0080Y0,15600.0,15635,15600,0,0,0,0,0,328208
09:26:31.227,0080Y0,15655.0,15665,15655,0,0,0,0,0,340020
09:27:20.144,0080Y0,15630.0,15635,15615,0,0,0,0,0,344269
09:28:25.030,0080Y0,15615.0,15645,15615,0,0,0,0,0,346883
09:29:33.222,0080Y0,15620.0,15640,15620,0,0,0,0,0,356353
09:30:31.036,0080Y0,15710.0,15725,15705,0,0,0,0,0,371395
09:31:36.212,0080Y0,15680.0,15700,15680,0,0,0,0,0,380159
09:32:36.842,0080Y0,15720.0,15735,15720,0,0,0,0,0,390165
09:33:36.226,0080Y0,15680.0,15680,15650,0,0,0,0,0,399108
09:34:38.333,0080Y0,15740.0,15740,15710,0,0,0,0,0,402315
09:35:39.024,0080Y0,15700.0,15720,15700,0,0,0,0,0,409045
09:36:39.669,0080Y0,15750.0,15750,15740,0,0,0,0,0,412055
09:37:36.821,0080Y0,15765.0,15770,15740,0,0,0,0,0,416176
09:38:36.928,0080Y0,15750.0,15750,15745,0,0,0,0,0,421167
09:39:40.433,0080Y0,15750.0,15775,15750,0,0,0,0,0,423439
09:40:37.030,0080Y0,15705.0,15725,15705,0,0,0,0,0,425857
09:41:41.616,0080Y0,15645.0,15655,15645,0,0,0,0,0,432347
09:42:42.519,0080Y0,15645.0,15660,15645,0,0,0,0,0,435572
09:43:39.521,0080Y0,15615.0,15635,15615,0,0,0,0,0,453776
09:44:40.125,0080Y0,15615.0,15615,15595,0,0,0,0,0,460964
09:45:42.508,0080Y0,15615.0,15620,15600,0,0,0,0,0,468369
09:46:45.023,0080Y0,15675.0,15675,15645,0,0,0,0,0,477275
09:47:39.219,0080Y0,15685.0,15695,15675,0,0,0,0,0,479356
09:48:48.500,0080Y0,15700.0,15710,15685,0,0,0,0,0,493125
09:49:46.423,0080Y0,15780.0,15780,15760,0,0,0,0,0,495964
09:50:49.869,0080Y0,15740.0,15770,15740,0,0,0,0,0,501873
09:51:49.516,0080Y0,15755.0,15780,15755,0,0,0,0,0,502778
09:52:49.413,0080Y0,15775.0,15780,15775,0,0,0,0,0,504566
