rank,slot,name,trades,win_rate,pnl_pct,sharpe,pf,avg_hold_min,avg_mfe,avg_mae,score
1,4,Trailing A,20,45.0,-0.09,-0.02,0.9,63,2.4,-2.2,-1.01
2,12,Adaptive Best,60,41.7,-0.33,-0.12,0.7,37,2.2,-1.8,-2.09
3,6,Micro Imbalance,20,40.0,-0.42,-0.23,0.5,20,2.1,-1.5,-2.82
4,2,Moderate,20,40.0,-0.47,-0.42,0.4,28,2.1,-1.6,-3.40
5,8,Time Decay 30m,20,40.0,-0.47,-0.42,0.4,11,2.1,-1.6,-3.40
6,5,Trailing B,20,35.0,-0.74,-0.18,0.6,64,2.4,-2.4,-3.77
7,3,Aggressive,20,35.0,-0.48,-0.22,0.6,34,2.6,-1.8,-3.80
8,11,Mean Reversion,20,45.0,-1.85,-0.91,0.1,4,0.8,-2.6,-4.48
9,7,Time Decay 15m,20,30.0,-0.65,-0.96,0.1,10,2.1,-1.6,-7.12
10,1,Conservative,20,30.0,-0.65,-1.18,0.1,28,2.1,-1.5,-7.81
11,10,Momentum MA5,20,5.0,-1.78,-2.44,0.0,16,0.4,-2.2,-17.04
12,9,Volume Spike,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
