code,n_bars,vwap,close,close_vs_vwap_pct,intraday_high,intraday_low,from_intraday_high_pct,from_prev_close_pct,max_intraday_dd_pct,max_dd_time,max_5m_drop_pct,max_5m_drop_time,volume_spike_2x,volume_spike_3x,volume_spike_opening,max_volume_ratio,near_trail_stop,analysis_end_time,is_partial_day
001120,379,46045.8,46650.0,1.31,47150.0,44550.0,-1.06,1.19,-5.01,09:41,-1.38,14:18,10,2,0,9.6,False,15:19,False
003690,379,13400.3,13440.0,0.3,13470.0,13280.0,-0.22,1.82,-1.04,14:35,-0.52,14:35,23,5,0,9.0,False,15:19,False
004690,376,152363.7,151800.0,-0.37,153700.0,151200.0,-1.24,0.8,-1.43,09:05,-0.72,09:05,37,10,0,8.4,False,15:19,False
005830,379,194918.1,194600.0,-0.16,198900.0,188000.0,-2.16,5.47,-2.36,14:45,-0.97,15:18,16,3,0,23.4,False,15:19,False
016360,379,98028.0,97600.0,-0.44,99200.0,96700.0,-1.61,2.85,-2.52,12:15,-0.71,11:02,19,1,0,3.1,False,15:19,False
023530,379,111880.1,110900.0,-0.88,114900.0,107800.0,-3.48,5.42,-3.48,15:18,-1.08,09:05,19,2,0,6.1,False,15:19,False
024110,379,23424.3,23350.0,-0.32,23600.0,23250.0,-1.06,0.65,-1.48,11:52,-0.64,09:52,30,14,0,7.0,False,15:19,False
028050,379,33914.0,33650.0,-0.78,35050.0,33150.0,-3.99,-1.17,-4.99,09:24,-1.77,09:21,20,2,0,5.9,False,15:19,False
033780,379,157176.2,156300.0,-0.56,160500.0,155800.0,-2.62,-0.95,-2.93,15:02,-0.69,09:51,19,8,0,6.6,False,15:19,False
055550,379,92676.5,92300.0,-0.41,94000.0,90000.0,-1.81,2.67,-2.34,11:52,-0.75,09:50,17,1,0,3.0,False,15:19,False
069960,379,86781.8,86500.0,-0.32,88000.0,85800.0,-1.7,1.88,-2.39,11:17,-0.8,09:57,36,13,1,7.7,False,15:19,False
078930,379,69506.0,70100.0,0.85,70100.0,67900.0,0.0,3.7,-1.3,09:02,-0.72,09:52,35,16,1,8.3,False,15:19,False
086790,379,109183.3,109100.0,-0.08,110700.0,106500.0,-1.45,1.68,-2.44,11:54,-0.63,09:20,18,2,0,3.6,False,15:19,False
105560,379,150607.6,149400.0,-0.8,152800.0,146900.0,-2.23,1.63,-2.62,14:55,-0.66,11:01,5,2,0,3.8,False,15:19,False
138930,379,18486.0,18450.0,-0.19,18670.0,18160.0,-1.18,2.44,-1.62,11:53,-0.76,10:01,21,4,0,5.4,False,15:19,False
139130,379,17009.1,16940.0,-0.41,17200.0,16770.0,-1.51,1.8,-1.87,11:52,-0.76,15:19,19,6,0,6.3,False,15:19,False
161390,379,58375.6,58100.0,-0.47,58900.0,57000.0,-1.36,4.12,-1.53,14:47,-1.02,09:58,11,1,0,3.0,False,15:19,False
175330,379,29775.7,29650.0,-0.42,30200.0,29250.0,-1.82,2.6,-2.98,11:54,-0.84,14:28,37,11,0,13.6,False,15:19,False
316140,379,33021.6,32950.0,-0.22,33400.0,32300.0,-1.35,1.85,-2.1,12:13,-0.6,14:28,27,5,0,3.7,False,15:19,False
417310,275,9699.8,9770.0,0.72,9800.0,9560.0,-0.31,1.66,-0.92,13:05,-0.52,09:47,41,25,0,26.0,False,15:19,True
