date,equity
20220103,100000000.0
20220104,100000000.0
20220105,100000000.0
20220106,100000000.0
20220107,100000000.0
20220110,100000000.0
20220111,100000000.0
20220112,100000000.0
20220113,100000000.0
20220114,100000000.0
20220117,100000000.0
20220118,100000000.0
20220119,100000000.0
20220120,100000000.0
20220121,100000000.0
20220124,100000000.0
20220125,100000000.0
20220126,100000000.0
20220127,100000000.0
20220128,100000000.0
20220203,100000000.0
20220204,100000000.0
20220207,100000000.0
20220208,100000000.0
20220209,100000000.0
20220210,100000000.0
20220211,100000000.0
20220214,100000000.0
20220215,100000000.0
20220216,100000000.0
20220217,100000000.0
20220218,100000000.0
20220221,100000000.0
20220222,100000000.0
20220223,100000000.0
20220224,100000000.0
20220225,100000000.0
20220228,100000000.0
20220302,100000000.0
20220303,100000000.0
20220304,100000000.0
20220307,100000000.0
20220308,100000000.0
20220310,100000000.0
20220311,100000000.0
20220314,100000000.0
20220315,100000000.0
20220316,100000000.0
20220317,100000000.0
20220318,100000000.0
20220321,100000000.0
20220322,100000000.0
20220323,100000000.0
20220324,100000000.0
20220325,100000000.0
20220328,100000000.0
20220329,100000000.0
20220330,100000000.0
20220331,100000000.0
20220401,99787950.10292028
20220404,100341233.10292028
20220405,99848519.40909457
20220406,99438946.63655257
20220407,98715645.83815257
20220408,99042442.60920256
20220411,99784097.79167376
20220412,98819631.73132977
20220413,99506046.73132977
20220414,99937008.45179346
20220415,99512788.78101547
20220418,99524335.78101547
20220419,100562780.78101547
20220420,100868805.70559537
20220421,101336396.70559537
20220422,101070099.62782538
20220425,100224764.25442037
20220426,99698082.64662036
20220427,99291523.92729038
20220428,99612268.92729038
20220429,99610174.92729038
20220502,99644471.92729038
20220503,99334414.19241038
20220504,99353816.19241038
20220506,99592954.20138888
20220509,99295753.9032659
20220510,99132685.5734109
20220511,99010429.1838109
20220512,99010429.1838109
20220513,99010429.1838109
20220516,99010429.1838109
20220517,99010429.1838109
20220518,99010429.1838109
20220519,99010429.1838109
20220520,99010429.1838109
20220523,99010429.1838109
20220524,99010429.1838109
20220525,99010429.1838109
20220526,99010429.1838109
20220527,99010429.1838109
20220530,98800007.96480688
20220531,99059097.96480688
20220602,97958333.34523688
20220603,98523483.34523688
20220607,97098295.27990544
20220608,97358925.35704544
20220609,97268936.43707745
20220610,97132251.02829745
20220613,95795303.34248725
20220614,95573411.22749501
20220615,95498311.22749501
20220616,95140703.85482502
20220617,95162153.85482502
20220620,95010196.40631501
20220621,95010196.40631501
20220622,95010196.40631501
20220623,95010196.40631501
20220624,95010196.40631501
20220627,95010196.40631501
20220628,95010196.40631501
20220629,95010196.40631501
20220630,95010196.40631501
20220701,95010196.40631501
20220704,95010196.40631501
20220705,95010196.40631501
20220706,95010196.40631501
20220707,95010196.40631501
20220708,95010196.40631501
20220711,95010196.40631501
20220712,95010196.40631501
20220713,95010196.40631501
20220714,95010196.40631501
20220715,95010196.40631501
20220718,95010196.40631501
20220719,95010196.40631501
20220720,95010196.40631501
20220721,94809297.99728982
20220722,94278533.88832441
20220725,95412615.97498842
20220726,95607305.97498842
20220727,95686332.21397431
20220728,95435221.03762431
20220729,96153707.21287432
20220801,95569776.51136172
20220802,95237007.85404171
20220803,96497045.28704171
20220804,96368702.28704171
20220805,96788943.62263852
20220808,96746933.22468853
20220809,97208512.24599853
20220810,96392431.70200373
20220811,97802058.70200373
20220812,97741376.36022043
20220816,97383093.98549968
20220817,97484028.98549968
20220818,96569893.73831457
20220819,96189400.33786038
20220822,95490003.80060288
20220823,94032376.67477328
20220824,94419375.21247327
20220825,94401775.21247327
20220826,94194432.42524327
20220829,93849548.32914887
20220830,93729548.32914887
20220831,93789548.32914887
20220901,93541909.26214887
20220902,93561909.26214887
20220905,93438706.19414887
20220906,93438706.19414887
20220907,93438706.19414887
20220908,93438706.19414887
20220913,93438706.19414887
20220914,93438706.19414887
20220915,93438706.19414887
20220916,93438706.19414887
20220919,93438706.19414887
20220920,93438706.19414887
20220921,93438706.19414887
20220922,93438706.19414887
20220923,93438706.19414887
20220926,93438706.19414887
20220927,93369349.12776886
20220928,92783361.87959886
20220929,92519795.68930887
20220930,92442076.25640887
20221004,92386676.25640887
20221005,92310676.25640887
20221006,92364676.25640887
20221007,92370076.25640887
20221011,92319913.41640887
20221012,92325313.41640887
20221013,92336113.41640887
20221014,92341513.41640887
20221017,92368513.41640887
20221018,92341513.41640887
20221019,92379313.41640887
20221020,92379313.41640887
20221021,92390113.41640887
20221024,92368513.41640887
20221025,92454913.41640887
20221026,92572314.46916556
20221027,92572314.46916556
20221028,92572314.46916556
20221031,92572314.46916556
20221101,92572314.46916556
20221102,92377701.47305237
