date,equity,n_positions
2021-01-04,100000000.0,0
2021-01-05,100000000.0,0
2021-01-06,100000000.0,0
2021-01-07,100000000.0,0
2021-01-08,100000000.0,0
2021-01-11,100000000.0,0
2021-01-12,100000000.0,0
2021-01-13,100000000.0,0
2021-01-14,100000000.0,0
2021-01-15,100000000.0,0
2021-01-18,100000000.0,0
2021-01-19,100000000.0,0
2021-01-20,100000000.0,0
2021-01-21,100000000.0,0
2021-01-22,100000000.0,0
2021-01-25,100000000.0,0
2021-01-26,100000000.0,0
2021-01-27,100000000.0,0
2021-01-28,100000000.0,0
2021-01-29,100000000.0,0
2021-02-01,98966490.337495,0
2021-02-02,99834792.237495,0
2021-02-03,101673839.287495,0
2021-02-04,101645617.637495,0
2021-02-05,102154639.96764,0
2021-02-08,102110565.66764,0
2021-02-09,102522799.16764,0
2021-02-10,102930959.06764,0
2021-02-15,103617247.61763999,0
2021-02-16,104022635.41764002,0
2021-02-17,103799900.31764002,0
2021-02-18,102499287.61764,0
2021-02-19,102888534.91764,0
2021-02-22,101573652.26289001,0
2021-02-23,100665753.43322001,0
2021-02-24,98287864.62182501,0
2021-02-25,99640320.72182503,0
2021-02-26,98618975.72182502,0
2021-03-02,98680420.77182502,0
2021-03-03,98906569.22182502,0
2021-03-04,98784615.82182501,0
2021-03-05,96729093.32366502,0
2021-03-08,95101169.04866503,0
2021-03-09,93671549.60659502,0
2021-03-10,93445381.20659502,0
2021-03-11,94589663.69972003,0
2021-03-12,96202132.89972003,0
2021-03-15,96752838.39972003,0
2021-03-16,96872276.73172002,0
2021-03-17,96474437.63172,0
2021-03-18,96791720.53172001,0
2021-03-19,96602730.38172002,0
2021-03-22,96895981.13172,0
2021-03-23,96298977.64772002,0
2021-03-24,96243050.19772002,0
2021-03-25,96517958.34772001,0
2021-03-26,97513173.59772001,0
2021-03-29,97756819.14772001,0
2021-03-30,98209955.84772003,0
2021-03-31,98173252.59772001,0
2021-04-01,98275845.94772004,0
2021-04-02,98362708.24772002,0
2021-04-05,98737588.99891752,0
2021-04-06,99222850.89891753,0
2021-04-07,99262113.44891754,0
2021-04-08,100469588.14891753,0
2021-04-09,100836342.29891752,0
2021-04-12,100180855.59891751,0
2021-04-13,100465123.14891754,0
2021-04-14,100871248.14891753,0
2021-04-15,101420824.09891753,0
2021-04-16,101695043.49891752,0
2021-04-19,102286542.94891752,0
2021-04-20,103256804.54891753,0
2021-04-21,102883199.94891752,0
2021-04-22,103646301.69891754,0
2021-04-23,104610640.99891752,0
2021-04-26,104969820.79891752,0
2021-04-27,107056551.84891753,0
2021-04-28,104672975.24891752,0
2021-04-29,103777397.89891754,0
2021-04-30,103167419.99891752,0
2021-05-03,101896599.84516752,0
2021-05-04,101739557.75921252,0
2021-05-06,103639880.75921254,0
2021-05-07,105055398.80921254,0
2021-05-10,106921619.65921254,0
2021-05-11,107375397.46671253,0
2021-05-12,104932561.76671253,0
2021-05-13,102600710.76671253,0
2021-05-14,102328423.43472253,0
2021-05-17,101622160.18472253,0
2021-05-18,103861742.43472253,0
2021-05-20,103637655.53222252,0
2021-05-21,103055972.43222252,0
2021-05-24,102049604.18222252,0
2021-05-25,102210886.17622253,0
2021-05-26,102170881.67622252,0
2021-05-27,103368062.17622255,0
2021-05-28,103762164.92622252,0
2021-05-31,104271958.67622255,0
2021-06-01,104395306.67622252,0
2021-06-02,104595091.67622253,0
2021-06-03,104907712.92622255,0
2021-06-04,104380956.98992,0
2021-06-07,103975033.38992,0
2021-06-08,104378802.38992001,0
2021-06-09,103073357.03992002,0
2021-06-10,103075698.78992002,0
