date,equity,n_pos
2020-01-13,100107618.51135,20
2020-01-14,100744680.51135,20
2020-01-15,101219762.51135,20
2020-01-16,102245748.51135,20
2020-01-17,102148512.51135,20
2020-01-20,102235459.51135,20
2020-01-21,101903161.51135,20
2020-01-22,103627996.51135,20
2020-01-23,103415675.51135,20
2020-01-28,100737413.51135,20
2020-01-29,101251300.51135,20
2020-01-30,100042508.51135,20
2020-01-31,98448655.94485,18
2020-02-03,98353801.94485,18
2020-02-04,99890514.94485,18
2020-02-05,99754953.94485,18
2020-02-06,101167859.94485,18
2020-02-07,100927359.94485,18
2020-02-10,100807102.94485,18
2020-02-11,101671024.94485,18
2020-02-12,101493024.94485,18
2020-02-13,101199711.70575,20
2020-02-14,102345009.70575,20
2020-02-17,102728136.70575,20
2020-02-18,101162061.70575,20
2020-02-19,102362521.70575,20
2020-02-20,101732635.55075,19
2020-02-21,100308803.55075,19
2020-02-24,97465570.91575,15
2020-02-25,98219959.91575,15
2020-02-26,97185332.91575,15
2020-02-27,95418510.98075,13
2020-02-28,92862517.41225,6
2020-03-02,93593952.41225,6
2020-03-03,93634302.41225,6
2020-03-04,94544720.41225,6
2020-03-05,94661054.41225,6
2020-03-06,94013897.41225,6
2020-03-09,92849121.99425,4
2020-03-10,92951695.99425,4
2020-03-11,92561139.99425,4
2020-03-12,92135131.59425,3
2020-03-13,95379081.1613,20
2020-03-16,90590578.45684999,18
2020-03-17,89715372.45684999,18
2020-03-18,84687017.64535,12
2020-03-19,80169483.92770001,2
2020-03-20,80897467.92770001,2
2020-03-23,80415947.92770001,2
2020-03-24,81097899.92770001,2
2020-03-25,81097899.92770001,2
2020-03-26,80884267.92770001,2
2020-03-27,81264155.92770001,2
2020-03-30,81236555.92770001,2
2020-03-31,81518843.92770001,2
2020-04-01,81178267.92770001,2
2020-04-02,81660187.92770001,2
2020-04-03,81632587.92770001,2
2020-04-06,81747419.92770001,2
2020-04-07,81634875.92770001,2
2020-04-08,81493131.92770001,2
2020-04-09,81521131.92770001,2
2020-04-10,81579819.92770001,2
2020-04-13,80401010.59465002,20
2020-04-14,82087047.59465002,20
2020-04-16,84509166.59465002,20
2020-04-17,86222055.59465002,20
2020-04-20,85609154.59465002,20
2020-04-21,85300833.59465002,20
2020-04-22,86342272.59465002,20
2020-04-23,87872206.59465002,20
2020-04-24,87067534.59465002,20
2020-04-27,88122169.59465002,20
2020-04-28,87726275.59465002,20
2020-04-29,87806798.59465002,20
2020-05-04,87317693.59465002,20
2020-05-06,89492143.59465002,20
2020-05-07,89883460.59465002,20
2020-05-08,91192851.59465002,20
2020-05-11,91244309.59465002,20
2020-05-12,91869443.59465002,20
2020-05-13,93085894.59465002,20
2020-05-14,94322357.59465002,20
2020-05-15,95429690.59465002,20
2020-05-18,96238486.46315001,20
2020-05-19,95476738.46315001,20
2020-05-20,97191068.46315001,20
2020-05-21,98873229.46315001,20
2020-05-22,98213813.46315001,20
2020-05-25,100245813.46315001,20
2020-05-26,100398840.46315001,20
2020-05-27,98731090.08815001,19
2020-05-28,98300155.08815001,19
2020-05-29,98407315.51815002,18
2020-06-01,99985324.51815002,18
2020-06-02,100007364.51815002,18
2020-06-03,99079405.51815002,18
2020-06-04,99815191.51815002,18
2020-06-05,100846060.51815002,18
2020-06-08,100191422.51815002,18
2020-06-09,100864160.21065001,17
2020-06-10,103419084.21065001,17
