date,equity,n_pos
2020-01-13,100617071.74870002,20
2020-01-14,102060271.74870002,20
2020-01-15,102823173.74870002,20
2020-01-16,103739315.74870002,20
2020-01-17,103858481.74870002,20
2020-01-20,104004131.74870002,20
2020-01-21,103364647.74870002,20
2020-01-22,104727147.74870002,20
2020-01-23,104704833.74870002,20
2020-01-28,101879849.74870002,20
2020-01-29,102024723.74870002,20
2020-01-30,100671931.74870002,20
2020-01-31,99194115.84870002,19
2020-02-03,98575288.94870001,17
2020-02-04,99134514.94870001,17
2020-02-05,98980704.94870001,17
2020-02-06,100760206.94870001,17
2020-02-07,100193540.94870001,17
2020-02-10,99638132.94870001,17
2020-02-11,100159182.94870001,17
2020-02-12,100694334.94870001,17
2020-02-13,100005254.34615003,20
2020-02-14,100211201.34615003,20
2020-02-17,100248206.34615003,20
2020-02-18,99696185.34615003,20
2020-02-19,100244271.34615003,20
2020-02-20,99341419.34615003,20
2020-02-21,97811396.70365003,18
2020-02-24,94931109.30615002,15
2020-02-25,95547165.29115002,14
2020-02-26,95177680.29115002,14
2020-02-27,94609576.69115001,13
2020-02-28,93173650.77365002,9
2020-03-02,93540226.77365002,9
2020-03-03,93910543.77365002,9
2020-03-04,94736797.77365002,9
2020-03-05,95299998.77365002,9
2020-03-06,94616418.77365002,9
2020-03-09,93606925.99565002,7
2020-03-10,93325766.77715,6
2020-03-11,92835960.77715,6
2020-03-12,91761843.11295001,3
2020-03-13,95071700.95225,20
2020-03-16,91334770.20225,19
2020-03-17,88301177.20225,19
2020-03-18,83938925.33020002,11
2020-03-19,79931581.5512,2
2020-03-20,80428454.5512,2
2020-03-23,80080139.5512,2
2020-03-24,80707883.5512,2
2020-03-25,80611883.5512,2
2020-03-26,80381054.5512,2
2020-03-27,80510540.5512,2
2020-03-30,80488840.5512,2
2020-03-31,80640626.5512,2
2020-04-01,80301054.5512,2
2020-04-02,80743669.5512,2
2020-04-03,80873969.5512,2
2020-04-06,81196198.5512,2
2020-04-07,81181755.5512,2
2020-04-08,81076412.5512,2
2020-04-09,81252412.5512,2
2020-04-10,81178498.5512,2
2020-04-13,80382409.42144999,20
2020-04-14,81419165.42144999,20
2020-04-16,81630203.42144999,20
2020-04-17,83498478.42144999,20
2020-04-20,83005152.42144999,20
2020-04-21,81986647.42144999,20
2020-04-22,83470389.42144999,20
2020-04-23,84551545.42144999,20
2020-04-24,84553824.42144999,20
2020-04-27,85023693.42144999,20
2020-04-28,85171318.42144999,20
2020-04-29,85849848.42144999,20
2020-05-04,84397874.42144999,20
2020-05-06,86343740.42144999,20
2020-05-07,86802294.42144999,20
2020-05-08,87773990.42144999,20
2020-05-11,87415067.42144999,20
2020-05-12,87708898.42144999,20
2020-05-13,88058646.42144999,20
2020-05-14,88804871.42144999,20
2020-05-15,89961142.42144999,20
2020-05-18,90738977.22309998,20
2020-05-19,90268026.22309998,20
2020-05-20,91262124.22309998,20
2020-05-21,92105365.22309998,20
2020-05-22,91751761.22309998,20
2020-05-25,93849374.22309998,20
2020-05-26,93667583.22309998,20
2020-05-27,92377046.22309998,20
2020-05-28,92361527.22309998,20
2020-05-29,91817352.22309998,20
2020-06-01,94068972.22309998,20
2020-06-02,94431486.22309998,20
2020-06-03,94388551.22309998,20
2020-06-04,94857445.22309998,20
