date,equity,n_pos
2020-01-13,100640844.0449,20
2020-01-14,101176527.0449,20
2020-01-15,100679886.0449,20
2020-01-16,101547929.0449,20
2020-01-17,102139836.0449,20
2020-01-20,102816645.0449,20
2020-01-21,101824938.0449,20
2020-01-22,103159954.0449,20
2020-01-23,104396751.0449,20
2020-01-28,102037601.72405,16
2020-01-29,100580264.36205,15
2020-01-30,99563965.68205,14
2020-01-31,97845955.0453,12
2020-02-03,98131838.0453,12
2020-02-04,100155707.0453,12
2020-02-05,100362204.0453,12
2020-02-06,101151548.0453,12
2020-02-07,101054800.0453,12
2020-02-10,100939109.0453,12
2020-02-11,102184975.0453,12
2020-02-12,101831985.0453,12
2020-02-13,101343707.90960002,20
2020-02-14,101774683.90960002,20
2020-02-17,102847161.90960002,20
2020-02-18,101381337.90960002,20
2020-02-19,101693155.90960002,20
2020-02-20,101648872.90960002,20
2020-02-21,100032987.90960002,20
2020-02-24,96939241.39480002,18
2020-02-25,98299091.39480002,18
2020-02-26,97198321.55080003,17
2020-02-27,94716502.42830002,15
2020-02-28,91333557.23870002,4
2020-03-02,91969961.23870002,4
2020-03-03,91758361.23870002,4
2020-03-04,92415569.23870002,4
2020-03-05,92516985.23870002,4
2020-03-06,92656461.23870002,4
2020-03-09,91216440.73870002,3
2020-03-10,91333016.73870002,3
2020-03-11,90998872.73870002,3
2020-03-12,90739042.33870001,2
2020-03-13,94130126.06655002,20
2020-03-16,91952512.13200001,18
2020-03-17,91245646.13200001,18
2020-03-18,85432899.74355002,10
2020-03-19,82468261.57805002,6
2020-03-20,83954227.57805002,6
2020-03-23,83177977.57805002,6
2020-03-24,84582109.57805002,6
2020-03-25,84634357.57805002,6
2020-03-26,84397345.57805002,6
2020-03-27,85172604.57805002,6
2020-03-30,85722461.57805002,6
2020-03-31,86313099.57805002,6
2020-04-01,85515319.57805002,6
2020-04-02,86347609.57805002,6
2020-04-03,86350509.57805002,6
2020-04-06,86860492.57805002,6
2020-04-07,86605913.57805002,6
2020-04-08,86768395.57805002,6
2020-04-09,86997847.57805002,6
2020-04-10,87243395.57805002,6
2020-04-13,85492393.02805,20
2020-04-14,86201234.02805,20
2020-04-16,87334078.02805,20
2020-04-17,88086651.02805,20
2020-04-20,86493141.90204999,19
2020-04-21,85337240.90204999,19
2020-04-22,86166183.90204999,19
2020-04-23,87996511.90204999,19
2020-04-24,87508962.90204999,19
2020-04-27,88653731.90204999,19
2020-04-28,88167881.90204999,19
2020-04-29,87984067.90204999,19
2020-05-04,87444556.90204999,19
2020-05-06,89477589.90204999,19
2020-05-07,90667153.90204999,19
2020-05-08,91404951.90204999,19
2020-05-11,91752214.90204999,19
2020-05-12,92086362.90204999,19
2020-05-13,92795088.90204999,19
2020-05-14,93287465.90204999,19
2020-05-15,94675227.90204999,19
2020-05-18,95873204.00745,20
2020-05-19,94011872.00745,20
2020-05-20,95430833.00745,20
2020-05-21,95490516.00745,20
2020-05-22,95562579.00745,20
2020-05-25,97485790.00745,20
2020-05-26,96856466.00745,20
2020-05-27,96206645.00745,20
2020-05-28,94732598.92745,19
2020-05-29,95501277.35245,18
2020-06-01,96263175.35245,18
2020-06-02,96637780.35245,18
2020-06-03,94750286.94245,17
2020-06-04,94606318.94245,17
2020-06-05,95737152.94245,17
2020-06-08,95696701.94245,17
2020-06-09,96231636.94245,17
2020-06-10,97957396.94245,17
2020-06-11,97314516.85995,16
2020-06-12,97227708.22745001,14
2020-06-15,94854699.28745002,12
2020-06-16,97650428.11380002,20
2020-06-17,97436027.21380001,19
2020-06-18,97401343.21380001,19
2020-06-19,99105102.21380001,19
2020-06-22,98463794.46380001,18
2020-06-23,99260747.7247,17
2020-06-24,99157111.99470001,16
2020-06-25,98168158.8437,15
2020-06-26,98577964.5637,14
2020-06-29,97234327.89290002,13
2020-06-30,97626739.89290002,13
2020-07-01,97267254.70540002,12
2020-07-02,98102456.70540002,12
2020-07-03,98506474.70540002,12
2020-07-06,99483143.70540002,12
2020-07-07,100863223.70540002,12
2020-07-08,101686749.5503,11
2020-07-09,102675873.5503,11
2020-07-10,102675597.73480001,10
2020-07-13,103992831.73480001,10
2020-07-14,102874073.73480001,10
2020-07-15,101594237.20820001,20
2020-07-16,99559104.20820001,20
2020-07-17,99520503.20820001,20
2020-07-20,98161466.64215001,18
2020-07-21,99917086.64215001,18
2020-07-22,100306712.64215001,18
2020-07-23,100620067.69715002,16
2020-07-24,99279145.32615001,15
2020-07-27,101234761.32615001,15
2020-07-28,101746171.96115002,14
2020-07-29,102391269.96115002,14
2020-07-30,103135599.96115002,14
