date,equity,n_pos
2020-01-13,100839915.14085002,20
2020-01-14,101857410.14085002,20
2020-01-15,102387785.14085002,20
2020-01-16,102951540.14085002,20
2020-01-17,102904461.14085002,20
2020-01-20,103326646.14085002,20
2020-01-21,102508305.14085002,20
2020-01-22,103761218.14085002,20
2020-01-23,103378347.14085002,20
2020-01-28,100710586.57085001,19
2020-01-29,100793884.57085001,19
2020-01-30,99571666.57085001,19
2020-01-31,98168259.57085001,19
2020-02-03,97602241.83835003,15
2020-02-04,98632347.83835003,15
2020-02-05,98689931.83835003,15
2020-02-06,99973094.83835003,15
2020-02-07,99845444.83835003,15
2020-02-10,99375701.83835003,15
2020-02-11,100165278.83835003,15
2020-02-12,100468213.83835003,15
2020-02-13,99667700.89515004,20
2020-02-14,99847433.89515004,20
2020-02-17,99913943.89515004,20
2020-02-18,99060080.89515004,20
2020-02-19,99790409.89515004,20
2020-02-20,99500789.89515004,20
2020-02-21,97831393.59515004,19
2020-02-24,94992224.59515004,19
2020-02-25,95609711.59515004,19
2020-02-26,94749044.59515004,19
2020-02-27,93474201.61805004,16
2020-02-28,90988194.95655003,9
2020-03-02,91233153.95655003,9
2020-03-03,91193298.95655003,9
2020-03-04,92260379.95655003,9
2020-03-05,92512504.95655003,9
2020-03-06,91891133.30155003,8
2020-03-09,91038745.58355004,6
2020-03-10,90726635.58355004,6
2020-03-11,90275631.54505004,5
2020-03-12,89516748.77005003,2
2020-03-13,92379811.42940003,20
2020-03-16,89884122.67940003,19
2020-03-17,88606772.67940003,19
2020-03-18,85909378.12940003,17
2020-03-19,81263108.02410002,8
2020-03-20,82529652.02410002,8
2020-03-23,81110420.26410002,7
2020-03-24,81976098.26410002,7
2020-03-25,82026658.26410002,7
2020-03-26,82079253.26410002,7
2020-03-27,82642338.26410002,7
2020-03-30,83310624.26410002,7
2020-03-31,83736036.26410002,7
2020-04-01,82917398.26410002,7
2020-04-02,83542651.26410002,7
2020-04-03,83642651.26410002,7
2020-04-06,84235224.26410002,7
2020-04-07,84219411.26410002,7
2020-04-08,84543205.26410002,7
2020-04-09,84965193.26410002,7
2020-04-10,85159157.26410002,7
2020-04-13,84093902.08820002,20
2020-04-14,85111319.08820002,20
2020-04-16,86039310.08820002,20
2020-04-17,86250126.08820002,20
2020-04-20,86173922.08820002,20
2020-04-21,85289906.08820002,20
2020-04-22,86853608.08820002,20
2020-04-23,87606786.08820002,20
2020-04-24,87910920.08820002,20
2020-04-27,88370849.08820002,20
2020-04-28,88529914.08820002,20
2020-04-29,88923536.08820002,20
2020-05-04,87634330.08820002,20
2020-05-06,89114689.08820002,20
2020-05-07,90434440.08820002,20
2020-05-08,91216496.08820002,20
2020-05-11,91585336.08820002,20
2020-05-12,92099636.08820002,20
2020-05-13,92783720.08820002,20
2020-05-14,92906465.08820002,20
2020-05-15,94880382.08820002,20
2020-05-18,94174502.64935002,20
2020-05-19,92504687.64935002,20
2020-05-20,94219843.64935002,20
2020-05-21,94846287.64935002,20
2020-05-22,94929574.64935002,20
2020-05-25,97153979.64935002,20
2020-05-26,96636377.64935002,20
2020-05-27,95836015.64935002,20
2020-05-28,95508744.64935002,20
2020-05-29,95534980.64935002,20
2020-06-01,97312148.64935002,20
2020-06-02,97656244.64935002,20
2020-06-03,95833030.64935002,20
2020-06-04,95774262.64935002,20
2020-06-05,95601085.64935002,20
2020-06-08,95791425.64935002,20
2020-06-09,95894209.64935002,20
2020-06-10,97722684.64935002,20
2020-06-11,97583764.64935002,20
2020-06-12,97397289.64935002,20
2020-06-15,93673782.30555002,12
2020-06-16,96696963.68865001,20
2020-06-17,99093191.78865002,19
2020-06-18,98312354.78865002,19
2020-06-19,97168194.83150002,18
2020-06-22,97154226.15650001,17
2020-06-23,97855793.15650001,17
2020-06-24,98892190.23650002,16
2020-06-25,97792113.23650002,16
2020-06-26,97144699.31650001,15
