date,equity,n_pos
2020-01-13,101048797.28895,20
2020-01-14,101313350.28895,20
2020-01-15,100912428.28895,20
2020-01-16,102684920.28895,20
2020-01-17,102704968.28895,20
2020-01-20,101163499.8247,19
2020-01-21,99653752.67245,16
2020-01-22,100257163.44375,15
2020-01-23,100873548.44375,15
2020-01-28,96939690.18125,13
2020-01-29,97756287.18125,13
2020-01-30,95797475.59125,10
2020-01-31,94484645.40720001,6
2020-02-03,95748558.40720001,6
2020-02-04,96115791.40720001,6
2020-02-05,94965750.1697,5
2020-02-06,95873270.1697,5
2020-02-07,95884431.1697,5
2020-02-10,95260378.4072,4
2020-02-11,95649320.4072,4
2020-02-12,96165188.4072,4
2020-02-13,95191679.90015,20
2020-02-14,94665894.77015,19
2020-02-17,94654061.53765,18
2020-02-18,92948616.53765,18
2020-02-19,92777173.53765,18
2020-02-20,91417998.68765,17
2020-02-21,90458021.14965001,16
2020-02-24,85999022.59785,6
2020-02-25,86471621.71035,5
2020-02-26,86196766.42934999,4
2020-02-27,84950843.9514,3
2020-02-28,84503266.1184,1
2020-03-02,84696766.1184,1
2020-03-03,84524766.1184,1
2020-03-04,84815016.1184,1
2020-03-05,84890266.1184,1
2020-03-06,84718266.1184,1
2020-03-09,84324796.23089999,0
2020-03-10,84324796.23089999,0
2020-03-11,84324796.23089999,0
2020-03-12,84324796.23089999,0
2020-03-13,83697006.30884998,20
2020-03-16,77747723.81384999,18
2020-03-17,79361562.95644999,16
2020-03-18,75415375.10849997,12
2020-03-19,71813195.60169998,5
2020-03-20,72991695.60169998,5
2020-03-23,71790002.86669998,4
2020-03-24,72699202.86669998,4
2020-03-25,73146002.86669998,4
2020-03-26,73071832.86669998,4
2020-03-27,73063922.86669998,4
2020-03-30,73885592.86669998,4
2020-03-31,73928922.86669998,4
2020-04-01,74420942.86669998,4
2020-04-02,75016782.86669998,4
2020-04-03,75054472.86669998,4
2020-04-06,75518552.86669998,4
2020-04-07,75973682.86669998,4
2020-04-08,76227982.86669998,4
2020-04-09,76225772.86669998,4
2020-04-10,76151652.86669998,4
2020-04-13,72952544.46424998,20
2020-04-14,74056236.92924999,19
2020-04-16,76296393.82049999,18
2020-04-17,80316688.82049999,18
2020-04-20,76977901.76049998,15
2020-04-21,76333019.76049998,15
2020-04-22,77288590.76049998,15
2020-04-23,77826080.76049998,15
2020-04-24,76863621.72549999,13
2020-04-27,78048146.72549999,13
2020-04-28,77973564.72549999,13
2020-04-29,78470386.72549999,13
2020-05-04,77539358.82949999,12
2020-05-06,78440895.38804999,11
2020-05-07,79445784.38804999,11
2020-05-08,80069491.38804999,11
2020-05-11,80566477.38804999,11
2020-05-12,80743388.38804999,11
2020-05-13,81283542.38804999,11
2020-05-14,82372000.38804999,11
2020-05-15,83130329.38804999,11
2020-05-18,80502573.85009998,20
2020-05-19,79264242.88379999,17
2020-05-20,81036338.88379999,17
2020-05-21,82449760.88379999,17
2020-05-22,84439736.88379999,17
2020-05-25,84821704.88379999,17
2020-05-26,85806808.88379999,17
2020-05-27,84566407.59579998,16
2020-05-28,82902324.24389997,14
2020-05-29,82544269.07389998,13
2020-06-01,82955712.07389998,13
2020-06-02,83431436.20589998,10
2020-06-03,82492104.16029999,9
2020-06-04,82509100.16029999,9
2020-06-05,82773372.16029999,9
2020-06-08,83101149.16029999,9
2020-06-09,83979592.16029999,9
