date,ticker,stage,reason
2020-01-02,011790,B,TOTAL_EXP (95.7%>95%)
2020-01-02,032350,B,TOTAL_EXP (95.7%>95%)
2020-01-02,035420,B,TOTAL_EXP (95.6%>95%)
2020-01-03,009150,B,SECTOR_EXP (33.9%>30%)
2020-01-03,032350,B,TOTAL_EXP (95.7%>95%)
2020-01-03,090430,B,TOTAL_EXP (95.6%>95%)
2020-01-09,000660,B,SECTOR_EXP (30.7%>30%)
2020-01-10,000660,B,SECTOR_EXP (30.9%>30%)
2020-01-14,000660,B,SECTOR_EXP (31.1%>30%)
2020-01-14,028260,B,TOTAL_EXP (99.9%>95%)
2020-01-15,000660,B,SECTOR_EXP (30.9%>30%)
2020-02-12,020150,B,SECTOR_CAP (전기·전자)
2020-02-12,001820,B,SECTOR_CAP (전기·전자)
2020-02-13,001820,B,SECTOR_CAP (전기·전자)
2020-02-17,005935,B,SECTOR_CAP (전기·전자)
2020-02-17,097520,B,SECTOR_CAP (전기·전자)
2020-02-17,001820,B,SECTOR_CAP (전기·전자)
2020-02-18,178920,B,TOTAL_EXP (99.5%>95%)
2020-02-18,097520,B,SECTOR_CAP (전기·전자)
2020-07-28,298050,B,SECTOR_EXP (36.9%>30%)
2020-08-03,011200,B,TOTAL_EXP (99.1%>95%)
2020-08-04,035720,B,TOTAL_EXP (99.4%>95%)
2020-08-04,011200,B,TOTAL_EXP (99.4%>95%)
2020-08-05,035720,B,TOTAL_EXP (99.5%>95%)
2020-08-05,075580,B,TOTAL_EXP (99.5%>95%)
2020-08-06,035720,B,TOTAL_EXP (99.6%>95%)
2020-08-06,011200,B,TOTAL_EXP (99.6%>95%)
2020-08-07,009830,B,SECTOR_EXP (41.0%>30%)
2020-08-07,011200,B,TOTAL_EXP (99.9%>95%)
2020-08-10,009830,B,SECTOR_EXP (42.6%>30%)
2020-08-10,011200,B,TOTAL_EXP (100.0%>95%)
2020-08-10,001570,B,SECTOR_EXP (42.7%>30%)
2020-08-11,081000,B,SECTOR_EXP (43.4%>30%)
2020-08-11,009830,B,SECTOR_EXP (43.4%>30%)
2020-08-11,011200,B,TOTAL_EXP (100.0%>95%)
2020-08-11,001570,B,SECTOR_EXP (43.4%>30%)
2020-08-12,081000,B,SECTOR_EXP (43.6%>30%)
2020-08-12,009830,B,SECTOR_EXP (43.6%>30%)
2020-08-12,011200,B,TOTAL_EXP (100.0%>95%)
2020-08-13,009830,B,SECTOR_EXP (44.3%>30%)
2020-09-01,020120,B,TOTAL_EXP (99.2%>95%)
2020-09-01,026960,B,TOTAL_EXP (99.2%>95%)
2020-09-02,005380,B,TOTAL_EXP (99.2%>95%)
2020-09-04,210980,B,TOTAL_EXP (99.6%>95%)
2020-11-09,011170,B,SECTOR_EXP (30.9%>30%)
2020-11-10,011170,B,SECTOR_EXP (30.1%>30%)
2020-12-01,004490,B,TOTAL_EXP (98.8%>95%)
2020-12-01,013000,B,TOTAL_EXP (98.8%>95%)
2020-12-01,000370,B,TOTAL_EXP (98.8%>95%)
2020-12-01,055490,B,SECTOR_CAP (화학)
2020-12-01,267270,B,TOTAL_EXP (98.8%>95%)
2020-12-01,039130,B,TOTAL_EXP (98.8%>95%)
2020-12-01,002310,B,TOTAL_EXP (98.8%>95%)
2020-12-01,026960,B,TOTAL_EXP (98.8%>95%)
2020-12-02,013000,B,TOTAL_EXP (98.9%>95%)
2020-12-02,000370,B,TOTAL_EXP (98.9%>95%)
2020-12-02,267270,B,TOTAL_EXP (98.9%>95%)
2020-12-02,039130,B,TOTAL_EXP (98.9%>95%)
2020-12-03,000370,B,TOTAL_EXP (99.0%>95%)
2020-12-03,055490,B,SECTOR_CAP (화학)
2020-12-03,267270,B,TOTAL_EXP (99.0%>95%)
2020-12-03,298020,B,SECTOR_CAP (화학)
2020-12-03,039130,B,TOTAL_EXP (99.0%>95%)
2020-12-04,352820,B,TOTAL_EXP (98.8%>95%)
2020-12-17,033240,B,TOTAL_EXP (96.1%>95%)
2020-12-17,006110,B,TOTAL_EXP (96.1%>95%)
2020-12-18,298020,B,TOTAL_EXP (95.9%>95%)
2020-12-21,298020,B,TOTAL_EXP (95.8%>95%)
2020-12-21,006110,B,TOTAL_EXP (95.9%>95%)
2021-01-04,009155,B,TOTAL_EXP (97.1%>95%)
2021-01-04,000990,B,TOTAL_EXP (97.1%>95%)
2021-01-04,005935,B,TOTAL_EXP (97.1%>95%)
2021-01-04,006400,B,TOTAL_EXP (96.7%>95%)
2021-01-04,005930,B,TOTAL_EXP (97.1%>95%)
2021-01-05,034120,B,TOTAL_EXP (97.3%>95%)
2021-01-05,009155,B,TOTAL_EXP (97.3%>95%)
2021-01-05,004020,B,TOTAL_EXP (97.3%>95%)
2021-01-05,000990,B,TOTAL_EXP (97.3%>95%)
2021-01-05,005935,B,TOTAL_EXP (97.3%>95%)
2021-01-05,006400,B,TOTAL_EXP (97.0%>95%)
2021-01-05,005930,B,TOTAL_EXP (97.3%>95%)
2021-01-06,034120,B,TOTAL_EXP (97.2%>95%)
2021-01-06,009155,B,TOTAL_EXP (97.2%>95%)
2021-01-06,004020,B,TOTAL_EXP (97.2%>95%)
2021-01-06,006360,B,TOTAL_EXP (97.2%>95%)
2021-01-06,005935,B,TOTAL_EXP (97.2%>95%)
2021-01-06,084010,B,TOTAL_EXP (97.3%>95%)
2021-01-06,006400,B,TOTAL_EXP (97.1%>95%)
2021-01-06,005930,B,TOTAL_EXP (97.2%>95%)
2021-01-07,084010,B,TOTAL_EXP (97.5%>95%)
2021-01-08,004020,B,TOTAL_EXP (97.8%>95%)
2021-01-08,034120,B,TOTAL_EXP (97.8%>95%)
2021-01-08,006360,B,TOTAL_EXP (97.8%>95%)
2021-01-08,298020,B,TOTAL_EXP (97.7%>95%)
2021-01-08,084010,B,TOTAL_EXP (97.8%>95%)
2021-01-08,006400,B,TOTAL_EXP (97.5%>95%)
2021-01-11,006360,B,TOTAL_EXP (97.6%>95%)
2021-01-11,298020,B,TOTAL_EXP (97.5%>95%)
2021-01-11,005935,B,TOTAL_EXP (97.6%>95%)
2021-01-11,006400,B,TOTAL_EXP (97.3%>95%)
2021-01-11,005930,B,TOTAL_EXP (97.6%>95%)
2021-01-12,006360,B,TOTAL_EXP (97.2%>95%)
2021-01-12,005935,B,TOTAL_EXP (97.2%>95%)
2021-01-12,005930,B,TOTAL_EXP (97.2%>95%)
2021-01-13,034120,B,TOTAL_EXP (97.3%>95%)
2021-01-13,006400,B,TOTAL_EXP (96.8%>95%)
2021-01-14,034120,B,TOTAL_EXP (97.3%>95%)
2021-01-14,006400,B,TOTAL_EXP (96.9%>95%)
2021-01-20,001120,B,TOTAL_EXP (97.7%>95%)
2021-01-20,272210,B,TOTAL_EXP (97.7%>95%)
2021-01-20,014790,B,TOTAL_EXP (97.7%>95%)
2021-01-21,001120,B,TOTAL_EXP (98.0%>95%)
2021-01-21,272210,B,SECTOR_EXP (30.2%>30%)
2021-01-21,034120,B,TOTAL_EXP (98.0%>95%)
2021-01-21,014790,B,TOTAL_EXP (98.0%>95%)
2021-01-22,001120,B,TOTAL_EXP (98.0%>95%)
2021-01-22,000230,B,TOTAL_EXP (98.0%>95%)
2021-01-22,014790,B,TOTAL_EXP (98.0%>95%)
2021-01-25,006400,B,SECTOR_EXP (30.3%>30%)
2021-02-03,096775,B,SECTOR_EXP (30.8%>30%)
2021-02-03,011790,B,SECTOR_EXP (30.8%>30%)
2021-02-03,006650,B,SECTOR_EXP (30.8%>30%)
2021-02-04,096775,B,SECTOR_EXP (31.2%>30%)
2021-02-04,011790,B,SECTOR_EXP (31.2%>30%)
2021-02-04,006650,B,SECTOR_EXP (31.1%>30%)
2021-02-04,097520,B,SECTOR_CAP (전기·전자)
2021-02-04,066970,B,SECTOR_CAP (전기·전자)
2021-02-05,096775,B,SECTOR_EXP (32.0%>30%)
2021-02-05,066970,B,SECTOR_CAP (전기·전자)
2021-02-10,003670,B,SECTOR_CAP (전기·전자)
2021-02-15,003670,B,SECTOR_CAP (전기·전자)
2021-02-16,003670,B,SECTOR_CAP (전기·전자)
2021-02-16,006400,B,SECTOR_CAP (전기·전자)
2021-02-16,034220,B,SECTOR_CAP (전기·전자)
2021-02-17,003670,B,SECTOR_CAP (전기·전자)
2021-02-17,034220,B,SECTOR_CAP (전기·전자)
2021-02-18,003670,B,SECTOR_CAP (전기·전자)
2021-02-18,006400,B,SECTOR_CAP (전기·전자)
2021-02-18,042700,B,TOTAL_EXP (96.3%>95%)
2021-02-19,042700,B,TOTAL_EXP (97.7%>95%)
2021-02-23,005880,B,TOTAL_EXP (97.8%>95%)
2021-03-04,001430,B,TOTAL_EXP (98.7%>95%)
2021-03-04,111770,B,TOTAL_EXP (98.7%>95%)
2021-03-05,111770,B,TOTAL_EXP (97.8%>95%)
2021-03-18,298000,B,SECTOR_CAP (화학)
2021-03-19,120110,B,SECTOR_CAP (화학)
2021-03-24,120110,B,SECTOR_CAP (화학)
2021-03-25,298000,B,SECTOR_CAP (화학)
2021-03-25,120110,B,SECTOR_CAP (화학)
2021-03-26,120110,B,SECTOR_CAP (화학)
2021-03-29,120110,B,SECTOR_CAP (화학)
2021-03-30,084010,B,TOTAL_EXP (100.0%>95%)
2021-04-01,003530,B,TOTAL_EXP (100.0%>95%)
2021-04-01,300720,B,TOTAL_EXP (100.0%>95%)
2021-04-01,138040,B,TOTAL_EXP (100.0%>95%)
2021-04-01,183190,B,TOTAL_EXP (100.0%>95%)
2021-04-01,004440,B,TOTAL_EXP (100.0%>95%)
2021-04-01,002240,B,TOTAL_EXP (100.0%>95%)
2021-04-01,017550,B,TOTAL_EXP (100.0%>95%)
2021-04-01,030210,B,TOTAL_EXP (100.0%>95%)
2021-04-01,352820,B,TOTAL_EXP (100.0%>95%)
2021-04-01,004980,B,TOTAL_EXP (100.0%>95%)
2021-04-01,027410,B,TOTAL_EXP (100.0%>95%)
2021-04-01,000490,B,TOTAL_EXP (100.0%>95%)
2021-04-01,015890,B,SECTOR_CAP (화학)
2021-04-01,083420,B,SECTOR_CAP (화학)
2021-04-01,011700,B,TOTAL_EXP (100.0%>95%)
2021-04-01,016380,B,TOTAL_EXP (100.0%>95%)
2021-04-01,241560,B,TOTAL_EXP (100.0%>95%)
2021-04-02,002240,B,TOTAL_EXP (100.0%>95%)
2021-04-02,017550,B,TOTAL_EXP (100.0%>95%)
2021-04-02,030210,B,TOTAL_EXP (100.0%>95%)
2021-04-02,027410,B,TOTAL_EXP (100.0%>95%)
2021-04-05,030210,B,TOTAL_EXP (99.7%>95%)
2021-04-05,027410,B,TOTAL_EXP (99.7%>95%)
2021-04-05,055490,B,TOTAL_EXP (99.7%>95%)
2021-04-06,104700,B,TOTAL_EXP (100.0%>95%)
2021-04-06,084010,B,TOTAL_EXP (100.0%>95%)
2021-04-06,030210,B,TOTAL_EXP (100.0%>95%)
2021-04-06,004980,B,TOTAL_EXP (100.0%>95%)
2021-04-06,003160,B,TOTAL_EXP (100.0%>95%)
2021-04-06,055490,B,TOTAL_EXP (100.0%>95%)
2021-04-06,011700,B,TOTAL_EXP (100.0%>95%)
2021-04-07,104700,B,TOTAL_EXP (100.0%>95%)
2021-04-07,084010,B,TOTAL_EXP (100.0%>95%)
2021-04-07,002240,B,TOTAL_EXP (100.0%>95%)
2021-04-07,030210,B,TOTAL_EXP (100.0%>95%)
2021-04-07,027410,B,TOTAL_EXP (100.0%>95%)
2021-04-07,003160,B,TOTAL_EXP (100.0%>95%)
2021-04-07,000490,B,TOTAL_EXP (100.0%>95%)
2021-04-07,055490,B,TOTAL_EXP (100.0%>95%)
2021-04-08,104700,B,TOTAL_EXP (100.0%>95%)
2021-04-08,002240,B,TOTAL_EXP (100.0%>95%)
2021-04-08,004980,B,TOTAL_EXP (100.0%>95%)
2021-04-08,027410,B,TOTAL_EXP (100.0%>95%)
2021-04-08,000490,B,TOTAL_EXP (100.0%>95%)
2021-04-08,011700,B,TOTAL_EXP (100.0%>95%)
2021-04-09,104700,B,TOTAL_EXP (100.0%>95%)
2021-04-09,002240,B,TOTAL_EXP (100.0%>95%)
2021-04-09,030210,B,TOTAL_EXP (100.0%>95%)
2021-04-09,004980,B,TOTAL_EXP (100.0%>95%)
2021-04-09,000490,B,TOTAL_EXP (100.0%>95%)
2021-04-09,011700,B,TOTAL_EXP (100.0%>95%)
2021-04-12,083420,B,TOTAL_EXP (95.1%>95%)
2021-04-12,011700,B,SECTOR_EXP (31.7%>30%)
2021-04-14,055490,B,TOTAL_EXP (96.6%>95%)
2021-04-20,003160,B,TOTAL_EXP (96.9%>95%)
2021-04-21,003160,B,TOTAL_EXP (97.0%>95%)
2021-04-21,055490,B,TOTAL_EXP (97.0%>95%)
2021-04-22,298050,B,TOTAL_EXP (97.1%>95%)
2021-04-22,003160,B,TOTAL_EXP (97.1%>95%)
2021-04-22,055490,B,TOTAL_EXP (97.1%>95%)
2021-04-22,241560,B,TOTAL_EXP (97.1%>95%)
2021-04-23,267270,B,TOTAL_EXP (97.2%>95%)
2021-04-23,003160,B,TOTAL_EXP (97.2%>95%)
2021-04-23,055490,B,TOTAL_EXP (97.2%>95%)
2021-04-23,241560,B,TOTAL_EXP (97.2%>95%)
2021-04-26,055490,B,TOTAL_EXP (97.4%>95%)
2021-04-26,241560,B,TOTAL_EXP (97.4%>95%)
2021-04-27,298000,B,TOTAL_EXP (97.4%>95%)
2021-04-27,011780,B,TOTAL_EXP (97.5%>95%)
2021-04-27,003010,B,TOTAL_EXP (97.5%>95%)
2021-04-27,055490,B,TOTAL_EXP (97.5%>95%)
2021-04-27,241560,B,SECTOR_EXP (30.1%>30%)
2021-04-28,241560,B,SECTOR_CAP (기계·장비)
2021-04-30,138040,B,TOTAL_EXP (98.9%>95%)
2021-05-03,071970,B,SECTOR_CAP (기계·장비)
2021-05-03,138040,B,TOTAL_EXP (95.4%>95%)
2021-05-03,009540,B,TOTAL_EXP (95.4%>95%)
2021-05-03,042660,B,TOTAL_EXP (95.4%>95%)
2021-05-03,001750,B,TOTAL_EXP (95.4%>95%)
2021-05-04,071970,B,SECTOR_CAP (기계·장비)
2021-05-04,042660,B,TOTAL_EXP (98.6%>95%)
2021-05-10,011200,B,TOTAL_EXP (100.0%>95%)
