date,equity,cash,n_positions,exposure
2019-10-25,100298504.0419,51565270.041899994,7,0.4858819627024701
2019-10-28,100404615.73189999,37609839.73189999,9,0.6254172235236113
2019-10-29,100492747.73189999,37609839.73189999,9,0.625745732097628
2019-10-30,99810589.71114999,57770873.71114999,6,0.42119494656491024
2019-10-31,99873823.71114999,57770873.71114999,6,0.42156141054304697
2019-11-01,100235630.95115,52842812.95114999,7,0.4728140836774597
2019-11-04,100479794.95115,52842812.95114999,7,0.47409513547633686
2019-11-05,100396349.77039999,59588339.770399995,6,0.4064690608107296
2019-11-06,101007615.20539999,45629205.2054,8,0.5482597513800068
2019-11-07,100093073.0054,31705211.005400002,10,0.6832427054798337
2019-11-08,99691093.0054,31705211.005400002,10,0.6819654590036182
2019-11-11,99513285.3804,45202775.3804,8,0.5457614005244864
2019-11-12,99032354.88415,38241303.88415,9,0.6138504034475861
2019-11-13,98337892.42164999,31368659.42165,10,0.6810114733072732
2019-11-14,98563078.42164999,31368659.42165,10,0.6817402629465795
2019-11-15,98838644.15665,38125368.15665,9,0.614266580830218
2019-11-18,98202477.40709999,30681985.407099996,10,0.6875640389406134
2019-11-19,98708809.40709999,30681985.407099996,10,0.6891666955422413
2019-11-20,97880710.0721,16983350.072099995,12,0.8264893045872892
2019-11-21,96085965.8801,22787935.880099997,11,0.7628380412126395
2019-11-22,95515603.8801,22787935.880099997,11,0.7614218519865559
2019-11-25,96169065.8801,22787935.880099997,11,0.7630429736261435
2019-11-26,95821041.32609999,27569907.326099996,10,0.7122771058991776
2019-11-27,95891081.5511,20873715.551099997,11,0.7823184887118363
2019-11-28,96169989.5511,20873715.551099997,11,0.7829497991157758
2019-11-29,95994839.5511,20873715.551099997,11,0.7825537742579537
2019-12-02,96815975.4871,7386863.487099997,13,0.9237020187016115
2019-12-03,96729651.4871,7386863.487099997,13,0.9236339284434917
2019-12-04,96332945.144,60117067.143999994,5,0.37594488516741537
2019-12-05,96482835.144,60117067.143999994,5,0.37691438011460104
2019-12-06,97947687.144,60117067.143999994,5,0.386232907617129
2019-12-09,97665903.144,60117067.143999994,5,0.3844620772577863
2019-12-10,97909949.144,60117067.143999994,5,0.3859963398042065
2019-12-11,98770251.144,60117067.143999994,5,0.3913443931983772
2019-12-12,99506799.144,60117067.143999994,5,0.3958496538814162
2019-12-13,99967345.70899999,39276227.70899999,8,0.6071094272790722
2019-12-16,100000347.70899999,39276227.70899999,8,0.6072390885750376
2019-12-17,101456297.70899999,39276227.70899999,8,0.61287540945311
2019-12-18,101651899.70899999,39276227.70899999,8,0.6136203275941081
2019-12-19,101633121.70899999,39276227.70899999,8,0.6135489390805366
2019-12-20,102112669.70899999,39276227.70899999,8,0.6153638150786859
2019-12-23,101656385.70899999,39276227.70899999,8,0.6136373781630254
2019-12-24,102248759.59609999,47684396.59609999,7,0.5336432756303209
2019-12-26,102274569.59609999,47684396.59609999,7,0.5337609653659366
2019-12-27,103610661.59609999,47684396.59609999,7,0.5397732640489685
2019-12-30,103701156.93254998,40435492.93254999,8,0.6100767423564009
2020-01-02,102970811.61504999,11609931.615049988,12,0.8872502660418663
2020-01-03,102629285.61504999,11609931.615049988,12,0.8868750615823495
2020-01-06,101614459.82004999,8179604.820049989,13,0.919503534885337
2020-01-07,102343447.82004999,8179604.820049989,13,0.9200769077622619
2020-01-08,100442034.82004999,8179604.820049989,13,0.9185639275956087
2020-01-09,102914083.24038999,28537466.240389988,10,0.7227059179672108
2020-01-10,103490983.24038999,28537466.240389988,10,0.7242516657310826
2020-01-13,103936761.59138998,20895496.591389988,11,0.7989595185432355
2020-01-14,103612925.94638999,6596771.946389988,13,0.9363325387625555
2020-01-15,102898534.9502025,13321027.950202487,12,0.8705421028914632
2020-01-16,103509194.9502025,13321027.950202487,12,0.8713058491411209
2020-01-17,103330574.10020249,21320360.100202486,11,0.7936684249956112
2020-01-20,102915195.44020249,30926737.440202486,10,0.6994929921872222
2020-01-21,101914598.90120248,43623590.901202485,8,0.5719593525213023
2020-01-22,103249152.90120248,43623590.901202485,8,0.577492021237741
2020-01-23,103415633.01920249,21964031.01920249,11,0.7876140156186624
2020-01-28,101792522.9613065,70800870.9613065,4,0.3044590221207169
2020-01-29,102241618.9613065,70800870.9613065,4,0.3075141837483892
2020-01-30,101861016.9613065,70800870.9613065,4,0.304926721984316
2020-01-31,101457513.9613065,70800870.9613065,4,0.30216237125317025
2020-02-03,101159814.8485565,77784652.8485565,3,0.23107161707437182
2020-02-04,101668513.8485565,77784652.8485565,3,0.2349189547078159
2020-02-05,101706906.8485565,77784652.8485565,3,0.23520776259198095
2020-02-06,101963287.5758065,28583551.575806506,10,0.7196682035722365
