date,gate,detail,equity
2020-01-21,SOFT_STOP,daily_dd=-2.21%,100641695.44020249
2020-01-28,SOFT_STOP,daily_dd=-2.76%,100563443.01920249
2020-06-19,SOFT_STOP,daily_dd=-3.07%,91237264.3437455
2020-08-14,DAILY_KILL,daily_dd=-5.75%,113744628.509835
2020-08-18,SOFT_STOP,daily_dd=-3.51%,109752714.509835
2020-08-20,SOFT_STOP,daily_dd=-2.16%,111313897.354081
2020-09-08,SOFT_STOP,daily_dd=-3.12%,122115208.30622602
2020-09-22,SOFT_STOP,daily_dd=-2.75%,114954985.19862601
2020-10-22,SOFT_STOP,daily_dd=-2.51%,116000976.43049502
2020-12-22,SOFT_STOP,daily_dd=-2.76%,124220928.38844502
2021-01-29,SOFT_STOP,daily_dd=-3.73%,145569488.68751952
2021-02-24,DAILY_KILL,daily_dd=-4.46%,149156031.41673952
2021-03-09,SOFT_STOP,daily_dd=-2.38%,152709906.0766575
2021-05-13,SOFT_STOP,daily_dd=-3.35%,176161850.36230525
2021-06-09,SOFT_STOP,daily_dd=-2.05%,167578417.06345525
2021-08-20,SOFT_STOP,daily_dd=-2.53%,185053139.79973525
2021-10-06,SOFT_STOP,daily_dd=-2.79%,185005007.12614727
2021-10-21,SOFT_STOP,daily_dd=-2.05%,188202779.75409728
2022-12-16,SOFT_STOP,daily_dd=-2.06%,209416064.78960472
2023-03-14,SOFT_STOP,daily_dd=-2.28%,197667369.26668066
2023-04-24,DAILY_KILL,daily_dd=-4.98%,192649922.90276915
2023-07-26,SOFT_STOP,daily_dd=-2.67%,212349503.60383916
2023-08-04,SOFT_STOP,daily_dd=-2.22%,204533919.48808914
2023-08-17,HARD_STOP,monthly_dd=-7.93%,197626168.17303914
2023-12-15,SOFT_STOP,daily_dd=-3.01%,190323843.19779667
2024-03-15,SOFT_STOP,daily_dd=-2.74%,185794250.0278362
2024-03-19,SOFT_STOP,daily_dd=-2.33%,182311543.6078362
2024-06-05,SOFT_STOP,daily_dd=-3.82%,179018008.03309622
2024-07-25,HARD_STOP,monthly_dd=-8.66%,166934974.2447932
2024-07-25,DAILY_KILL,daily_dd=-4.05%,166934974.2447932
2024-09-04,SOFT_STOP,daily_dd=-2.63%,161745030.17723325
2025-05-12,SOFT_STOP,daily_dd=-2.17%,163435670.9287023
2025-07-02,SOFT_STOP,daily_dd=-2.98%,220355974.6656523
2025-07-04,HARD_STOP,monthly_dd=-7.74%,206326115.6906523
2025-07-04,DAILY_KILL,daily_dd=-4.68%,206326115.6906523
2025-11-04,SOFT_STOP,daily_dd=-3.42%,217530333.12253484
2025-11-05,SOFT_STOP,daily_dd=-2.60%,213229151.15693483
2025-11-14,SOFT_STOP,daily_dd=-2.40%,208504750.35463482
2025-11-24,HARD_STOP,monthly_dd=-7.05%,202980144.49093485
2025-12-16,SOFT_STOP,daily_dd=-2.85%,198130487.84583482
2026-02-02,DAILY_KILL,daily_dd=-4.09%,221036088.8790198
2026-02-05,SOFT_STOP,daily_dd=-2.31%,228657637.60614228
2026-03-03,DAILY_KILL,daily_dd=-6.66%,251300908.0898183
2026-03-04,HARD_STOP,monthly_dd=-12.67%,235122806.39286828
2026-03-04,DAILY_KILL,daily_dd=-7.78%,235122806.39286828
