date,total_invested,pending_dipbuy,target_exposure,total_eq,over_exposure
2020-07-15,343795417,0,346672808,495246869,False
2020-07-16,337835279,0,342500711,489286731,False
2020-07-17,338499504,0,342965669,489950956,False
2020-07-20,336883053,0,341834153,488334505,False
2020-07-21,341943496,0,345376463,493394948,False
2020-07-22,343386442,0,346386526,494837894,False
2020-07-23,330903822,0,347837147,496910209,False
2020-07-24,330785308,0,347754187,496791695,False
2020-07-27,334556617,0,350394103,500563004,False
2020-07-28,335958310,0,351375288,501964697,False
2020-07-29,336021303,0,351419383,502027690,False
2020-07-30,334492734,0,350349385,500499121,False
2020-07-31,334942317,0,350664093,500948704,False
2020-08-03,342056611,0,355644099,508062998,False
2020-08-04,350095545,0,361271353,516101932,False
2020-08-05,362028311,0,369624289,528034698,False
2020-08-06,358298850,0,367013666,524305237,False
2020-08-07,357316923,0,366326317,523323310,False
2020-08-10,359960137,0,368176567,525966524,False
2020-08-11,361831227,0,369486330,527837614,False
2020-08-12,234771674,0,366996662,524280945,False
2020-08-13,362713190,0,367329474,524756391,False
2020-08-14,359009663,0,364737005,521052864,False
2020-08-18,319673898,0,358185036,511692909,False
2020-08-19,309974701,0,362300920,517572743,False
2020-08-20,214666507,0,354064635,505806621,False
2020-08-21,215311807,0,354516345,506451921,False
2020-08-24,218167132,0,356515072,509307246,False
2020-08-25,220411619,0,358086213,511551733,False
2020-08-26,219556405,0,357487563,510696519,False
2020-08-27,202348792,0,357682618,510975169,False
2020-08-28,201181288,0,356865365,509807665,False
2020-08-31,204117331,0,358920595,512743708,False
2020-09-01,204124495,0,358925610,512750872,False
2020-09-02,191970675,0,362059492,517227846,False
2020-09-03,193919313,0,363423539,519176484,False
2020-09-04,177371602,0,362511567,517873667,False
2020-09-07,177564411,0,518066476,518066476,False
2020-09-08,174661241,0,515163306,515163306,False
2020-09-09,149328145,0,357095598,510136569,False
2020-09-10,150565360,0,511373784,511373784,False
2020-09-11,150044735,0,510853159,510853159,False
2020-09-14,451691247,0,508429146,508429146,False
2020-09-15,455365333,0,512103232,512103232,False
2020-09-16,452950104,0,509688003,509688003,False
2020-09-17,448163385,0,504901284,504901284,False
2020-09-18,433736307,0,508301460,508301460,False
2020-09-21,411257233,0,503178833,503178833,False
2020-09-22,362654652,0,341907209,488438870,True
2020-09-23,362751616,0,341975084,488535834,True
2020-09-24,196433164,0,332188583,474555118,False
2020-09-25,197955632,0,333254311,476077586,False
2020-09-28,201482796,0,335723325,479604750,False
2020-09-29,203811884,0,337353687,481933838,False
2020-10-05,205282828,0,483404782,483404782,False
2020-10-06,204971368,0,483093322,483093322,False
2020-10-07,205553344,0,483675298,483675298,False
2020-10-08,203309120,0,481431074,481431074,False
2020-10-12,203566772,0,481688726,481688726,False
2020-10-13,202780512,0,480902466,480902466,False
2020-10-14,178490092,0,478593011,478593011,False
2020-10-15,177321600,0,477424519,477424519,False
2020-10-16,47642500,0,475375532,475375532,False
2020-10-19,468801637,0,470215938,470215938,False
2020-10-20,469298646,0,470712947,470712947,False
2020-10-21,475074452,0,476488753,476488753,False
2020-10-22,468486400,0,469900701,469900701,False
2020-10-23,466455272,0,467869573,467869573,False
2020-10-26,454513183,0,455927484,455927484,False
2020-10-27,452662527,0,454076828,454076828,False
2020-10-28,460943433,0,462357734,462357734,False
2020-10-29,460587717,0,462002018,462002018,False
2020-10-30,365258081,0,314981496,449973566,True
2020-11-02,367722361,0,452437846,452437846,False
2020-11-03,371896038,0,456611523,456611523,False
2020-11-04,381905225,0,466620710,466620710,False
2020-11-05,386983013,0,471698498,471698498,False
2020-11-06,385373328,0,470088813,470088813,False
2020-11-09,389903942,0,474619427,474619427,False
2020-11-10,383960034,0,468675519,468675519,False
2020-11-11,361913089,0,467727306,467727306,False
2020-11-12,362817307,0,468631524,468631524,False
2020-11-13,364231262,0,470045479,470045479,False
2020-11-16,244565512,0,474633097,474633097,False
2020-11-17,471547231,0,472426512,472426512,False
2020-11-18,478100341,0,478979622,478979622,False
2020-11-19,478474211,0,479353492,479353492,False
2020-11-20,479523440,0,480402721,480402721,False
2020-11-23,482947785,0,483827066,483827066,False
2020-11-24,479424270,0,480303551,480303551,False
2020-11-25,472232716,0,473111997,473111997,False
2020-11-26,452198337,0,476265013,476265013,False
2020-11-27,457616488,0,481683164,481683164,False
2020-11-30,452662761,0,476729437,476729437,False
2020-12-01,457997181,0,482063857,482063857,False
2020-12-02,459902534,0,483969210,483969210,False
2020-12-03,466898695,0,490965371,490965371,False
2020-12-04,469549842,0,493616518,493616518,False
2020-12-07,470799030,0,494865706,494865706,False
