date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,1.0,500000000,20,0,20,25000000,500000000,1.0,False
2020-02-12,BEAR,1.0,495867478,20,11,7,24793374,217609722,0.4388,False
2020-03-12,BEAR,1.0,455230090,20,2,18,22761505,405705374,0.8912,False
2020-04-10,BEAR,1.0,399926552,20,0,8,19996328,399926552,1.0,False
2020-05-15,BEAR,1.0,429611829,20,7,7,21480591,264943285,0.6167,False
2020-06-15,BEAR,1.0,438090246,20,12,8,21904512,153693488,0.3508,False
2020-07-14,SIDE,1.0,491408743,20,14,6,24570437,115577418,0.2352,False
2020-08-12,SIDE,1.0,509699491,20,8,12,25484975,295589635,0.5799,False
2020-09-11,BULL,1.0,487840783,20,8,12,24392039,292888234,0.6004,False
2020-10-16,BULL,1.0,450590483,20,2,18,22529524,404747483,0.8983,False
2020-11-16,BULL,1.0,449904589,20,10,10,22495229,218222824,0.485,False
2020-12-15,BULL,1.0,462485900,20,12,8,23124295,187666351,0.4058,False
2021-01-18,BULL,1.0,496725779,20,12,8,24836289,200022875,0.4027,False
2021-02-18,BULL,1.0,524065757,20,8,12,26203288,299353724,0.5712,False
2021-03-22,BULL,1.0,490716260,20,4,16,24535813,382261260,0.779,False
2021-04-20,BULL,1.0,525899278,20,5,15,26294964,389372454,0.7404,False
2021-05-21,BULL,1.0,524467711,20,7,13,26223386,333433798,0.6358,False
2021-06-21,BULL,1.0,527311702,20,7,13,26365585,320249821,0.6073,False
2021-07-20,BULL,1.0,517310880,20,9,11,25865544,288138925,0.557,False
2021-08-19,SIDE,1.0,509407815,20,4,16,25470391,421642655,0.8277,False
2021-09-17,SIDE,1.0,535709295,20,10,10,26785465,275295234,0.5139,False
2021-10-25,BEAR,1.0,531378420,20,6,14,26568921,366928260,0.6905,False
2021-11-23,BEAR,1.0,496673891,20,7,13,24833695,312982529,0.6302,False
2021-12-22,BEAR,1.0,475299412,20,8,12,23764971,282369162,0.5941,False
2022-01-24,BEAR,1.0,462266343,20,11,9,23113317,194216667,0.4201,False
2022-02-25,BEAR,1.0,457852647,20,11,9,22892632,189047847,0.4129,False
2022-03-30,BEAR,1.0,470590298,20,12,8,23529515,171550172,0.3645,False
2022-04-28,BEAR,1.0,474580306,20,15,5,23729015,115819354,0.244,False
2022-05-31,BEAR,1.0,472426425,20,9,11,23621321,238078529,0.5039,False
2022-07-01,BEAR,1.0,454463151,20,5,15,22723158,308168501,0.6781,False
2022-08-01,BEAR,1.0,455903936,20,8,2,22795197,255572136,0.5606,False
2022-08-31,BEAR,1.0,463546269,20,7,13,23177313,276435169,0.5963,False
2022-10-04,BEAR,1.0,452907943,20,6,10,22645397,279785120,0.6178,False
2022-11-03,BEAR,1.0,469378987,20,8,5,23468949,215748287,0.4596,False
2022-12-02,BEAR,1.0,516940044,20,10,10,25847002,168127694,0.3252,False
2023-01-03,BEAR,1.0,506165449,20,8,12,25308272,232646049,0.4596,False
2023-02-03,BEAR,1.0,528291298,20,11,9,26414565,184490328,0.3492,False
2023-03-07,SIDE,1.0,532780879,20,14,6,26639044,100678869,0.189,False
2023-04-05,SIDE,1.0,542986800,20,9,11,27149340,166966950,0.3075,False
2023-05-08,SIDE,1.0,481990682,20,8,12,24099534,279958082,0.5808,False
2023-06-08,SIDE,1.0,472289725,20,11,9,23614486,194828925,0.4125,False
2023-07-07,SIDE,1.0,449496893,20,8,12,22474845,259164143,0.5766,False
2023-08-07,BEAR,1.0,462147806,20,10,10,23107390,220735886,0.4776,False
2023-09-06,BEAR,1.0,460932719,20,13,7,23046636,146484729,0.3178,False
2023-10-12,BEAR,1.0,455559174,20,10,10,22777959,215977352,0.4741,False
2023-11-10,BEAR,1.0,442658408,20,11,9,22132920,191772242,0.4332,False
2023-12-11,BEAR,1.0,446150989,20,10,10,22307549,221707898,0.4969,False
2024-01-12,BEAR,1.0,437669089,20,11,9,21883454,200884239,0.459,False
2024-02-14,SIDE,1.0,476971232,20,9,11,23848562,263453602,0.5523,False
2024-03-15,SIDE,1.0,490117523,20,8,12,24505876,288632333,0.5889,False
2024-04-16,BEAR,1.0,455579325,20,1,19,22778966,426553325,0.9363,False
2024-05-20,SIDE,1.0,500485629,20,13,7,25024281,183617559,0.3669,False
2024-06-19,SIDE,1.0,496168442,20,11,9,24808422,211203742,0.4257,False
2024-07-18,SIDE,1.0,515123812,20,11,9,25756191,228323152,0.4432,False
2024-08-19,BEAR,1.0,476239025,20,4,16,23811951,382990705,0.8042,False
2024-09-20,BEAR,1.0,473601985,20,11,9,23680099,206626245,0.4363,False
2024-10-24,BEAR,1.0,470769720,20,12,8,23538486,185935605,0.395,False
2024-11-22,BEAR,1.0,463958055,20,11,9,23197903,193665505,0.4174,False
2024-12-23,BEAR,1.0,451559726,20,11,9,22577986,203186476,0.45,False
2025-01-24,BEAR,1.0,462811666,20,14,6,23140583,135377710,0.2925,False
2025-02-28,BEAR,1.0,465832362,20,11,9,23291618,204040574,0.438,False
2025-04-01,BEAR,1.0,456614110,20,9,11,22830705,245614380,0.5379,False
2025-04-30,BEAR,1.0,451652058,20,7,13,22582603,280918428,0.622,False
2025-06-04,BULL,1.0,464537560,20,9,11,23226878,249712158,0.5375,False
2025-07-04,BULL,1.0,513508783,20,8,12,25675439,304860933,0.5937,False
2025-08-04,BULL,1.0,530022638,20,4,16,26501132,426128138,0.804,False
2025-09-03,BULL,1.0,515170183,20,11,9,25758509,223229843,0.4333,False
2025-10-02,SIDE,1.0,531669211,20,16,4,26583461,106939001,0.2011,False
2025-11-07,SIDE,1.0,551470398,20,11,9,27573520,237406318,0.4305,False
2025-12-08,SIDE,1.0,572950581,20,10,10,28647529,277137261,0.4837,False
2026-01-09,SIDE,1.0,568064331,20,13,7,28403217,197671501,0.348,False
2026-02-09,BULL,1.0,655579003,20,10,10,32778950,311908103,0.4758,False
2026-03-16,SIDE,1.0,643704045,20,0,20,32185202,643704045,1.0,False
