date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-02-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-03-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-04-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-05-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-06-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-07-14,SIDE,0.7,500000000,20,0,20,17500000,500000000,1.0,False
2020-08-12,SIDE,0.7,524280945,20,13,7,18349833,289509271,0.5522,False
2020-09-11,BULL,1.0,510853159,20,8,12,25542658,360808424,0.7063,False
2020-10-16,BULL,1.0,475375532,20,2,18,23768777,427733032,0.8998,False
2020-11-16,BULL,1.0,474633097,20,10,10,23731655,230067585,0.4847,False
2020-12-15,BULL,1.0,487875611,20,12,8,24393781,198287055,0.4064,False
2021-01-18,BULL,1.0,523746053,20,12,8,26187303,210341812,0.4016,False
2021-02-18,BULL,1.0,552813977,20,8,12,27640699,315378123,0.5705,False
2021-03-22,BULL,1.0,517473139,20,4,16,25873657,403130389,0.779,False
2021-04-20,BULL,1.0,554546458,20,5,15,27727323,410707150,0.7406,False
2021-05-21,BULL,1.0,553067347,20,7,13,27653367,351715561,0.6359,False
2021-06-21,BULL,1.0,556041941,20,7,13,27802097,337791934,0.6075,False
2021-07-20,BULL,1.0,545514205,20,9,11,27275710,303744506,0.5568,False
2021-08-19,SIDE,0.7,537210444,20,4,16,18802366,444438504,0.8273,False
2021-09-17,SIDE,0.7,558935139,20,10,10,19562730,355137019,0.6354,False
2021-10-25,BEAR,0.0,557047502,20,6,0,0,436780042,0.7841,True
2021-11-23,BEAR,0.0,550692550,20,2,0,0,509263630,0.9248,True
2021-12-22,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-01-24,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-02-25,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-03-30,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-04-28,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-05-31,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-07-01,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-08-01,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-08-31,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-10-04,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-11-03,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2022-12-02,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2023-01-03,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2023-02-03,BEAR,0.0,547702430,20,0,0,0,547702430,1.0,True
2023-03-07,SIDE,0.7,547702430,20,0,20,19169585,547702430,1.0,False
2023-04-05,SIDE,0.7,548679944,20,10,10,19203798,350116644,0.6381,False
2023-05-08,SIDE,0.7,539352803,20,10,10,18877348,330998403,0.6137,False
2023-06-08,SIDE,0.7,528876849,20,11,9,18510690,313905249,0.5935,False
2023-07-07,SIDE,0.7,509876181,20,8,12,17845666,365207531,0.7163,False
2023-08-07,BEAR,0.0,519545775,20,10,0,0,323501845,0.6227,True
2023-09-06,BEAR,0.0,520990804,20,8,0,0,356357634,0.684,True
2023-10-12,BEAR,0.0,521112575,20,5,0,0,420962855,0.8078,True
2023-11-10,BEAR,0.0,520515654,20,4,0,0,440086274,0.8455,True
2023-12-11,BEAR,0.0,518629775,20,3,0,0,458478855,0.884,True
2024-01-12,BEAR,0.0,519331355,20,3,0,0,458478855,0.8828,True
2024-02-14,SIDE,0.7,520601499,20,2,18,18221052,476201419,0.9147,False
2024-03-15,SIDE,0.7,529653077,20,8,12,18537858,368947157,0.6966,False
2024-04-16,BEAR,0.0,503825511,20,1,0,0,481866711,0.9564,True
2024-05-20,SIDE,0.7,500846156,20,0,20,17529615,500846156,1.0,False
2024-06-19,SIDE,0.7,498833686,20,12,8,17459179,283763936,0.5689,False
2024-07-18,SIDE,0.7,512065394,20,11,9,17922289,304268414,0.5942,False
2024-08-19,BEAR,0.0,485803397,20,4,0,0,411592167,0.8472,True
2024-09-20,BEAR,0.0,489580557,20,4,0,0,411592167,0.8407,True
2024-10-24,BEAR,0.0,491302731,20,3,0,0,430048011,0.8753,True
2024-11-22,BEAR,0.0,490551111,20,3,0,0,430048011,0.8767,True
2024-12-23,BEAR,0.0,493554251,20,3,0,0,430048011,0.8713,True
2025-01-24,BEAR,0.0,493184101,20,3,0,0,430048011,0.872,True
2025-02-28,BEAR,0.0,495656484,20,2,0,0,448893004,0.9057,True
2025-04-01,BEAR,0.0,494379004,20,2,0,0,448893004,0.908,True
2025-04-30,BEAR,0.0,491570732,20,0,0,0,491570732,1.0,True
2025-06-04,BULL,1.0,491570732,20,0,20,24578537,491570732,1.0,False
2025-07-04,BULL,1.0,538597744,20,9,11,26929887,305188394,0.5666,False
2025-08-04,BULL,1.0,556015058,20,4,16,27800753,447098258,0.8041,False
2025-09-03,BULL,1.0,540433874,20,11,9,27021694,234262224,0.4335,False
2025-10-02,SIDE,0.7,557754453,20,16,4,19521406,112194913,0.2012,False
2025-11-07,SIDE,0.7,576744639,20,11,9,20186062,273901949,0.4749,False
2025-12-08,SIDE,0.7,593496875,20,10,10,20772391,310570595,0.5233,False
2026-01-09,SIDE,0.7,588682206,20,13,7,20603877,273667126,0.4649,False
2026-02-09,BULL,1.0,660110990,20,10,10,33005549,384969640,0.5832,False
2026-03-16,SIDE,0.7,652694178,20,0,20,22844296,652694178,1.0,False
