date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-02-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-03-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-04-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-05-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-06-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-07-14,SIDE,0.7,500000000,20,0,20,17500000,500000000,1.0,False
2020-08-12,SIDE,0.7,524280945,20,13,7,18349833,289509271,0.5522,False
2020-09-11,BULL,1.0,510853159,20,8,12,25542658,360808424,0.7063,False
2020-10-16,BULL,1.0,475375532,20,2,18,23768777,427733032,0.8998,False
2020-11-16,BULL,1.0,474633097,20,10,10,23731655,230067585,0.4847,False
2020-12-15,BULL,1.0,487875611,20,12,8,24393781,198287055,0.4064,False
2021-01-18,BULL,1.0,523746053,20,12,8,26187303,210341812,0.4016,False
2021-02-18,BULL,1.0,552813977,20,8,12,27640699,315378123,0.5705,False
2021-03-22,BULL,1.0,517473139,20,4,16,25873657,403130389,0.779,False
2021-04-20,BULL,1.0,554546458,20,5,15,27727323,410707150,0.7406,False
2021-05-21,BULL,1.0,553067347,20,7,13,27653367,351715561,0.6359,False
2021-06-21,BULL,1.0,556041941,20,7,13,27802097,337791934,0.6075,False
2021-07-20,BULL,1.0,545514205,20,9,11,27275710,303744506,0.5568,False
2021-08-19,SIDE,0.7,537210444,20,4,16,18802366,444438504,0.8273,False
2021-09-17,SIDE,0.7,558935139,20,10,10,19562730,355137019,0.6354,False
2021-10-25,BEAR,0.0,557047502,20,6,0,0,436780042,0.7841,True
2021-11-23,BEAR,0.0,550717329,20,2,0,0,509288409,0.9248,True
2021-12-22,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-01-24,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-02-25,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-03-30,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-04-28,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-05-31,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-07-01,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-08-01,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-08-31,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-10-04,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-11-03,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2022-12-02,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2023-01-03,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2023-02-03,BEAR,0.0,547727209,20,0,0,0,547727209,1.0,True
2023-03-07,SIDE,0.7,547727209,20,0,20,19170452,547727209,1.0,False
2023-04-05,SIDE,0.7,548703927,20,10,10,19204637,350140627,0.6381,False
2023-05-08,SIDE,0.7,539376786,20,10,10,18878188,331022386,0.6137,False
2023-06-08,SIDE,0.7,528900832,20,11,9,18511529,313929232,0.5936,False
2023-07-07,SIDE,0.7,509900293,20,8,12,17846510,365226593,0.7163,False
2023-08-07,BEAR,0.0,519570868,20,10,0,0,323520908,0.6227,True
2023-09-06,BEAR,0.0,521016816,20,8,0,0,356376696,0.684,True
2023-10-12,BEAR,0.0,521137988,20,5,0,0,420988268,0.8078,True
2023-11-10,BEAR,0.0,520541067,20,4,0,0,440111687,0.8455,True
2023-12-11,BEAR,0.0,518655188,20,3,0,0,458504268,0.884,True
2024-01-12,BEAR,0.0,519356768,20,3,0,0,458504268,0.8828,True
2024-02-14,SIDE,0.7,520626912,20,2,18,18221942,476226832,0.9147,False
2024-03-15,SIDE,0.7,529678490,20,8,12,18538747,368972570,0.6966,False
2024-04-16,BEAR,0.0,503850924,20,1,0,0,481892124,0.9564,True
2024-05-20,SIDE,0.7,500871569,20,0,20,17530505,500871569,1.0,False
2024-06-19,SIDE,0.7,498859104,20,12,8,17460069,283789354,0.5689,False
2024-07-18,SIDE,0.7,512090812,20,11,9,17923178,304293832,0.5942,False
2024-08-19,BEAR,0.0,485814585,20,4,0,0,412131175,0.8483,True
2024-09-20,BEAR,0.0,489578445,20,4,0,0,412131175,0.8418,True
2024-10-24,BEAR,0.0,491294259,20,3,0,0,430039539,0.8753,True
2024-11-22,BEAR,0.0,490542639,20,3,0,0,430039539,0.8767,True
2024-12-23,BEAR,0.0,493545779,20,3,0,0,430039539,0.8713,True
2025-01-24,BEAR,0.0,493175629,20,3,0,0,430039539,0.872,True
2025-02-28,BEAR,0.0,495648012,20,2,0,0,448884532,0.9057,True
2025-04-01,BEAR,0.0,494370532,20,2,0,0,448884532,0.908,True
2025-04-30,BEAR,0.0,491562260,20,0,0,0,491562260,1.0,True
2025-06-04,BULL,1.0,491562260,20,0,20,24578113,491562260,1.0,False
2025-07-04,BULL,1.0,538584355,20,9,11,26929218,305251605,0.5668,False
2025-08-04,BULL,1.0,556005484,20,4,16,27800274,447088684,0.8041,False
2025-09-03,BULL,1.0,540423786,20,11,9,27021189,234266776,0.4335,False
2025-10-02,SIDE,0.7,557744315,20,16,4,19521051,112199465,0.2012,False
2025-11-07,SIDE,0.7,576734501,20,11,9,20185708,273906501,0.4749,False
2025-12-08,SIDE,0.7,593485827,20,10,10,20772004,310575147,0.5233,False
2026-01-09,SIDE,0.7,588671458,20,13,7,20603501,273671678,0.4649,False
2026-02-09,BULL,1.0,660091214,20,10,10,33004561,384949864,0.5832,False
2026-03-16,SIDE,0.7,652674402,20,0,20,22843604,652674402,1.0,False
