config,period,cagr,mdd,sharpe,calmar,sortino,win_rate,n_trades,avg_hold,profit_factor,total_return,kospi_return
Baseline,IS,-0.020979238016578305,-0.23892535810974577,-0.07483933162186163,0.08780666138812229,-0.07540892192932737,0.3967611336032389,494,31.236842105263158,0.9808356503351117,-0.09838906202169961,0.32103484044620645
Baseline,OOS,0.23636860144461957,-0.18157080671374326,1.184367728332071,1.3017984868970052,1.771517007088872,0.5050847457627119,295,31.477966101694914,1.929888986591284,0.5729995443202993,1.0563522795669384
Baseline,FULL,0.04369693127777641,-0.24438263128020313,0.3480520714547369,0.1788053882915868,0.4008826362135369,0.4479166666666667,768,31.799479166666668,1.2392047300861408,0.3501728962102002,1.731378109452736
Regime Only,IS,0.004286771923390997,-0.16524784896067166,0.09270286276520659,0.02594146883213731,0.07575515782716365,0.444,250,30.692,1.1272608903793555,0.02111563034779973,0.32103484044620645
Regime Only,OOS,0.16307294257544025,-0.1393873729925118,1.0114456581983153,1.1699262212524866,1.2644071515781095,0.5060240963855421,166,34.6566265060241,2.184351145852027,0.38059290365319987,1.0563522795669384
Regime Only,FULL,0.04546570311078968,-0.2129416180741262,0.4376694371791248,0.21351252762136336,0.4279640604656329,0.49191685912240185,433,30.364896073903,1.4377163070182453,0.36631759831950017,1.731378109452736
Exposure Only,IS,0.0031402846850938637,-0.1433270269853215,0.08028995912655035,0.021909926907333874,0.08359459148323765,0.39959839357429716,498,31.188755020080322,0.9789217409037061,0.015433896835599592,0.32103484044620645
Exposure Only,OOS,0.14074656938610208,-0.1355075327562345,1.0037907595986983,1.0386623276455937,1.394346931477616,0.5050847457627119,295,31.477966101694914,1.929888986591284,0.3246292539864004,1.0563522795669384
Exposure Only,FULL,0.04441970013803864,-0.1433270269853215,0.45443441775558685,0.30991852040988604,0.5328394289193151,0.4494818652849741,772,31.765544041450777,1.2369201821441376,0.35675018712269924,1.731378109452736
Regime + Exposure,IS,0.010203292718322654,-0.14783333886010688,0.16486532868289294,0.06901888841175347,0.13468970171236322,0.444,250,30.692,1.1272608903793557,0.05083986303320076,0.32103484044620645
Regime + Exposure,OOS,0.11854477454797552,-0.12069644574577891,0.8970208469422972,0.9821728702572119,1.102996504628237,0.5060240963855421,166,34.6566265060241,2.1843511458520273,0.2701970231041009,1.0563522795669384
Regime + Exposure,FULL,0.04527555234444702,-0.15845090841487927,0.4842877400934547,0.2857386732419354,0.4753670405411641,0.49191685912240185,433,30.364896073903,1.437716307018245,0.3645740680263003,1.731378109452736
Regime Sym,IS,-0.039203270781641764,-0.2389303748394109,-0.3124863907369906,0.1640782207284902,-0.2966225420416009,0.38968481375358166,349,30.031518624641834,0.8491675854498967,-0.17746131236859963,0.32103484044620645
Regime Sym,OOS,0.17972624608150367,-0.18138548508006452,1.0195428494358092,0.9908524157937529,1.3950823187617734,0.5,226,31.72566371681416,1.9470613177028484,0.42313878189610055,1.0563522795669384
Regime Sym,FULL,0.029737034911001325,-0.26011847857443826,0.28715049035439805,0.11432111656954606,0.3211721260037965,0.45293072824156305,563,31.147424511545292,1.2237583304967885,0.2283915909960006,1.731378109452736
Regime Sym + Exposure,IS,-0.020508902860657652,-0.18682281086097993,-0.18131823387908821,0.10977729521433492,-0.17465435509086508,0.38968481375358166,349,30.031518624641834,0.8491675854498967,-0.09627120079679985,0.32103484044620645
Regime Sym + Exposure,OOS,0.13028277379482267,-0.1483644757799183,0.9185897287022305,0.8781264727284329,1.2371261774869693,0.5,226,31.72566371681416,1.9470613177028493,0.29882385322030003,1.0563522795669384
Regime Sym + Exposure,FULL,0.032278514413359494,-0.19437938134592084,0.3419060957238235,0.16605935356855625,0.38336624169862216,0.45293072824156305,563,31.147424511545292,1.2237583304967885,0.24983293483840074,1.731378109452736
