date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,1.0,500000000,20,0,20,25000000,500000000,1.0,False
2020-02-12,BEAR,1.0,495867478,20,11,7,24793374,217609722,0.4388,False
2020-03-12,BEAR,1.0,455230090,20,2,18,22761505,405705374,0.8912,False
2020-04-10,BEAR,1.0,400083818,20,0,8,20004191,400083818,1.0,False
2020-05-15,BEAR,1.0,429793884,20,7,7,21489694,265004840,0.6166,False
2020-06-15,BEAR,1.0,438272227,20,12,8,21913611,153754469,0.3508,False
2020-07-14,SIDE,1.0,491440633,20,14,6,24572032,116108774,0.2363,False
2020-08-12,SIDE,1.0,517668881,20,8,12,25883444,334928473,0.647,False
2020-09-11,BULL,1.0,497403238,20,8,12,24870162,312299498,0.6279,False
2020-10-16,BULL,1.0,460963211,20,2,18,23048161,413910711,0.8979,False
2020-11-16,BULL,1.0,460263084,20,10,10,23013154,223223546,0.485,False
2020-12-15,BULL,1.0,473329209,20,12,8,23666460,185465742,0.3918,False
2021-01-18,BULL,1.0,511670820,20,12,8,25583541,207896889,0.4063,False
2021-02-18,BULL,1.0,539825517,20,8,12,26991276,309398081,0.5731,False
2021-03-22,BULL,1.0,507027468,20,4,16,25351373,396454118,0.7819,False
2021-04-20,BULL,1.0,543492331,20,5,15,27174617,403423635,0.7423,False
2021-05-21,BULL,1.0,541326893,20,7,13,27066345,338350446,0.625,False
2021-06-21,BULL,1.0,542177938,20,7,13,27108897,328466919,0.6058,False
2021-07-20,BULL,1.0,531867978,20,9,11,26593399,296280353,0.5571,False
2021-08-19,SIDE,1.0,523741917,20,4,16,26187096,434094807,0.8288,False
2021-09-17,SIDE,1.0,550319776,20,10,10,27515989,283689024,0.5155,False
2021-10-25,BEAR,1.0,546051853,20,6,14,27302593,377146763,0.6907,False
2021-11-23,BEAR,1.0,510052307,20,7,13,25502615,326398336,0.6399,False
2021-12-22,BEAR,1.0,488508026,20,8,12,24425401,285642296,0.5847,False
2022-01-24,BEAR,1.0,477466638,20,11,9,23873332,198792304,0.4163,False
2022-02-25,BEAR,1.0,472902470,20,11,9,23645124,193236780,0.4086,False
2022-03-30,BEAR,1.0,485158790,20,12,8,24257939,196229166,0.4045,False
2022-04-28,BEAR,1.0,488888927,20,15,5,24444446,102244754,0.2091,False
2022-05-31,BEAR,1.0,484669262,20,9,11,24233463,243327373,0.502,False
2022-07-01,BEAR,1.0,465771290,20,5,15,23288565,315366040,0.6771,False
2022-08-01,BEAR,1.0,468245647,20,8,2,23412282,240535947,0.5137,False
2022-08-31,BEAR,1.0,476934016,20,7,13,23846701,261855966,0.549,False
2022-10-04,BEAR,1.0,464505835,20,6,10,23225292,265391809,0.5713,False
2022-11-03,BEAR,1.0,479503354,20,8,5,23975168,218937954,0.4566,False
2022-12-02,BEAR,1.0,528387986,20,10,10,26419399,170445836,0.3226,False
2023-01-03,BEAR,1.0,514047643,20,8,12,25702382,236161993,0.4594,False
2023-02-03,BEAR,1.0,536411732,20,12,8,26820587,131234922,0.2447,False
2023-03-07,SIDE,1.0,537397956,20,14,6,26869898,103747376,0.1931,False
2023-04-05,SIDE,1.0,545720023,20,9,11,27286001,220832323,0.4047,False
2023-05-08,SIDE,1.0,484565136,20,9,11,24228257,277282836,0.5722,False
2023-06-08,SIDE,1.0,475311563,20,11,9,23765578,188868983,0.3974,False
2023-07-07,SIDE,1.0,449586770,20,8,12,22479338,285132970,0.6342,False
2023-08-07,BEAR,1.0,457695210,20,10,10,22884761,233679550,0.5106,False
2023-09-06,BEAR,1.0,452809982,20,13,7,22640499,160880522,0.3553,False
2023-10-12,BEAR,1.0,450544434,20,10,10,22527222,202702634,0.4499,False
2023-11-10,BEAR,1.0,434639397,20,11,9,21731970,176405681,0.4059,False
2023-12-11,BEAR,1.0,438286426,20,10,10,21914321,198848925,0.4537,False
2024-01-12,BEAR,1.0,430954069,20,11,9,21547703,176634229,0.4099,False
2024-02-14,SIDE,1.0,466767387,20,9,11,23338369,235173997,0.5038,False
2024-03-15,SIDE,1.0,480875079,20,8,12,24043754,292560339,0.6084,False
2024-04-16,BEAR,1.0,449309087,20,1,19,22465454,420850987,0.9367,False
2024-05-20,SIDE,1.0,493698194,20,13,7,24684910,174328374,0.3531,False
2024-06-19,SIDE,1.0,489131605,20,11,9,24456580,208122875,0.4255,False
2024-07-18,SIDE,1.0,508204066,20,11,9,25410203,212508406,0.4182,False
2024-08-19,BEAR,1.0,473299389,20,4,16,23664969,366659189,0.7747,False
2024-09-20,BEAR,1.0,472790205,20,11,9,23639510,192926915,0.4081,False
2024-10-24,BEAR,1.0,473374881,20,12,8,23668744,166548456,0.3518,False
2024-11-22,BEAR,1.0,468138743,20,11,9,23406937,182352773,0.3895,False
2024-12-23,BEAR,1.0,455862837,20,11,9,22793142,199684257,0.438,False
2025-01-24,BEAR,1.0,466901067,20,14,6,23345053,111779001,0.2394,False
2025-02-28,BEAR,1.0,469213427,20,11,9,23460671,198495101,0.423,False
2025-04-01,BEAR,1.0,460567041,20,9,11,23028352,239656361,0.5204,False
2025-04-30,BEAR,1.0,454171285,20,7,13,22708564,282225465,0.6214,False
2025-06-04,BULL,1.0,466822531,20,9,11,23341127,238779149,0.5115,False
2025-07-04,BULL,1.0,510678676,20,8,12,25533934,294130676,0.576,False
2025-08-04,BULL,1.0,525117208,20,4,16,26255860,421766208,0.8032,False
2025-09-03,BULL,1.0,510401942,20,11,9,25520097,220931962,0.4329,False
2025-10-02,SIDE,1.0,527776556,20,16,4,26388828,106002006,0.2008,False
2025-11-07,SIDE,1.0,547092838,20,11,9,27354642,235517518,0.4305,False
2025-12-08,SIDE,1.0,567122569,20,10,10,28356128,273766059,0.4827,False
2026-01-09,SIDE,1.0,562208005,20,13,7,28110400,195929445,0.3485,False
2026-02-09,BULL,1.0,648999175,20,10,10,32449959,306173975,0.4718,False
2026-03-16,SIDE,1.0,639283257,20,0,20,31964163,639283257,1.0,False
