date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,0.4,500000000,20,0,20,10000000,500000000,1.0,False
2020-02-12,BEAR,0.4,498348661,20,11,7,9966973,387391319,0.7773,False
2020-03-12,BEAR,0.4,482033881,20,2,18,9640678,462484697,0.9594,False
2020-04-10,BEAR,0.4,458462776,20,0,8,9169256,458462776,1.0,False
2020-05-15,BEAR,0.4,472057023,20,7,7,9441140,396538109,0.84,False
2020-06-15,BEAR,0.4,476035973,20,12,8,9520719,348094950,0.7312,False
2020-07-14,SIDE,0.7,500235577,20,14,6,17508245,332519861,0.6647,False
2020-08-12,SIDE,0.7,516221566,20,8,12,18067755,408459866,0.7912,False
2020-09-11,BULL,1.0,504099058,20,8,12,25204953,372459390,0.7389,False
2020-10-16,BULL,1.0,469563997,20,2,18,23478200,422216497,0.8992,False
2020-11-16,BULL,1.0,468893434,20,10,10,23444672,227197008,0.4845,False
2020-12-15,BULL,1.0,482260272,20,12,8,24113014,188740981,0.3914,False
2021-01-18,BULL,1.0,521309317,20,12,8,26065466,211537379,0.4058,False
2021-02-18,BULL,1.0,549918462,20,8,12,27495923,315207274,0.5732,False
2021-03-22,BULL,1.0,516523375,20,4,16,25826169,403914975,0.782,False
2021-04-20,BULL,1.0,553646064,20,5,15,27682303,411014756,0.7424,False
2021-05-21,BULL,1.0,551432975,20,7,13,27571649,344667500,0.625,False
2021-06-21,BULL,1.0,552268107,20,7,13,27613405,334298372,0.6053,False
2021-07-20,BULL,1.0,541735137,20,9,11,27086757,301799568,0.5571,False
2021-08-19,SIDE,0.7,533415600,20,4,16,18669546,442493230,0.8295,False
2021-09-17,SIDE,0.7,554275327,20,10,10,19399636,353548732,0.6379,False
2021-10-25,BEAR,0.4,552698823,20,6,14,11053976,433345083,0.7841,False
2021-11-23,BEAR,0.4,535311537,20,7,13,10706231,441257082,0.8243,False
2021-12-22,BEAR,0.4,524906757,20,8,12,10498135,438177927,0.8348,False
2022-01-24,BEAR,0.4,519573353,20,11,9,10391467,401598897,0.7729,False
2022-02-25,BEAR,0.4,517245639,20,11,9,10344913,398385912,0.7702,False
2022-03-30,BEAR,0.4,522222396,20,12,8,10444448,390339240,0.7475,False
2022-04-28,BEAR,0.4,523947860,20,15,5,10478957,358490158,0.6842,False
2022-05-31,BEAR,0.4,522355856,20,9,11,10447117,419200448,0.8025,False
2022-07-01,BEAR,0.4,512777170,20,5,15,10255543,449150420,0.8759,False
2022-08-01,BEAR,0.4,513008851,20,8,2,10260177,415555251,0.81,False
2022-08-31,BEAR,0.4,516710373,20,7,13,10334207,424865923,0.8223,False
2022-10-04,BEAR,0.4,509958520,20,6,10,10199170,425422207,0.8342,False
2022-11-03,BEAR,0.4,516354823,20,8,5,10327096,405085923,0.7845,False
2022-12-02,BEAR,0.4,537294430,20,10,10,10745889,384443930,0.7155,False
2023-01-03,BEAR,0.4,530634648,20,8,12,10612693,401875998,0.7573,False
2023-02-03,BEAR,0.4,541705544,20,12,8,10834111,360196194,0.6649,False
2023-03-07,SIDE,0.7,543800041,20,14,6,19033001,338107841,0.6218,False
2023-04-05,SIDE,0.7,544783959,20,9,11,19067439,375944809,0.6901,False
2023-05-08,SIDE,0.7,523713724,20,10,10,18329980,352059824,0.6722,False
2023-06-08,SIDE,0.7,514801586,20,11,9,18018056,312982186,0.608,False
2023-07-07,SIDE,0.7,497433094,20,8,12,17410158,355813944,0.7153,False
