date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-02-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-03-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-04-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-05-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-06-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-07-14,SIDE,0.7,500000000,20,0,20,17500000,500000000,1.0,False
2020-08-12,SIDE,0.7,524280945,20,13,7,18349833,289509271,0.5522,False
2020-09-11,BULL,1.0,510853159,20,8,12,25542658,360808424,0.7063,False
2020-10-16,BULL,1.0,475375532,20,2,18,23768777,427733032,0.8998,False
2020-11-16,BULL,1.0,474633097,20,10,10,23731655,230067585,0.4847,False
2020-12-15,BULL,1.0,488102768,20,12,8,24405138,191277312,0.3919,False
2021-01-18,BULL,1.0,527577901,20,12,8,26378895,214161274,0.4059,False
2021-02-18,BULL,1.0,556704480,20,8,12,27835224,319049116,0.5731,False
2021-03-22,BULL,1.0,522947911,20,4,16,26147396,408239161,0.7806,False
2021-04-20,BULL,1.0,560433625,20,5,15,28021681,415421409,0.7412,False
2021-05-21,BULL,1.0,558044605,20,7,13,27902230,348643744,0.6248,False
2021-06-21,BULL,1.0,558929198,20,7,13,27946460,338659976,0.6059,False
2021-07-20,BULL,1.0,548305834,20,9,11,27415292,305444498,0.5571,False
2021-08-19,SIDE,0.7,539932968,20,4,16,18897654,447415088,0.8286,False
2021-09-17,SIDE,0.7,561337092,20,10,10,19646798,357528799,0.6369,False
2021-10-25,BEAR,0.0,559642447,20,6,0,0,438754107,0.784,True
2021-11-23,BEAR,0.0,553280802,20,2,0,0,511617922,0.9247,True
2021-12-22,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-01-24,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-02-25,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-03-30,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-04-28,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-05-31,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-07-01,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-08-01,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-08-31,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-10-04,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-11-03,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2022-12-02,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2023-01-03,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2023-02-03,BEAR,0.0,550273471,20,0,0,0,550273471,1.0,True
2023-03-07,SIDE,0.7,550273471,20,0,20,19259571,550273471,1.0,False
2023-04-05,SIDE,0.7,551266865,20,10,10,19294340,351628465,0.6379,False
2023-05-08,SIDE,0.7,541970310,20,10,10,18968961,332433110,0.6134,False
2023-06-08,SIDE,0.7,531492014,20,11,9,18602220,315174814,0.593,False
2023-07-07,SIDE,0.7,512379665,20,8,12,17933288,367301765,0.7169,False
2023-08-07,BEAR,0.0,522107619,20,10,0,0,325412619,0.6233,True
2023-09-06,BEAR,0.0,523564800,20,8,0,0,358325140,0.6844,True
2023-10-12,BEAR,0.0,523682038,20,5,0,0,423272828,0.8083,True
2023-11-10,BEAR,0.0,523083180,20,4,0,0,442466040,0.8459,True
2023-12-11,BEAR,0.0,521197382,20,3,0,0,460858622,0.8842,True
2024-01-12,BEAR,0.0,521901922,20,3,0,0,460858622,0.883,True
2024-02-14,SIDE,0.7,523185175,20,2,18,18311481,478581185,0.9147,False
2024-03-15,SIDE,0.7,532280116,20,8,12,18629804,370646756,0.6963,False
2024-04-16,BEAR,0.0,506295873,20,1,0,0,484273973,0.9565,True
2024-05-20,SIDE,0.7,503307956,20,0,20,17615778,503307956,1.0,False
2024-06-19,SIDE,0.7,501296996,20,12,8,17545395,285305516,0.5691,False
2024-07-18,SIDE,0.7,514582252,20,11,9,18010379,305880902,0.5944,False
2024-08-19,BEAR,0.0,488215959,20,4,0,0,414185889,0.8484,True
2024-09-20,BEAR,0.0,491997799,20,4,0,0,414185889,0.8418,True
2024-10-24,BEAR,0.0,493721877,20,3,0,0,432180697,0.8754,True
2024-11-22,BEAR,0.0,492966597,20,3,0,0,432180697,0.8767,True
2024-12-23,BEAR,0.0,495984457,20,3,0,0,432180697,0.8714,True
2025-01-24,BEAR,0.0,495611607,20,3,0,0,432180697,0.872,True
2025-02-28,BEAR,0.0,498094728,20,2,0,0,451121108,0.9057,True
2025-04-01,BEAR,0.0,496811708,20,2,0,0,451121108,0.908,True
2025-04-30,BEAR,0.0,493990668,20,0,0,0,493990668,1.0,True
2025-06-04,BULL,1.0,493990668,20,0,20,24699533,493990668,1.0,False
2025-07-04,BULL,1.0,541175645,20,9,11,27058782,306429145,0.5662,False
2025-08-04,BULL,1.0,558668538,20,4,16,27933427,449229238,0.8041,False
2025-09-03,BULL,1.0,542992457,20,11,9,27149623,235315277,0.4334,False
2025-10-02,SIDE,0.7,561455232,20,16,4,19650933,112749252,0.2008,False
2025-11-07,SIDE,0.7,580184854,20,11,9,20306470,275885704,0.4755,False
2025-12-08,SIDE,0.7,597044778,20,10,10,20896567,312685998,0.5237,False
2026-01-09,SIDE,0.7,592195403,20,13,7,20726839,275580823,0.4654,False
2026-02-09,BULL,1.0,664008713,20,10,10,33200436,387284363,0.5833,False
2026-03-16,SIDE,0.7,656544444,20,0,20,22979056,656544444,1.0,False
