date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-02-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-03-12,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-04-10,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-05-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-06-15,BEAR,0.0,500000000,20,0,0,0,500000000,1.0,True
2020-07-14,SIDE,1.0,500000000,20,0,20,25000000,500000000,1.0,False
2020-08-12,SIDE,1.0,534667727,20,13,7,26733386,199393983,0.3729,False
2020-09-11,BULL,1.0,515426491,20,8,12,25771325,299452960,0.581,False
2020-10-16,BULL,1.0,476373274,20,2,18,23818664,436105774,0.9155,False
2020-11-16,BULL,1.0,475298999,20,10,10,23764950,238049088,0.5008,False
2020-12-15,BULL,1.0,487902488,20,12,8,24395124,199036026,0.4079,False
2021-01-18,BULL,1.0,526526739,20,12,8,26326337,221902969,0.4214,False
2021-02-18,BULL,1.0,555174523,20,8,12,27758726,326902110,0.5888,False
2021-03-22,BULL,1.0,521104780,20,4,16,26055239,405942630,0.779,False
2021-04-20,BULL,1.0,558412279,20,5,15,27920614,413290915,0.7401,False
2021-05-21,BULL,1.0,555908511,20,7,13,27795426,347385432,0.6249,False
2021-06-21,BULL,1.0,556784078,20,7,13,27839204,337293345,0.6058,False
2021-07-20,BULL,1.0,546173116,20,9,11,27308656,304331689,0.5572,False
2021-08-19,SIDE,1.0,537797886,20,4,16,26889894,445843716,0.829,False
2021-09-17,SIDE,1.0,565021162,20,10,10,28251058,291354435,0.5157,False
2021-10-25,BEAR,0.0,560673343,20,6,0,0,387149083,0.6905,True
2021-11-23,BEAR,0.0,551550870,20,2,0,0,491901350,0.8919,True
2021-12-22,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-01-24,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-02-25,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-03-30,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-04-28,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-05-31,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-07-01,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-08-01,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-08-31,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-10-04,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-11-03,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2022-12-02,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2023-01-03,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2023-02-03,BEAR,0.0,547236807,20,0,0,0,547236807,1.0,True
2023-03-07,SIDE,1.0,547236807,20,0,20,27361840,547236807,1.0,False
2023-04-05,SIDE,1.0,548658668,20,10,10,27432933,264589618,0.4822,False
2023-05-08,SIDE,1.0,534661377,20,10,10,26733069,236717977,0.4427,False
2023-06-08,SIDE,1.0,519907969,20,11,9,25995398,243572509,0.4685,False
2023-07-07,SIDE,1.0,491813844,20,8,12,24590692,287573144,0.5847,False
2023-08-07,BEAR,0.0,506181089,20,10,0,0,233186929,0.4607,True
2023-09-06,BEAR,0.0,508147891,20,8,0,0,278462371,0.548,True
2023-10-12,BEAR,0.0,508237224,20,5,0,0,368908904,0.7259,True
2023-11-10,BEAR,0.0,507324743,20,4,0,0,396198163,0.781,True
2023-12-11,BEAR,0.0,504744215,20,3,0,0,421434495,0.8349,True
2024-01-12,BEAR,0.0,505713595,20,3,0,0,421434495,0.8333,True
2024-02-14,SIDE,1.0,507434364,20,2,18,25371718,446246084,0.8794,False
2024-03-15,SIDE,1.0,520282584,20,8,12,26014129,307123164,0.5903,False
2024-04-16,BEAR,0.0,485548819,20,1,0,0,454756019,0.9366,True
2024-05-20,SIDE,1.0,481370872,20,0,20,24068544,481370872,1.0,False
2024-06-19,SIDE,1.0,478513426,20,12,8,23925671,184125246,0.3848,False
2024-07-18,SIDE,1.0,496548778,20,11,9,24827439,211432058,0.4258,False
2024-08-19,BEAR,0.0,461929596,20,4,0,0,360525886,0.7805,True
2024-09-20,BEAR,0.0,467119866,20,4,0,0,360525886,0.7718,True
2024-10-24,BEAR,0.0,469476711,20,3,0,0,385119271,0.8203,True
2024-11-22,BEAR,0.0,468437471,20,3,0,0,385119271,0.8221,True
2024-12-23,BEAR,0.0,472597551,20,3,0,0,385119271,0.8149,True
2025-01-24,BEAR,0.0,472057251,20,3,0,0,385119271,0.8158,True
2025-02-28,BEAR,0.0,475435677,20,2,0,0,411263717,0.865,True
2025-04-01,BEAR,0.0,473681117,20,2,0,0,411263717,0.8682,True
2025-04-30,BEAR,0.0,469828539,20,0,0,0,469828539,1.0,True
2025-06-04,BULL,1.0,469828539,20,0,20,23491427,469828539,1.0,False
2025-07-04,BULL,1.0,514804831,20,9,11,25740242,291417031,0.5661,False
2025-08-04,BULL,1.0,531440085,20,4,16,26572004,427352235,0.8041,False
2025-09-03,BULL,1.0,516533363,20,11,9,25826668,223851893,0.4334,False
2025-10-02,SIDE,1.0,534091833,20,16,4,26704592,107271493,0.2008,False
2025-11-07,SIDE,1.0,553659361,20,11,9,27682968,238552091,0.4309,False
2025-12-08,SIDE,1.0,573914662,20,10,10,28695733,277213422,0.483,False
2026-01-09,SIDE,1.0,568931913,20,13,7,28446596,198263633,0.3485,False
2026-02-09,BULL,1.0,656744242,20,10,10,32837212,310012792,0.472,False
2026-03-16,SIDE,1.0,646932579,20,0,20,32346629,646932579,1.0,False
