date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,SIDE,1.0,500000000,20,0,20,25000000,500000000,1.0,False
2020-02-12,SIDE,1.0,495867478,20,11,7,24793374,217609722,0.4388,False
2020-03-12,BEAR,0.0,455230090,20,2,0,0,405705374,0.8912,True
2020-04-10,BEAR,0.0,450992911,20,0,0,0,450992911,1.0,True
2020-05-15,BEAR,0.0,450992911,20,0,0,0,450992911,1.0,True
2020-06-15,BEAR,0.0,450992911,20,0,0,0,450992911,1.0,True
2020-07-14,SIDE,1.0,450992911,20,0,20,22549646,450992911,1.0,False
2020-08-12,SIDE,1.0,482324085,20,13,7,24116204,179857216,0.3729,False
2020-09-11,BULL,1.0,464970661,20,8,12,23248533,270080631,0.5809,False
2020-10-16,BULL,1.0,429760956,20,2,18,21488048,394301956,0.9175,False
2020-11-16,BULL,1.0,428774616,20,10,10,21438731,215422310,0.5024,False
2020-12-15,BULL,1.0,440049567,20,12,8,22002478,180219778,0.4095,False
2021-01-18,BULL,1.0,474794570,20,12,8,23739729,201000104,0.4233,False
2021-02-18,BULL,1.0,500563336,20,8,12,25028167,295527736,0.5904,False
2021-03-22,BULL,1.0,469819260,20,4,16,23490963,366086910,0.7792,False
2021-04-20,BULL,1.0,503482761,20,5,15,25174138,372789013,0.7404,False
2021-05-21,BULL,1.0,501226106,20,7,13,25061305,313226411,0.6249,False
2021-06-21,BULL,1.0,501943299,20,7,13,25097165,303878839,0.6054,False
2021-07-20,BULL,1.0,492384517,20,9,11,24619226,274250909,0.557,False
2021-08-19,SIDE,1.0,484808941,20,4,16,24240447,401963761,0.8291,False
2021-09-17,SIDE,1.0,509365231,20,10,10,25468262,263003510,0.5163,False
2021-10-25,SIDE,1.0,505492322,20,6,14,25274616,349081172,0.6906,False
2021-11-23,BEAR,0.0,472170087,20,7,0,0,301920667,0.6394,True
2021-12-22,BEAR,0.0,461940185,20,1,0,0,434732735,0.9411,True
2022-01-24,BEAR,0.0,462996785,20,1,0,0,434732735,0.939,True
