date,regime,exposure_ratio,total_eq,n_target,n_held,n_new_buys,intended_per_pos,cash_before,cash_ratio,skip_buys
2020-01-10,SIDE,0.7,500000000,20,0,20,17500000,500000000,1.0,False
2020-02-12,SIDE,0.7,497037414,20,11,7,17396310,302784327,0.6092,False
2020-03-12,BEAR,0.0,468563418,20,2,0,0,434341590,0.927,True
2020-04-10,BEAR,0.0,465630504,20,0,0,0,465630504,1.0,True
2020-05-15,BEAR,0.0,465630504,20,0,0,0,465630504,1.0,True
2020-06-15,BEAR,0.0,465630504,20,0,0,0,465630504,1.0,True
2020-07-14,SIDE,0.7,465630504,20,0,20,16297068,465630504,1.0,False
2020-08-12,SIDE,0.7,488209953,20,13,7,17087348,269491695,0.552,False
2020-09-11,BULL,1.0,475681537,20,8,12,23784077,335859937,0.7061,False
2020-10-16,BULL,1.0,442559547,20,2,18,22127977,398073547,0.8995,False
2020-11-16,BULL,1.0,441825554,20,10,10,22091278,214441437,0.4854,False
2020-12-15,BULL,1.0,454345989,20,12,8,22717299,178173629,0.3922,False
2021-01-18,BULL,1.0,491128900,20,12,8,24556445,199717636,0.4067,False
2021-02-18,BULL,1.0,518295228,20,8,12,25914761,297280857,0.5736,False
2021-03-22,BULL,1.0,486874859,20,4,16,24343743,379694459,0.7799,False
2021-04-20,BULL,1.0,521799958,20,5,15,26089998,386462838,0.7406,False
2021-05-21,BULL,1.0,519502736,20,7,13,25975137,324580096,0.6248,False
2021-06-21,BULL,1.0,520308132,20,7,13,26015407,315086257,0.6056,False
2021-07-20,BULL,1.0,510410998,20,9,11,25520550,284321291,0.557,False
2021-08-19,SIDE,0.7,502630851,20,4,16,17592080,416696241,0.829,False
2021-09-17,SIDE,0.7,522375729,20,10,10,18283150,332797591,0.6371,False
2021-10-25,SIDE,0.7,520824301,20,6,14,18228851,408359371,0.7841,False
2021-11-23,BEAR,0.0,496515059,20,7,0,0,371101187,0.7474,True
2021-12-22,BEAR,0.0,488975296,20,1,0,0,469369246,0.9599,True
2022-01-24,BEAR,0.0,489736696,20,1,0,0,469369246,0.9584,True
