config,period,cagr,mdd,sharpe,calmar,sortino,win_rate,n_trades,avg_hold,profit_factor,total_return,kospi_return,n_events
Baseline,IS,-0.008493518855129722,-0.23901816292609515,0.012649196576366529,0.035535035292510106,0.012842494281289623,0.397979797979798,495,31.234343434343433,0.9868104712412191,-0.04081121595449999,0.32103484044620645,0
Baseline,OOS,0.23241556839643307,-0.18603463698700906,1.158378179149387,1.2493134190525113,1.72591196257557,0.5050847457627119,295,31.477966101694914,1.929888986591284,0.5622817788137997,1.0563522795669384,0
Baseline,FULL,0.054225149707910925,-0.23901816292609515,0.41084470683675844,0.22686623076706283,0.4764936359464452,0.4486345903771131,769,31.797139141742523,1.2439395164266696,0.44873394224060026,1.731378109452736,0
R+E (Yesterday),IS,0.015483331141808554,-0.14783333886010674,0.22737056768309058,0.10473504326693373,0.18707720639091446,0.444,250,30.692,1.1272608903793557,0.07794373674620059,0.32103484044620645,0
R+E (Yesterday),OOS,0.1185447745479753,-0.12069644574577894,0.8970208469422982,0.9821728702572098,1.1029965046282384,0.5060240963855421,166,34.6566265060241,2.1843511458520273,0.27019702310410043,1.0563522795669384,0
R+E (Yesterday),FULL,0.04884550026249457,-0.15600202870265595,0.5165095885005363,0.3131081093541123,0.5080626710344351,0.49191685912240185,433,30.364896073903,1.4377163070182444,0.39762795348440116,1.731378109452736,0
A: Emergency Rebal,IS,0.013653152658113399,-0.14783333886010674,0.20827777635039105,0.09235503143870169,0.16730132037776002,0.4076923076923077,260,26.915384615384614,1.113048145451691,0.0684867271648999,0.32103484044620645,4
A: Emergency Rebal,OOS,0.11951762856311343,-0.12069932348847456,0.9366591302452449,0.9902095977739762,1.1516462851157159,0.4689265536723164,177,30.23728813559322,2.291927846456972,0.2725567482944009,1.0563522795669384,4
A: Emergency Rebal,FULL,0.049581616674576834,-0.14783333886010674,0.53686882913964,0.3353886008182189,0.5157636607582232,0.45594713656387664,454,26.162995594713657,1.482790607880694,0.4045283078260007,1.731378109452736,8
B: Daily Exposure,IS,0.015026405329695125,-0.14783333886010674,0.223631318222197,0.10164422616412977,0.1810117082395048,0.4251968503937008,254,28.54724409448819,1.125627118521191,0.07557647155540081,0.32103484044620645,22
B: Daily Exposure,OOS,0.11467370834357316,-0.12069350522713992,0.8833227459704922,0.9501232740549065,1.0796845767328205,0.4764705882352941,170,32.90588235294118,2.1203525599173316,0.26083054229430025,1.0563522795669384,17
B: Daily Exposure,FULL,0.04949635496213456,-0.15056227630392524,0.5266263223600337,0.3287434022465305,0.5149689680213572,0.4771689497716895,438,28.86986301369863,1.4548005405894628,0.40372757167270157,1.731378109452736,31
C: Short Cycle 10d,IS,0.004887943625871305,-0.15065692861360075,0.09921212006951433,0.0324442006806585,0.0872313634429143,0.4225352112676056,355,23.909859154929578,1.0153009628196745,0.024104990246899716,0.32103484044620645,0
C: Short Cycle 10d,OOS,0.12939713505097927,-0.17534598757070147,0.8869943506770854,0.7379532137785867,0.9867314984807736,0.531496062992126,254,24.137795275590552,1.9660519010249844,0.29665211062160046,1.0563522795669384,0
C: Short Cycle 10d,FULL,0.03807106643982028,-0.17543964731968847,0.3906262001744545,0.21700377891461825,0.37760769277243966,0.45634266886326197,607,23.978583196046127,1.3509162016768734,0.29990486933990024,1.731378109452736,0
D: Tight Trail,IS,0.016003940796534,-0.14783333886010674,0.23531147107935158,0.10825664170162844,0.18680427646382497,0.43478260869565216,253,28.142292490118578,1.1370703436142744,0.08064598666300005,0.32103484044620645,0
D: Tight Trail,OOS,0.10098546981328727,-0.12070950407438219,0.8031876730723868,0.8365991608337583,0.9053030404501726,0.47953216374269003,171,29.204678362573098,1.9440276385734203,0.22800567317480103,1.0563522795669384,0
D: Tight Trail,FULL,0.051037539133911736,-0.1481523372891286,0.545052864681443,0.34449364800981014,0.5007189531199355,0.4874715261958998,439,27.189066059225514,1.4714145001614143,0.4182621959903994,1.731378109452736,0
A+D,IS,0.013936435564518623,-0.14783333886010674,0.21238495788184023,0.09427126297747045,0.16448691215353242,0.3977272727272727,264,25.59090909090909,1.1152755037029356,0.06994619119490064,0.32103484044620645,4
A+D,OOS,0.10334446368742145,-0.12070058478180666,0.8331491427667738,0.8562051615096954,0.9286334154941408,0.45,180,26.727777777777778,2.069471050997062,0.23362979994889987,1.0563522795669384,4
A+D,FULL,0.051859729981253766,-0.14783333886010674,0.5604583098414817,0.35079861133575646,0.5080011386438694,0.4551422319474836,457,24.96936542669584,1.4966414075364647,0.4260687781601,1.731378109452736,8
A+B+D,IS,0.013936435564518623,-0.14783333886010674,0.21238495788184023,0.09427126297747045,0.16448691215353242,0.3977272727272727,264,25.59090909090909,1.1152755037029356,0.06994619119490064,0.32103484044620645,4
A+B+D,OOS,0.10334446368742145,-0.12070058478180666,0.8331491427667738,0.8562051615096954,0.9286334154941408,0.45,180,26.727777777777778,2.069471050997062,0.23362979994889987,1.0563522795669384,4
A+B+D,FULL,0.051859729981253766,-0.14783333886010674,0.5604583098414817,0.35079861133575646,0.5080011386438694,0.4551422319474836,457,24.96936542669584,1.4966414075364647,0.4260687781601,1.731378109452736,8
