date,event,regime,ticker,pnl_pct
2021-09-28,DAILY_TRIM,BEAR,006400,-8.24
2021-09-29,DAILY_TRIM,BEAR,003540,-5.52
2021-09-30,DAILY_TRIM,BEAR,178920,-5.97
2021-10-01,DAILY_TRIM,BEAR,004800,-7.4
2021-10-05,DAILY_TRIM,BEAR,060980,-7.96
2023-03-10,DAILY_TRIM,BEAR,023530,-3.86
2023-03-13,DAILY_TRIM,BEAR,022100,-5.45
2023-03-14,DAILY_TRIM,BEAR,023590,-6.31
2023-03-15,DAILY_TRIM,BEAR,004990,-5.21
2023-03-16,DAILY_TRIM,BEAR,175330,-5.23
2023-03-17,DAILY_TRIM,BEAR,103140,-4.43
2023-03-20,DAILY_TRIM,BEAR,032830,-4.9
2023-03-21,DAILY_TRIM,BEAR,267250,-2.99
2023-04-06,DAILY_TRIM,BEAR,005810,-3.56
2023-04-07,DAILY_TRIM,BEAR,001450,-3.75
2023-04-10,DAILY_TRIM,BEAR,033780,-4.11
2023-07-24,DAILY_TRIM,BEAR,111770,-6.64
2023-07-25,DAILY_TRIM,BEAR,114090,-6.98
2023-07-26,DAILY_TRIM,BEAR,066570,-9.02
2023-07-27,DAILY_TRIM,BEAR,006400,-5.55
2023-07-28,DAILY_TRIM,BEAR,004370,-3.8
2023-07-31,DAILY_TRIM,BEAR,000810,-0.82
2024-03-07,DAILY_TRIM,BEAR,007340,-4.76
2024-03-08,DAILY_TRIM,BEAR,161390,-3.83
2024-03-11,DAILY_TRIM,BEAR,005380,-3.0
2024-03-12,DAILY_TRIM,BEAR,139130,-3.31
2024-03-13,DAILY_TRIM,BEAR,004370,-3.1
2024-03-19,DAILY_TRIM,BEAR,161390,-6.4
2024-07-03,DAILY_TRIM,BEAR,018670,-1.93
2024-07-25,DAILY_TRIM,BEAR,104700,-6.45
2024-08-02,DAILY_TRIM,BEAR,001680,-11.52
