date,equity
2020-02-12,100202345.40540001
2020-02-13,99979262.40540001
2020-02-14,101389029.40540001
2020-02-17,102030401.40540001
2020-02-18,100223323.40540001
2020-02-19,101034592.40540001
2020-02-20,101090385.40540001
2020-02-21,99664346.40540001
2020-02-24,96246740.6259
2020-02-25,97366884.6259
2020-02-26,96939509.6259
2020-02-27,95424529.5687
2020-02-28,92897754.34144999
2020-03-02,93903296.34144999
2020-03-03,93745966.34144999
2020-03-04,94146115.34144999
2020-03-05,94424461.34144999
2020-03-06,93286352.34144999
2020-03-09,91794010.66045
2020-03-10,92015974.14445
2020-03-11,91535744.14445
2020-03-12,89002615.47624998
2020-03-13,85974585.87804998
2020-03-16,83612906.87534998
2020-03-17,83206136.08184998
2020-03-18,81616848.26004997
2020-03-19,79574351.83754998
2020-03-20,79557518.71754998
2020-03-23,79161274.81754997
2020-03-24,79161274.81754997
2020-03-25,79198774.81754997
2020-03-26,79281274.81754997
2020-03-27,79423774.81754997
2020-03-30,79491274.81754997
2020-03-31,79618774.81754997
2020-04-01,79648774.81754997
2020-04-02,79648774.81754997
2020-04-03,79633774.81754997
2020-04-06,79678774.81754997
2020-04-07,79686274.81754997
2020-04-08,79693774.81754997
2020-04-09,79798774.81754997
2020-04-10,79812161.76354997
2020-04-13,79661774.76354997
2020-04-14,80312341.76354997
2020-04-16,81467111.76354997
2020-04-17,82726704.76354997
2020-04-20,82649991.76354997
2020-04-21,82616110.76354997
2020-04-22,83538932.76354997
2020-04-23,84787368.76354997
2020-04-24,84075784.76354997
2020-04-27,85169115.76354997
2020-04-28,85490946.76354997
2020-04-29,85626232.76354997
2020-05-04,84837833.76354997
2020-05-06,86660914.76354997
2020-05-07,86931375.76354997
2020-05-08,87740222.76354997
2020-05-11,87835590.76354997
2020-05-12,88284694.76354997
2020-05-13,88566647.76354997
2020-05-14,89434049.76354997
2020-05-15,90274897.38984996
2020-05-18,91580195.38984996
2020-05-19,91179084.38984996
2020-05-20,92995334.38984996
2020-05-21,94119318.38984996
2020-05-22,94746482.38984996
2020-05-25,96333342.38984996
2020-05-26,96028108.38984996
2020-05-27,94897746.38984996
2020-05-28,94303461.88984996
2020-05-29,94273287.33234996
2020-06-01,95532969.33234996
2020-06-02,95146179.33234996
2020-06-03,94164335.33234996
2020-06-04,94915232.33234996
2020-06-05,95472414.33234996
2020-06-08,96425516.33234996
2020-06-09,96943904.33234996
