date,equity
2020-02-12,100084491.79379998
2020-02-13,100163551.79379998
2020-02-14,99752534.79379998
2020-02-17,99503644.79379998
2020-02-18,98993017.79379998
2020-02-19,98832374.79379998
2020-02-20,98360262.79379998
2020-02-21,97809850.79379998
2020-02-24,95562464.79379998
2020-02-25,96632993.79379998
2020-02-26,96165603.79379998
2020-02-27,95636749.79379998
2020-02-28,93546996.49129999
2020-03-02,93849921.49129999
2020-03-03,93679944.3773
2020-03-04,94570629.3773
2020-03-05,95134101.3773
2020-03-06,94852639.3773
2020-03-09,93783503.3773
2020-03-10,93888703.3773
2020-03-11,93106381.3773
2020-03-12,90146492.1388
2020-03-13,86530433.14169998
2020-03-16,86105965.4592
2020-03-17,85382945.4382
2020-03-18,84815325.4382
2020-03-19,83025864.72119999
2020-03-20,83239276.6412
2020-03-23,83118166.6412
2020-03-24,83246266.6412
2020-03-25,83407816.6412
2020-03-26,83809716.6412
2020-03-27,83984866.6412
2020-03-30,83694596.6412
2020-03-31,83912506.6412
2020-04-01,83769916.6412
2020-04-02,83933636.6412
2020-04-03,84002696.6412
2020-04-06,84189566.6412
2020-04-07,84183736.6412
2020-04-08,84300356.6412
2020-04-09,84707356.6412
2020-04-10,84914376.95345001
2020-04-13,84511639.95345001
2020-04-14,85036399.95345001
2020-04-16,85146703.95345001
2020-04-17,86539834.95345001
2020-04-20,86803617.95345001
2020-04-21,86269549.95345001
2020-04-22,86796489.95345001
2020-04-23,87652765.95345001
2020-04-24,87152323.95345001
2020-04-27,87544634.95345001
2020-04-28,87590770.95345001
2020-04-29,87769596.95345001
2020-05-04,87070493.95345001
2020-05-06,88276494.95345001
2020-05-07,88341269.95345001
2020-05-08,89117200.95345001
2020-05-11,89173336.95345001
2020-05-12,89424486.95345001
2020-05-13,89472898.95345001
2020-05-14,89879848.95345001
2020-05-15,90754458.8284
2020-05-18,91757367.8284
2020-05-19,92187730.8284
2020-05-20,92732522.8284
2020-05-21,93407499.8284
2020-05-22,93542097.8284
2020-05-25,94725966.8284
2020-05-26,94499549.8284
2020-05-27,94208185.8284
2020-05-28,94189576.8284
2020-05-29,94468937.8284
2020-06-01,94591367.8284
2020-06-02,94394036.8284
2020-06-03,94953334.8284
2020-06-04,94878186.8284
2020-06-05,95744705.8284
2020-06-08,97327652.8284
2020-06-09,97507223.8284
