date,equity
2020-02-12,99377616.94905001
2020-02-13,98920775.94905001
2020-02-14,98921836.94905001
2020-02-17,99853154.94905001
2020-02-18,98752544.94905001
2020-02-19,98178742.94905001
2020-02-20,98422552.54105
2020-02-21,97103248.81605001
2020-02-24,94135721.97190002
2020-02-25,95120592.97190002
2020-02-26,94371342.97190002
2020-02-27,92994281.51190001
2020-02-28,90545081.42060001
2020-03-02,91031716.42060001
2020-03-03,90726081.42060001
2020-03-04,91402149.42060001
2020-03-05,91721950.42060001
2020-03-06,91614239.42060001
2020-03-09,89905140.92060001
2020-03-10,90000376.92060001
2020-03-11,89784172.92060001
2020-03-12,87810081.99005002
2020-03-13,86724238.68505001
2020-03-16,86942615.24185002
2020-03-17,85909177.86435002
2020-03-18,84910982.29540002
2020-03-19,84002917.8411
2020-03-20,84915503.8411
2020-03-23,84421087.94110002
2020-03-24,84577709.94110002
2020-03-25,84718566.94110002
2020-03-26,84876322.94110002
2020-03-27,85403142.94110002
2020-03-30,85576555.94110002
2020-03-31,85668560.94110002
2020-04-01,85496382.94110002
2020-04-02,85679257.94110002
2020-04-03,85858187.94110002
2020-04-06,86476780.94110002
2020-04-07,86181547.94110002
2020-04-08,86663504.94110002
2020-04-09,87201787.94110002
2020-04-10,85889756.71715003
2020-04-13,84590596.61715002
2020-04-14,84638390.61715002
2020-04-16,85436280.61715002
2020-04-17,85259229.61715002
2020-04-20,84079987.32615003
2020-04-21,83178637.32615003
2020-04-22,84010228.32615003
2020-04-23,84618935.32615003
2020-04-24,84508730.32615003
2020-04-27,85224649.32615003
2020-04-28,84994441.32615003
2020-04-29,85320858.32615003
2020-05-04,84886327.78865002
2020-05-06,85914713.78865002
2020-05-07,87373259.78865002
2020-05-08,87837213.78865002
2020-05-11,88490029.78865002
2020-05-12,88334964.78865002
2020-05-13,88724936.78865002
2020-05-14,89343164.78865002
2020-05-15,88794044.32285002
2020-05-18,89230342.32285002
2020-05-19,88769492.32285002
2020-05-20,91375011.32285002
2020-05-21,92049499.32285002
2020-05-22,92755246.32285002
2020-05-25,94153683.32285002
2020-05-26,93647818.32285002
2020-05-27,92274382.32285002
2020-05-28,91629296.93785003
2020-05-29,91258535.93785003
2020-06-01,92634227.93785003
2020-06-02,92467913.93785003
2020-06-03,90871147.93785003
2020-06-04,91199800.93785003
2020-06-05,91430330.02185002
2020-06-08,91137310.43790004
2020-06-09,91119557.34190002
2020-06-10,92504393.34190002
2020-06-11,92272673.34190002
2020-06-12,91908922.34190002
2020-06-15,86410829.60690002
2020-06-16,91683421.60690002
