date,equity
2020-02-12,100816606.4293
2020-02-13,100668791.4293
2020-02-14,100261625.4293
2020-02-17,100194812.4293
2020-02-18,99367068.4293
2020-02-19,99309880.4293
2020-02-20,98742459.02129999
2020-02-21,97353186.02129999
2020-02-24,94759972.6013
2020-02-25,95484621.6013
2020-02-26,94752106.6013
2020-02-27,94151891.44929999
2020-02-28,91282717.10655
2020-03-02,91252927.10655
2020-03-03,91201450.99254999
2020-03-04,91774464.99254999
2020-03-05,91969699.99254999
2020-03-06,91520215.99254999
2020-03-09,90317270.51955
2020-03-10,89873900.14105
2020-03-11,89279208.98400001
2020-03-12,88348617.79610002
2020-03-13,85984326.07210001
2020-03-16,86186150.35960002
2020-03-17,86080609.35960002
2020-03-18,85272065.20960002
2020-03-19,82329391.72755001
2020-03-20,83698555.72755001
2020-03-23,83039340.60755002
2020-03-24,83295244.60755002
2020-03-25,83561336.60755002
2020-03-26,84080502.60755002
2020-03-27,84734387.60755002
2020-03-30,84928923.60755002
2020-03-31,85220088.60755002
2020-04-01,85010405.60755002
2020-04-02,85247100.60755002
2020-04-03,85448300.60755002
2020-04-06,86064653.60755002
2020-04-07,85944478.60755002
2020-04-08,86530985.60755002
2020-04-09,87286658.60755002
2020-04-10,87563004.16055001
2020-04-13,86971005.16055001
2020-04-14,87520697.16055001
2020-04-16,87264511.16055001
2020-04-17,87429459.16055001
2020-04-20,87845750.16055001
2020-04-21,88600951.16055001
2020-04-22,89666278.16055001
2020-04-23,90714475.16055001
2020-04-24,90477850.16055001
2020-04-27,90940771.16055001
2020-04-28,91315353.16055001
2020-04-29,90986258.16055001
2020-05-04,90594874.16055001
2020-05-06,91404243.16055001
2020-05-07,91465464.64055002
2020-05-08,92053834.64055002
2020-05-11,92467874.64055002
2020-05-12,92376452.64055002
2020-05-13,92743724.64055002
2020-05-14,92967594.64055002
2020-05-15,94004554.37450002
2020-05-18,93216040.37450002
2020-05-19,92202439.37450002
2020-05-20,93146936.37450002
2020-05-21,93613948.37450002
2020-05-22,92877026.37450002
2020-05-25,94451502.37450002
2020-05-26,94127132.37450002
2020-05-27,93682145.37450002
2020-05-28,92883311.37450002
2020-05-29,92775702.29850002
2020-06-01,93550606.29850002
2020-06-02,93612116.29850002
2020-06-03,92516084.29850002
2020-06-04,92615074.29850002
2020-06-05,92761603.29850002
2020-06-08,92287087.96280001
2020-06-09,92887094.96280001
2020-06-10,93582830.96280001
2020-06-11,92439434.96280001
2020-06-12,93689285.96280001
2020-06-15,88938824.69430001
2020-06-16,92291984.69430001
2020-06-17,94925660.69430001
2020-06-18,96061368.69430001
2020-06-19,94304677.14865
2020-06-22,93025172.87865001
2020-06-23,92713943.87865001
2020-06-24,93243305.87865001
2020-06-25,92253269.87865001
2020-06-26,92240515.87865001
2020-06-29,91126836.72285001
