date,equity
2020-02-12,99895462.44999999
2020-02-13,98884278.122
2020-02-14,99504201.122
2020-02-17,99804463.1195
2020-02-18,97903560.10075
2020-02-19,97244937.10075
2020-02-20,97047368.10075
2020-02-21,96182410.55074999
2020-02-24,92162237.28074999
2020-02-25,92877247.16825
2020-02-26,92281720.48924999
2020-02-27,90568402.5748
2020-02-28,89877437.2993
2020-03-02,90195062.2993
2020-03-03,90161182.2993
2020-03-04,90254352.2993
2020-03-05,90288232.2993
2020-03-06,90220472.2993
2020-03-09,89974842.2993
2020-03-10,90203532.2993
2020-03-11,90084952.2993
2020-03-12,87001859.17170002
2020-03-13,80489900.72280002
2020-03-16,78895371.48530003
2020-03-17,78958411.48530003
2020-03-18,78188765.53130004
2020-03-19,77265610.52920003
2020-03-20,77143730.90920003
2020-03-23,77143730.90920003
2020-03-24,77143730.90920003
2020-03-25,77143730.90920003
2020-03-26,77143730.90920003
2020-03-27,77143730.90920003
2020-03-30,77143730.90920003
2020-03-31,77143730.90920003
2020-04-01,77143730.90920003
2020-04-02,77143730.90920003
2020-04-03,77143730.90920003
2020-04-06,77143730.90920003
2020-04-07,77143730.90920003
2020-04-08,77143730.90920003
2020-04-09,77143730.90920003
2020-04-10,76751034.71290004
2020-04-13,74420288.71290004
2020-04-14,76001928.36040004
2020-04-16,78301534.36040004
2020-04-17,81928864.36040004
2020-04-20,79858643.75040004
2020-04-21,80008496.75040004
2020-04-22,80037357.63580003
2020-04-23,80803987.63580003
2020-04-24,78530211.04280004
2020-04-27,78782815.04280004
2020-04-28,78979000.04280004
2020-04-29,79325997.23280004
2020-05-04,80131549.61680004
2020-05-06,82388943.61680004
2020-05-07,83857473.61680004
2020-05-08,85702702.61680004
2020-05-11,86262059.61680004
2020-05-12,86468368.61680004
2020-05-13,87531005.61680004
2020-05-14,87606816.61680004
2020-05-15,84865092.36535002
2020-05-18,82936699.48435003
2020-05-19,82101414.34625003
2020-05-20,83841858.34625003
2020-05-21,85555134.34625003
2020-05-22,86096848.34625003
2020-05-25,86633125.83720003
2020-05-26,88220028.83720003
2020-05-27,86421094.83720003
2020-05-28,85092471.18135002
2020-05-29,85393951.18135002
2020-06-01,85845156.18135002
2020-06-02,86838118.18135002
2020-06-03,86061765.52470003
2020-06-04,85951272.52470003
2020-06-05,86591369.81405003
2020-06-08,87426860.81405003
2020-06-09,88102569.81405003
2020-06-10,88109257.81405003
2020-06-11,89629709.95405003
2020-06-12,88541440.17305003
2020-06-15,83681533.20800002
2020-06-16,86893744.20800002
2020-06-17,84971489.58300002
2020-06-18,86631104.04965003
2020-06-19,85793183.11525002
2020-06-22,86529923.25825003
2020-06-23,87150276.98465002
2020-06-24,86704865.47140002
2020-06-25,86716852.40890002
2020-06-26,86294105.40890002
2020-06-29,85398887.82890002
2020-06-30,85598804.82890002
2020-07-01,85267588.53410003
2020-07-02,86050609.53410003
2020-07-03,87753818.53410003
2020-07-06,88031451.53410003
2020-07-07,88204809.53410003
2020-07-08,89400807.53410003
2020-07-09,90580380.53410003
2020-07-10,92285974.53410003
2020-07-13,92897622.53410003
2020-07-14,94085898.36560002
2020-07-15,92011617.36560002
2020-07-16,93186828.99810001
2020-07-17,97222472.99810001
2020-07-20,98524704.62980002
2020-07-21,99788284.84980002
2020-07-22,101290542.84980002
2020-07-23,103216807.84980002
2020-07-24,98946980.08660002
2020-07-27,100007449.08660002
2020-07-28,99441455.27780002
2020-07-29,99961597.17530003
2020-07-30,102131453.17530003
2020-07-31,103380075.17530003
2020-08-03,105434893.17530003
2020-08-04,104483011.17530003
2020-08-05,106171360.17530003
2020-08-06,107806267.17530003
2020-08-07,109347519.79530002
2020-08-10,109073930.79530002
2020-08-11,108016085.87105003
2020-08-12,105224795.52470002
2020-08-13,103835597.5391
2020-08-14,100039248.6593
2020-08-18,99401330.0643
2020-08-19,100514886.0643
2020-08-20,99617076.76380001
2020-08-21,99822578.76380001
2020-08-24,100442901.31760001
2020-08-25,101355015.31760001
2020-08-26,100471027.72560002
2020-08-27,99814224.72560002
2020-08-28,99839314.72560002
2020-08-31,101500065.72560002
2020-09-01,102285450.72560002
2020-09-02,103381938.72560002
2020-09-03,104570357.02935001
2020-09-04,103528197.79375002
2020-09-07,102830393.79375002
2020-09-08,101940303.39375001
2020-09-09,101538472.64875
2020-09-10,101764368.64875
2020-09-11,104227788.31370004
2020-09-14,103072544.31370004
2020-09-15,102987611.31370004
2020-09-16,103525630.31370004
2020-09-17,102516389.31370004
