date,equity
2020-02-12,101610688.42210001
2020-02-13,99522991.23310001
2020-02-14,99978839.23310001
2020-02-17,100086997.23310001
2020-02-18,98319271.23310001
2020-02-19,98689042.23310001
2020-02-20,96983880.8831
2020-02-21,95167823.78310001
2020-02-24,90860916.32645002
2020-02-25,91416111.32645002
2020-02-26,91225986.32645002
2020-02-27,89693554.09845
2020-02-28,89404938.90345001
2020-03-02,89404938.90345001
2020-03-03,89404938.90345001
2020-03-04,89404938.90345001
2020-03-05,89404938.90345001
2020-03-06,89404938.90345001
2020-03-09,89404938.90345001
2020-03-10,89404938.90345001
2020-03-11,89404938.90345001
2020-03-12,86059948.87185001
2020-03-13,80407918.28780001
2020-03-16,78393431.28130002
2020-03-17,78184049.10645002
2020-03-18,77094580.88145001
2020-03-19,76200974.14145002
2020-03-20,76299874.14145002
2020-03-23,75846813.45645002
2020-03-24,75846813.45645002
2020-03-25,75846813.45645002
2020-03-26,75846813.45645002
2020-03-27,75846813.45645002
2020-03-30,75846813.45645002
2020-03-31,75846813.45645002
2020-04-01,75846813.45645002
2020-04-02,75846813.45645002
2020-04-03,75846813.45645002
2020-04-06,75846813.45645002
2020-04-07,75846813.45645002
2020-04-08,75846813.45645002
2020-04-09,75846813.45645002
2020-04-10,74759941.46150002
2020-04-13,71699783.95650002
2020-04-14,72302198.05400002
2020-04-16,73234568.39350003
2020-04-17,75606771.39350003
2020-04-20,73466901.30600002
2020-04-21,72984573.30600002
2020-04-22,73735531.30600002
2020-04-23,75047612.30600002
2020-04-24,73951220.30600002
2020-04-27,74399893.30600002
2020-04-28,74503781.30600002
2020-04-29,75519628.30600002
2020-05-04,75625638.30600002
2020-05-06,76436880.30600002
2020-05-07,77255590.30600002
2020-05-08,77933382.30600002
2020-05-11,77851609.30600002
2020-05-12,77297315.27845003
2020-05-13,78084174.27845003
2020-05-14,78386000.27845003
2020-05-15,78234876.26715001
2020-05-18,76909492.26715001
2020-05-19,76780077.68965001
2020-05-20,78150097.68965001
2020-05-21,78186496.68965001
2020-05-22,77210628.68565002
2020-05-25,78992227.68565002
