date,equity
2020-01-13,100617071.74870002
2020-01-14,102060271.74870002
2020-01-15,102823173.74870002
2020-01-16,103739315.74870002
2020-01-17,103858481.74870002
2020-01-20,104004131.74870002
2020-01-21,103364647.74870002
2020-01-22,104727147.74870002
2020-01-23,104704833.74870002
2020-01-28,101879849.74870002
2020-01-29,102024723.74870002
2020-01-30,100671931.74870002
2020-01-31,99194115.84870002
2020-02-03,98575288.94870001
2020-02-04,99134514.94870001
2020-02-05,98980704.94870001
2020-02-06,100760206.94870001
2020-02-07,100193540.94870001
2020-02-10,99638132.94870001
2020-02-11,100159182.94870001
2020-02-12,100694334.94870001
2020-02-13,100005254.34615003
2020-02-14,100211201.34615003
2020-02-17,100248206.34615003
2020-02-18,99696185.34615003
2020-02-19,100244271.34615003
2020-02-20,99341419.34615003
2020-02-21,97811396.70365003
2020-02-24,94931109.30615002
2020-02-25,95547165.29115002
2020-02-26,95177680.29115002
2020-02-27,94609576.69115001
2020-02-28,93173650.77365002
2020-03-02,93540226.77365002
2020-03-03,93910543.77365002
2020-03-04,94736797.77365002
2020-03-05,95299998.77365002
2020-03-06,94616418.77365002
2020-03-09,93606925.99565002
2020-03-10,93325766.77715
2020-03-11,92835960.77715
2020-03-12,91761843.11295001
2020-03-13,95071700.95225
2020-03-16,91334770.20225
2020-03-17,88301177.20225
2020-03-18,83938925.33020002
2020-03-19,79931581.5512
2020-03-20,80428454.5512
2020-03-23,80080139.5512
2020-03-24,80707883.5512
2020-03-25,80611883.5512
2020-03-26,80381054.5512
2020-03-27,80510540.5512
2020-03-30,80488840.5512
2020-03-31,80640626.5512
2020-04-01,80301054.5512
2020-04-02,80743669.5512
2020-04-03,80873969.5512
2020-04-06,81196198.5512
2020-04-07,81181755.5512
2020-04-08,81076412.5512
2020-04-09,81252412.5512
2020-04-10,81178498.5512
2020-04-13,80336201.14144999
2020-04-14,81353157.14144999
2020-04-16,81417195.14144999
2020-04-17,83358270.14144999
2020-04-20,82844544.14144999
2020-04-21,81903439.14144999
2020-04-22,83197581.14144999
2020-04-23,84249537.14144999
2020-04-24,84116816.14144999
2020-04-27,84582085.14144999
2020-04-28,84838310.14144999
2020-04-29,85561840.14144999
2020-05-04,84096666.14144999
2020-05-06,86319932.14144999
2020-05-07,86612886.14144999
2020-05-08,87658982.14144999
2020-05-11,87711259.14144999
2020-05-12,87886490.14144999
2020-05-13,88227838.14144999
2020-05-14,88836863.14144999
2020-05-15,89645534.14144999
2020-05-18,90164943.30309999
2020-05-19,89514142.30309999
2020-05-20,90391990.30309999
2020-05-21,91204481.30309999
2020-05-22,90775127.30309999
2020-05-25,92837740.30309999
2020-05-26,92805049.30309999
2020-05-27,91488812.30309999
2020-05-28,91663393.30309999
2020-05-29,91315618.30309999
2020-06-01,93430738.30309999
2020-06-02,93413902.30309999
2020-06-03,93298267.30309999
2020-06-04,93956011.30309999
2020-06-05,94665778.30309999
2020-06-08,94856165.30309999
2020-06-09,95156976.30309999
2020-06-10,97151853.30309999
2020-06-11,96650909.30309999
2020-06-12,97045069.30309999
2020-06-15,93741676.30309999
2020-06-16,97783281.19454998
2020-06-17,99980718.19454998
2020-06-18,99271806.19454998
2020-06-19,99013764.78809999
2020-06-22,100288908.78809999
2020-06-23,101312493.78809999
2020-06-24,101840214.78809999
2020-06-25,100691300.78809999
2020-06-26,100633316.78809999
2020-06-29,99053881.78809999
2020-06-30,99013313.78809999
2020-07-01,98738155.78809999
2020-07-02,100608972.78809999
2020-07-03,100935202.78809999
2020-07-06,102200451.78809999
2020-07-07,102327862.78809999
2020-07-08,103086925.78809999
2020-07-09,104530180.78809999
2020-07-10,105709230.78809999
2020-07-13,106999808.78809999
2020-07-14,106315655.78809999
2020-07-15,105893154.84504998
2020-07-16,104046031.84504998
2020-07-17,104132659.84504998
2020-07-20,103557363.69434997
2020-07-21,104838331.69434997
2020-07-22,105087050.69434997
2020-07-23,104921739.69434997
2020-07-24,104396878.69434997
2020-07-27,105339233.09434998
2020-07-28,105769744.09434998
2020-07-29,105969894.09434998
2020-07-30,105591207.09434998
2020-07-31,105138180.09434998
2020-08-03,106325798.09434998
2020-08-04,108536263.09434998
2020-08-05,110446506.09434998
2020-08-06,109902113.09434998
2020-08-07,109713945.09434998
2020-08-10,110744289.09434998
2020-08-11,111476431.09434998
2020-08-12,111337470.82124998
2020-08-13,111374316.76
2020-08-14,110057285.76
2020-08-18,107389968.34
2020-08-19,108526479.34
2020-08-20,104543719.5575
2020-08-21,105176802.5575
2020-08-24,106175302.5575
2020-08-25,106701902.5575
2020-08-26,106443229.5575
2020-08-27,107046123.5575
2020-08-28,106582325.5575
2020-08-31,107169318.5575
2020-09-01,107051084.45750001
2020-09-02,108731459.70750001
2020-09-03,109255633.70750001
2020-09-04,109261827.70750001
2020-09-07,109336744.6575
2020-09-08,108439532.6575
2020-09-09,107208374.1155
2020-09-10,107737352.1155
2020-09-11,107227729.1155
2020-09-14,106500392.09045
2020-09-15,107526883.09045
2020-09-16,106955732.09045
2020-09-17,105776846.09045
2020-09-18,106691575.39045
2020-09-21,105371572.45045
2020-09-22,102111094.13190001
2020-09-23,102075457.13190001
2020-09-24,99326625.22465
2020-09-25,99757394.22465
2020-09-28,100340056.22465
2020-09-29,100819535.22465
2020-10-05,100896262.22465
2020-10-06,101044657.22465
2020-10-07,101125115.22465
2020-10-08,100778880.52465001
2020-10-12,100855196.52465001
2020-10-13,100680991.52465001
2020-10-14,100301233.92465
2020-10-15,100120897.92465
2020-10-16,99706752.8088
2020-10-19,98611111.08394998
2020-10-20,98609561.08394998
2020-10-21,99655308.08394998
2020-10-22,98257930.08394998
2020-10-23,97812929.08394998
2020-10-26,95271223.94394998
2020-10-27,94992318.24644998
2020-10-28,96553877.24644998
2020-10-29,96410334.24644998
2020-10-30,94314032.81894998
2020-11-02,94833434.81894998
2020-11-03,95697651.81894998
2020-11-04,97545915.81894998
2020-11-05,98568591.81894998
2020-11-06,98183207.81894998
2020-11-09,99184423.81894998
2020-11-10,97847617.81894998
2020-11-11,97689231.00029998
2020-11-12,97850578.00029998
2020-11-13,98295012.00029998
2020-11-16,99191955.00029998
2020-11-17,98484807.85319999
2020-11-18,99789190.85319999
2020-11-19,99751204.85319999
2020-11-20,100003188.85319999
2020-11-23,100687942.85319999
2020-11-24,100253372.85319999
2020-11-25,98862305.85319999
2020-11-26,99506208.89319998
