date,equity
2020-01-13,100865745.9546
2020-01-14,101646233.9546
2020-01-15,101454652.9546
2020-01-16,101503076.9546
2020-01-17,101535140.9546
2020-01-20,102173290.9546
2020-01-21,101354609.9546
2020-01-22,102241102.9546
2020-01-23,101971671.9546
2020-01-28,98666419.9546
2020-01-29,98963419.9546
2020-01-30,98180564.9546
2020-01-31,96699988.9546
2020-02-03,95874570.5546
2020-02-04,96549425.5546
2020-02-05,97016277.5546
2020-02-06,99565246.5546
2020-02-07,98923972.5546
2020-02-10,98438296.5546
2020-02-11,99005129.5546
2020-02-12,99624700.5546
2020-02-13,98566590.9236
2020-02-14,98750817.9236
2020-02-17,98708689.8436
2020-02-18,97847484.18110001
2020-02-19,98232248.18110001
2020-02-20,96886203.35610001
2020-02-21,95833328.35610001
2020-02-24,93101981.35610001
2020-02-25,93584751.3411
2020-02-26,92961655.49110001
2020-02-27,92480169.40040001
2020-02-28,90713102.1179
2020-03-02,90532605.9304
2020-03-03,90633115.9304
2020-03-04,91491045.9304
2020-03-05,91792365.9304
2020-03-06,91340805.9304
2020-03-09,90408164.51889999
2020-03-10,90369844.51889999
2020-03-11,90168204.51889999
2020-03-12,89699628.01889999
2020-03-13,92463532.38005002
2020-03-16,89568977.63005002
2020-03-17,86501795.63005002
2020-03-18,82916570.60360003
2020-03-19,79101591.82195003
2020-03-20,79310591.82195003
2020-03-23,79093591.82195003
2020-03-24,79344591.82195003
2020-03-25,79196091.82195003
2020-03-26,79296091.82195003
2020-03-27,79375591.82195003
2020-03-30,79603591.82195003
2020-03-31,79791091.82195003
2020-04-01,79669591.82195003
2020-04-02,79912591.82195003
2020-04-03,80067591.82195003
2020-04-06,80346591.82195003
2020-04-07,80261591.82195003
2020-04-08,80259591.82195003
2020-04-09,80306591.82195003
2020-04-10,80093091.82195003
2020-04-13,78933569.24530002
2020-04-14,80217827.24530002
2020-04-16,80223354.24530002
2020-04-17,81675223.24530002
2020-04-20,81465228.24530002
2020-04-21,81068265.24530002
2020-04-22,82190310.24530002
2020-04-23,83459034.24530002
2020-04-24,82246341.24530002
2020-04-27,82906307.24530002
2020-04-28,83151395.24530002
2020-04-29,83864482.24530002
2020-05-04,82044966.24530002
2020-05-06,83627085.24530002
2020-05-07,83739420.24530002
2020-05-08,84692816.24530002
2020-05-11,84767620.24530002
2020-05-12,84845741.24530002
2020-05-13,85135012.24530002
2020-05-14,85293967.24530002
2020-05-15,85556962.24530002
2020-05-18,85646022.78980003
2020-05-19,86758027.78980003
2020-05-20,87433032.78980003
2020-05-21,87772904.78980003
2020-05-22,87222101.78980003
2020-05-25,89022990.78980003
2020-05-26,89548311.78980003
2020-05-27,88885901.78980003
2020-05-28,88686315.78980003
2020-05-29,88371474.78980003
2020-06-01,90056003.78980003
2020-06-02,90279551.78980003
2020-06-03,91520655.78980003
2020-06-04,91556368.78980003
2020-06-05,92262065.78980003
2020-06-08,92781004.78980003
2020-06-09,92536567.78980003
2020-06-10,92529214.78980003
2020-06-11,91664746.78980003
2020-06-12,89978444.78980003
2020-06-15,86162345.36180004
2020-06-16,89552574.43950005
2020-06-17,89152605.43950005
2020-06-18,88515991.43950005
2020-06-19,88983875.43950005
2020-06-22,89573512.43950005
2020-06-23,90479569.43950005
2020-06-24,91100911.43950005
2020-06-25,88686961.39950004
2020-06-26,89568010.39950004
2020-06-29,87820904.07950005
2020-06-30,88366857.07950005
2020-07-01,88171198.89915004
2020-07-02,90418855.89915004
2020-07-03,90435523.89915004
2020-07-06,91838560.89915004
2020-07-07,91854687.89915004
2020-07-08,91696385.97415005
2020-07-09,92298378.97415005
2020-07-10,92599612.97415005
2020-07-13,93544356.97415005
2020-07-14,93637715.97415005
2020-07-15,93436040.38855004
2020-07-16,91892595.38855004
2020-07-17,92441265.38855004
