snapshot_dt_utc,rank,pair,value_krw_24h,captured_at
2026-04-27,1,KRW-BTC,177001774380.93,2026-04-27T13:18:16+00:00
2026-04-27,2,KRW-ZBT,167871926132.93,2026-04-27T13:18:16+00:00
2026-04-27,3,KRW-ETH,140452041846.93,2026-04-27T13:18:16+00:00
2026-04-27,4,KRW-XRP,121240847515.11,2026-04-27T13:18:16+00:00
2026-04-27,5,KRW-SONIC,95538402181.26,2026-04-27T13:18:16+00:00
2026-04-27,6,KRW-USDT,95088917463.64,2026-04-27T13:18:16+00:00
2026-04-27,7,KRW-CHIP,93359490389.17,2026-04-27T13:18:16+00:00
2026-04-27,8,KRW-ORCA,93334808306.71,2026-04-27T13:18:16+00:00
2026-04-27,9,KRW-PRL,89267269069.12,2026-04-27T13:18:16+00:00
2026-04-27,10,KRW-XCN,86983136520.32,2026-04-27T13:18:16+00:00
2026-04-27,11,KRW-TOKAMAK,59612455878.17,2026-04-27T13:18:16+00:00
2026-04-27,12,KRW-0G,52578691824.92,2026-04-27T13:18:16+00:00
2026-04-27,13,KRW-SPK,39432093536.76,2026-04-27T13:18:16+00:00
2026-04-27,14,KRW-ENSO,36755744411.10,2026-04-27T13:18:16+00:00
2026-04-27,15,KRW-AXS,34546293504.15,2026-04-27T13:18:16+00:00
2026-04-27,16,KRW-KAT,34538518229.88,2026-04-27T13:18:16+00:00
2026-04-27,17,KRW-SOL,33653749195.58,2026-04-27T13:18:16+00:00
2026-04-27,18,KRW-PENGU,29992100321.95,2026-04-27T13:18:16+00:00
2026-04-27,19,KRW-AVNT,28534936785.72,2026-04-27T13:18:16+00:00
2026-04-27,20,KRW-DRIFT,27305504411.69,2026-04-27T13:18:16+00:00
2026-04-27,21,KRW-PIEVERSE,27116280279.78,2026-04-27T13:18:16+00:00
2026-04-27,22,KRW-LINEA,24556001151.14,2026-04-27T13:18:16+00:00
2026-04-27,23,KRW-SAHARA,19892671177.33,2026-04-27T13:18:16+00:00
2026-04-27,24,KRW-DOGE,19872623901.31,2026-04-27T13:18:16+00:00
2026-04-27,25,KRW-MASK,16893170320.67,2026-04-27T13:18:16+00:00
2026-04-27,26,KRW-SOMI,15598517533.13,2026-04-27T13:18:16+00:00
2026-04-27,27,KRW-HYPER,13699547087.61,2026-04-27T13:18:16+00:00
2026-04-27,28,KRW-AWE,13273097792.47,2026-04-27T13:18:16+00:00
2026-04-27,29,KRW-TRUMP,12839720439.97,2026-04-27T13:18:16+00:00
2026-04-27,30,KRW-ATH,11405283883.78,2026-04-27T13:18:16+00:00
2026-04-27,31,KRW-IP,10416624937.83,2026-04-27T13:18:16+00:00
2026-04-27,32,KRW-ARDR,10002814594.33,2026-04-27T13:18:16+00:00
2026-04-27,33,KRW-OPEN,9844723210.21,2026-04-27T13:18:16+00:00
