rank,slot,name,trades,win_rate,pnl_pct,sharpe,pf,avg_hold_min,avg_mfe,avg_mae,score
1,11,Mean Reversion,20,55.0,-1.38,-0.70,0.1,4,1.3,-2.5,-1.62
2,12,Adaptive Best,60,41.7,-0.98,-0.33,0.4,5,1.7,-2.8,-3.02
3,4,Trailing A,20,35.0,-0.57,-0.17,0.6,5,1.7,-2.7,-3.67
4,5,Trailing B,20,35.0,-0.99,-0.30,0.4,7,2.1,-3.1,-4.24
5,6,Micro Imbalance,20,35.0,-0.92,-0.46,0.3,2,1.7,-2.7,-4.71
6,3,Aggressive,20,25.0,-0.99,-0.51,0.4,3,2.0,-2.7,-6.88
7,7,Time Decay 15m,20,25.0,-0.74,-1.12,0.1,1,1.6,-2.4,-8.64
8,10,Momentum MA5,20,15.0,-1.01,-0.58,0.3,4,1.9,-1.3,-9.11
9,1,Conservative,20,25.0,-0.72,-1.35,0.1,1,1.6,-2.4,-9.32
10,2,Moderate,20,20.0,-0.96,-1.01,0.2,1,1.6,-2.5,-9.39
11,8,Time Decay 30m,20,20.0,-0.96,-1.01,0.2,1,1.6,-2.5,-9.39
12,9,Volume Spike,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
