code,n_bars,vwap,close,close_vs_vwap_pct,intraday_high,intraday_low,from_intraday_high_pct,from_prev_close_pct,max_intraday_dd_pct,max_dd_time,max_5m_drop_pct,max_5m_drop_time,volume_spike_2x,volume_spike_3x,volume_spike_opening,max_volume_ratio,near_trail_stop,analysis_end_time,is_partial_day
001060,8,31080.1,31050.0,-0.1,31500.0,30900.0,-1.43,-1.11,-1.9,09:05,-0.32,09:05,0,0,0,1.1,False,09:09,True
001120,9,49151.6,48950.0,-0.41,49850.0,47750.0,-1.81,1.45,-1.81,09:09,-1.51,09:09,0,0,0,1.8,False,09:09,True
001800,9,24814.7,24800.0,-0.06,25100.0,24700.0,-1.2,-2.55,-1.39,09:02,-0.2,09:05,0,0,0,0.7,False,09:09,True
003550,9,85645.9,85500.0,-0.17,86000.0,85400.0,-0.58,,-0.58,09:09,-0.23,09:07,0,0,0,1.7,False,09:09,True
004690,9,146435.1,146100.0,-0.23,146900.0,145500.0,-0.54,-2.14,-0.54,09:09,-0.41,09:08,0,0,1,1.0,False,09:09,True
005830,9,172361.4,173000.0,0.37,173500.0,171000.0,-0.29,-1.59,-0.58,09:02,-0.12,09:09,0,0,0,0.6,False,09:09,True
006400,9,388049.6,387000.0,-0.27,396500.0,384000.0,-2.4,,-2.77,09:06,-0.64,09:06,0,0,0,0.9,False,09:09,True
009150,9,434912.3,431500.0,-0.78,457000.0,430000.0,-5.58,,-5.69,09:03,-0.58,09:06,0,0,0,1.0,False,09:09,True
017940,9,100504.8,100900.0,0.39,101300.0,99900.0,-0.39,-0.3,-0.99,09:01,0.0,09:08,0,0,0,0.9,False,09:09,True
028050,9,31731.1,31700.0,-0.1,31950.0,31550.0,-0.78,-3.5,-0.94,09:05,-0.47,09:06,0,0,0,0.8,False,09:09,True
034730,9,322674.3,322500.0,-0.05,326500.0,320500.0,-1.23,,-1.53,09:01,-0.46,09:07,0,0,0,1.5,False,09:09,True
055550,9,91319.9,90200.0,-1.23,93500.0,90200.0,-3.53,-2.91,-3.53,09:09,-0.98,09:05,0,0,0,1.1,False,09:09,True
078930,9,66055.7,65700.0,-0.54,67200.0,65500.0,-2.23,-2.95,-2.23,09:07,-0.3,09:08,0,0,0,1.2,False,09:09,True
086790,9,104977.8,104700.0,-0.26,106300.0,104200.0,-1.51,-3.5,-1.69,09:06,-0.95,09:05,0,0,0,1.0,False,09:09,True
105560,9,146997.3,146600.0,-0.27,149200.0,146100.0,-1.74,-3.55,-2.01,09:04,-0.75,09:06,0,0,0,0.9,False,09:09,True
138930,9,17981.4,17970.0,-0.06,18100.0,17900.0,-0.72,-2.6,-0.99,09:03,-0.55,09:05,0,0,0,0.7,False,09:09,True
139130,9,16821.6,16760.0,-0.37,17030.0,16600.0,-1.59,-1.53,-1.64,09:03,-0.48,09:09,0,0,0,1.1,False,09:09,True
175330,9,29120.7,29100.0,-0.07,29400.0,28950.0,-1.02,-2.84,-1.36,09:03,-0.68,09:05,0,0,0,1.1,False,09:09,True
316140,9,32404.5,32250.0,-0.48,32700.0,32250.0,-1.38,-2.42,-1.38,09:09,-0.46,09:05,1,0,0,2.5,False,09:09,True
417310,6,9578.6,9620.0,0.43,9720.0,9540.0,-1.03,-0.1,-1.75,09:03,-1.03,09:07,0,0,0,0.5,False,09:09,True
