date,code,side,quantity,price,cost,slippage_pct,mode,event_id
2026-03-23,131290,SELL,230,121800.00,0.00,N/A,PAPER,20260323_083935_131290_SELL
2026-03-23,314130,SELL,7721,8960.00,0.00,N/A,PAPER,20260323_083935_314130_SELL
2026-03-23,360350,SELL,2968,16930.00,0.00,N/A,PAPER,20260323_083935_360350_SELL
2026-03-23,402490,SELL,2508,14900.00,0.00,N/A,PAPER,20260323_083935_402490_SELL
2026-03-23,474610,SELL,2975,9450.00,0.00,N/A,PAPER,20260323_083935_474610_SELL
2026-03-23,316140,BUY,735,33900.00,0.00,N/A,PAPER,20260323_083937_316140_BUY
2026-03-23,139130,BUY,1446,17240.00,0.00,N/A,PAPER,20260323_083937_139130_BUY
2026-03-23,055550,BUY,254,97900.00,0.00,N/A,PAPER,20260323_083937_055550_BUY
2026-03-23,016360,BUY,243,102300.00,0.00,N/A,PAPER,20260323_083937_016360_BUY
2026-03-23,086790,BUY,220,113200.00,0.00,N/A,PAPER,20260323_083937_086790_BUY
2026-03-23,105560,BUY,160,155200.00,0.00,N/A,PAPER,20260323_083937_105560_BUY
2026-03-23,138930,BUY,1322,18850.00,0.00,N/A,PAPER,20260323_083937_138930_BUY
2026-03-23,175330,BUY,805,30950.00,0.00,N/A,PAPER,20260323_083937_175330_BUY
2026-03-23,005830,BUY,133,186700.00,0.00,N/A,PAPER,20260323_083937_005830_BUY
2026-03-23,078930,BUY,361,69000.00,0.00,N/A,PAPER,20260323_083937_078930_BUY
2026-03-23,028050,BUY,706,35300.00,0.00,N/A,PAPER,20260323_083937_028050_BUY
2026-03-23,069960,BUY,271,91800.00,0.00,N/A,PAPER,20260323_083937_069960_BUY
2026-03-23,161390,BUY,434,57400.00,0.00,N/A,PAPER,20260323_083937_161390_BUY
2026-03-23,417310,BUY,2586,9640.00,0.00,N/A,PAPER,20260323_083937_417310_BUY
2026-03-23,033780,BUY,158,157500.00,0.00,N/A,PAPER,20260323_083937_033780_BUY
2026-03-23,001120,BUY,528,47150.00,0.00,N/A,PAPER,20260323_083937_001120_BUY
2026-03-23,004690,BUY,161,154400.00,0.00,N/A,PAPER,20260323_083937_004690_BUY
2026-03-23,003690,BUY,1893,13170.00,0.00,N/A,PAPER,20260323_083937_003690_BUY
2026-03-23,024110,BUY,1034,24100.00,0.00,N/A,PAPER,20260323_083937_024110_BUY
2026-03-23,023530,BUY,209,113500.00,0.00,N/A,PAPER,20260323_083937_023530_BUY
2026-03-23,REBALANCE,SUMMARY,sells=5,buys=20,498031656.26,0.00,LIVE,
2026-03-23,131290,SELL,129,115818.17,0.00,N/A,LIVE,20260323_094755_131290_SELL
2026-03-23,314130,SELL,3921,8839.08,0.00,N/A,LIVE,20260323_094827_314130_SELL
2026-03-23,360350,SELL,1,16500.00,0.00,N/A,LIVE,20260323_094858_360350_SELL
2026-03-23,402490,SELL,3331,14246.77,0.00,N/A,LIVE,20260323_094906_402490_SELL
2026-03-23,316140,BUY,898,32208.07,0.00,N/A,LIVE,20260323_094947_316140_BUY
2026-03-23,139130,BUY,1846,16569.78,0.00,N/A,LIVE,20260323_094959_139130_BUY
2026-03-23,055550,BUY,254,92000.00,0.00,N/A,LIVE,20260323_095001_055550_BUY
2026-03-23,016360,BUY,243,95100.00,0.00,N/A,LIVE,20260323_095002_016360_BUY
2026-03-23,086790,BUY,329,107101.12,0.00,N/A,LIVE,20260323_095009_086790_BUY
2026-03-23,105560,BUY,164,147002.93,0.00,N/A,LIVE,20260323_095016_105560_BUY
2026-03-23,138930,BUY,1503,17967.82,0.00,N/A,LIVE,20260323_095031_138930_BUY
2026-03-23,175330,BUY,988,28898.48,0.00,N/A,LIVE,20260323_095043_175330_BUY
2026-03-23,005830,BUY,178,179305.51,0.00,N/A,LIVE,20260323_095100_005830_BUY
2026-03-23,078930,BUY,456,67406.24,0.00,N/A,LIVE,20260323_095102_078930_BUY
2026-03-23,028050,BUY,764,36306.31,0.00,N/A,LIVE,20260323_095110_028050_BUY
2026-03-23,069960,BUY,280,86481.38,0.00,N/A,LIVE,20260323_095137_069960_BUY
2026-03-23,161390,BUY,478,55100.00,0.00,N/A,LIVE,20260323_095148_161390_BUY
2026-03-23,417310,BUY,100,9600.00,0.00,N/A,LIVE,20260323_095218_417310_BUY
2026-03-23,033780,BUY,186,153000.00,0.00,N/A,LIVE,20260323_095221_033780_BUY
2026-03-23,001120,BUY,577,47295.15,0.00,N/A,LIVE,20260323_095227_001120_BUY
2026-03-23,003690,BUY,1846,12947.25,0.00,N/A,LIVE,20260323_095328_003690_BUY
2026-03-23,024110,BUY,1931,23132.23,0.00,N/A,LIVE,20260323_095346_024110_BUY
2026-03-23,023530,BUY,277,101198.20,0.00,N/A,LIVE,20260323_095412_023530_BUY
2026-03-23,REBALANCE,SUMMARY,sells=5,buys=20,493001614.14,0.00,LIVE,
2026-03-26,016360,SELL,243,97196.22,0.00,N/A,LIVE,20260326_092155_016360_SELL
2026-03-26,023530,SELL,209,114199.36,0.00,N/A,LIVE,20260326_092159_023530_SELL
2026-03-26,069960,SELL,70,85700.00,0.00,N/A,LIVE,20260326_092230_069960_SELL
2026-03-26,REBALANCE,SUMMARY,sells=3,buys=3,499042234.22,0.00,LIVE,
2026-03-26,REBALANCE,SUMMARY,sells=0,buys=3,498948178.00,0.00,LIVE,
2026-03-26,003690,SELL,17,13400.59,0.00,N/A,LIVE,20260326_103515_003690_SELL
2026-03-26,003690,SELL,140,13418.00,0.00,N/A,GHOST,20260326_103520_003690_SELL
2026-03-26,024110,SELL,1034,23549.09,0.00,N/A,LIVE,20260326_103539_024110_SELL
2026-03-26,033780,SELL,158,157244.07,0.00,N/A,LIVE,20260326_103542_033780_SELL
2026-03-26,003690,SELL,267,13419.00,0.00,N/A,GHOST,20260326_103600_003690_SELL
2026-03-26,161390,SELL,139,58085.40,0.00,N/A,LIVE,20260326_103614_161390_SELL
2026-03-26,REBALANCE,SUMMARY,sells=4,buys=7,499143393.69,0.00,LIVE,
2026-03-26,003690,SELL,394,13419.00,0.00,N/A,GHOST,20260326_103641_003690_SELL
2026-03-26,003690,SELL,426,13418.00,0.00,N/A,GHOST,20260326_103645_003690_SELL
2026-03-26,003690,SELL,457,13417.00,0.00,N/A,GHOST,20260326_103649_003690_SELL
2026-03-26,REBALANCE,SUMMARY,sells=0,buys=7,499359901.00,0.00,LIVE,
2026-03-26,017940,BUY,60,101860.18,0.00,N/A,LIVE,20260326_111950_017940_BUY
