rank,slot,name,trades,win_rate,pnl_pct,sharpe,pf,avg_hold_min,avg_mfe,avg_mae,score
1,4,Trailing A,20,50.0,0.49,0.11,1.4,3,2.8,-2.8,0.66
2,12,Adaptive Best,60,50.0,-0.41,-0.10,0.7,6,2.4,-2.8,-0.40
3,5,Trailing B,20,45.0,-0.27,-0.06,0.9,12,3.0,-3.3,-1.20
4,11,Mean Reversion,20,55.0,-1.45,-0.71,0.1,2,1.5,-2.4,-1.69
5,6,Micro Imbalance,20,30.0,-1.00,-0.51,0.3,5,2.3,-2.4,-5.92
6,3,Aggressive,20,25.0,-0.96,-0.48,0.4,3,2.6,-2.3,-6.80
7,2,Moderate,20,20.0,-0.93,-0.99,0.2,1,2.2,-2.2,-9.34
8,8,Time Decay 30m,20,20.0,-0.93,-0.99,0.2,1,2.2,-2.2,-9.34
9,10,Momentum MA5,20,10.0,-0.81,-0.40,0.4,15,1.2,-2.0,-9.48
10,7,Time Decay 15m,20,20.0,-0.79,-1.29,0.1,1,2.2,-2.1,-10.17
11,1,Conservative,20,20.0,-0.75,-1.52,0.0,1,2.2,-2.0,-10.86
12,9,Volume Spike,0,0.0,0.00,0.00,0.0,0,0.0,0.0,-999.00
